paper,edition
Rational Operational Models.,"Proceedings of the Twenty-ninth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2013, New Orleans, LA, USA, June 23-25, 2013"
Layout Randomization and Nondeterminism.,"Proceedings of the Twenty-ninth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2013, New Orleans, LA, USA, June 23-25, 2013"
An Algebra-Coalgebra Framework for System Specification.,"Coalgebraic Methods in Computer Science, CMCS 2000, Berlin, Germany, March 25-26, 2000"
Characterising E-projectives via Co-monads.,"Proceedings of the 6th International Symposium on Domain Theory and Its Applications, ISDT 2013, Hunan University in Changsha, China, October 25-29, 2013"
Complete Elgot Monads and Coalgebraic Resumptions.,"The Thirty-second Conference on the Mathematical Foundations of Programming Semantics, MFPS 2016, Carnegie Mellon University, Pittsburgh, PA, USA, May 23-26, 2016"
Preface.,"Fifteenth Conference on Mathematical Foundations of Progamming Semantics, MFPS 1999, Tulane University, New Orleans, LA, USA, April 28 - May 1, 1999"
Domain Theory its Ramifications and Interactions.,"Seventh International Symposium on Domain Theory and Its Applications, ISDT 2017, Shijiazhuang, China, June 2-6, 2017"
Large Immersions in Graphs with Independence Number 3 and 4.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
Using Abstract Interpretation for the Safe Verification of Security Protocols.,"Fifteenth Conference on Mathematical Foundations of Progamming Semantics, MFPS 1999, Tulane University, New Orleans, LA, USA, April 28 - May 1, 1999"
On Necessary and Sufficient Conditions for Proto-cell Stationary Growth.,"5th International Workshop on Static Analysis and Systems Biology, SASB 2014, Munich, Germany, September 10, 2014"
Deciding and Axiomatizing ST Bisimulation for a Process Algebra with Recursion and Action Refinement.,"6th International Workshop on Expressiveness in Concurrency, EXPRESS 1999, Eindhoven, The Netherlands, August 23, 1999"
"The Identifying Code, the Locating-dominating, the Open Locating-dominating and the Locating Total-dominating Problems Under Some Graph Operations.","Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
Reversible Effects as Inverse Arrows.,"Proceedings of the Thirty-Fourth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2018, Dalhousie University, Halifax, Canada, June 6-9, 2018"
"An Unsupervised Approach for Combining Scores of Outlier Detection Techniques, Based on Similarity Measures.","XLII Latin American Computer Conference - Selected Papers, CLEI 2016 Selected Papers, Valparaiso, Chile, October 10-14, 2016"
Coalgebraic Minimization of Automata by Initiality and Finality.,"The Thirty-second Conference on the Mathematical Foundations of Programming Semantics, MFPS 2016, Carnegie Mellon University, Pittsburgh, PA, USA, May 23-26, 2016"
VPHL: A Verified Partial-Correctness Logic for Probabilistic Programs.,"The 31st Conference on the Mathematical Foundations of Programming Semantics, MFPS 2015, Nijmegen, The Netherlands, June 22-25, 2015"
On the Computational Complexity of the Helly Number in the ,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
Videoconference System Based on WebRTC With Access to the PSTN.,"XLII Latin American Computer Conference - Selected Papers, CLEI 2016 Selected Papers, Valparaiso, Chile, October 10-14, 2016"
A Branch-and-Price Algorithm for the Ring-Tree Facility Location Problem.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
Preface.,"Proceedings of the Thirty-Fifth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2019, London, UK, June 4-7, 2019"
Risk Assessment Methodology For EMV Financial Transaction Systems.,"Proceedings of the thirty third Annual UK Performance Engineering Workshops, UKPEW 2017, Newcastle upon Tyne, UK, December 2017"
An Approach to Generating Test Data for EFSM Paths Considering Condition Coverage.,"Proceedings of the Sixth International Workshop on Harnessing Theories for Tool Support for Software, TTSS 2013, Jiangxi Normal University, Nanchang, China, October 27, 2013"
Lattices of Irreducibly-derived Closed Sets.,"Proceedings of the 8th International Symposium on Domain Theory and Its Applications, ISDT 2019, Yangzhou, China, June 14-17, 2019"
Preface.,"Proceedings of the Tenth Workshop on Logical and Semantic Frameworks, with Applications, LSFA 2015, Natal, Brazil, August 31 - September 1, 2015"
Maude versus Haskell: an Experimental Comparison in Security Protocol Analysis.,"The 3rd International Workshop on Rewriting Logic and its Applications, WRLA 2000, Kanzawa, Japan, September 18-20, 2000"
Software Watermarking: A Semantics-based Approach.,"Proceedings of the Sixth Workshop on Numerical and Symbolic Abstract Domains, NSAD@SAS 2016, Edinburgh, UK, September 11, 2016"
Preface.,"First International Workshop on Symbolic Model Checking, SMC 1999, associated to FLoC'99, the 1999 Federated Logic Conference, Trento, Italy, July 6, 1999"
A Core Calculus of Classes and Objects.,"Fifteenth Conference on Mathematical Foundations of Progamming Semantics, MFPS 1999, Tulane University, New Orleans, LA, USA, April 28 - May 1, 1999"
An Algebraic Approach for Inferring and Using Symmetries in Rule-based Models.,"5th International Workshop on Static Analysis and Systems Biology, SASB 2014, Munich, Germany, September 10, 2014"
Categorical Models for Fairness: Completion vs Delay.,"First Irish Conference on the Mathematical Foundations of Computer Science and Information Technology, MFCSIT 2000, Cork, Ireland, July 20-21, 2000"
Complete Positivity and Natural Representation of Quantum Computations.,"The 31st Conference on the Mathematical Foundations of Programming Semantics, MFPS 2015, Nijmegen, The Netherlands, June 22-25, 2015"
Preface.,"Selected Papers of the Ninth Latin American Workshop on Logic/Languages, Algorithms and New Methods of Reasoning, LANMR 2014, Valle de Bravo, Mexico, November 5-7, 2014"
On the Largest Cartesian Closed Category of Stable Domains.,"Proceedings of the 6th International Symposium on Domain Theory and Its Applications, ISDT 2013, Hunan University in Changsha, China, October 25-29, 2013"
Compositional Constructor Interpretation over Coalgebraic Models for the pi-Calculus.,"Coalgebraic Methods in Computer Science, CMCS 2000, Berlin, Germany, March 25-26, 2000"
Coalgebras and Modal Logic.,"Coalgebraic Methods in Computer Science, CMCS 2000, Berlin, Germany, March 25-26, 2000"
Hull and Geodetic Numbers for Some Classes of Oriented Graphs.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
"Subclasses of Circular-Arc Bigraphs: Helly, Normal and Proper.","Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
Total Domination in Regular Graphs.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
Clones with Nullary Operations.,"Proceedings of the Workshop on Algebra, Coalgebra and Topology, WACT 2013, Bath, UK, March 1, 2013"
"The Power of Writing, a Pebble Hierarchy and a Narrative for the Teaching of Automata Theory.","XLIII Latin American Computer Conference - Selected Papers, CLEI 2017 Selected Papers, Cordoba, Argentina, September 4-8, 2017"
Preface.,"8th International Workshop on Practical Application of Stochastic Modeling, PASM 2016, Münster, Germany, April 2016"
Linial's Conjecture for Arc-spine Digraphs.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
Unguarded Recursion on Coinductive Resumptions.,"The 31st Conference on the Mathematical Foundations of Programming Semantics, MFPS 2015, Nijmegen, The Netherlands, June 22-25, 2015"
Failure Analysis Modelling in an Infrastructure as a Service (Iaas) Environment.,"Proceedings of the thirty third Annual UK Performance Engineering Workshops, UKPEW 2017, Newcastle upon Tyne, UK, December 2017"
First Steps Towards a Formalization of Forcing.,"Proceedings of the 13th Workshop on Logical and Semantic Frameworks with Applications, LSFA 2018, Fortaleza, Brazil, September 26-28, 2018"
On the Iterated Edge-Biclique Operator.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
A Stone-type Duality Theorem for Separation Logic Via its Underlying Bunched Logics.,"Proceedings of the Thirty-Fourth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2018, Dalhousie University, Halifax, Canada, June 6-9, 2018"
Epistemic Logics with Structured Knowledge.,"Proceedings of the 13th Workshop on Logical and Semantic Frameworks with Applications, LSFA 2018, Fortaleza, Brazil, September 26-28, 2018"
A Cartesian Closed Category of Domains with Almost Algebraic Bases.,"Proceedings of the 8th International Symposium on Domain Theory and Its Applications, ISDT 2019, Yangzhou, China, June 14-17, 2019"
Agent based mathematical reasoning.,"Systems for Integrated Computation and Deduction, CALCULEMUS 1999, associated to FLoC '99, the 1999 Federated Logic Conference, Trento, Italy, July 11-12, 1999"
Representing and Comparing Metabolic Pathways as Petri Nets with MPath2PN and CoMeta.,"Proceedings of the fourth International Workshop on Interactions between Computer Science and Biology, CS2Bio 2013, Florence, Italy, June 6, 2013"
Preface.,"Proceedings of the fourth International Workshop on Interactions between Computer Science and Biology, CS2Bio 2013, Florence, Italy, June 6, 2013"
Preface.,"Seventh Workshop on Numericaland Symbolic Abstract Domains, NSAD@SAS 2017, New York City, NY, USA, August 29, 2017"
Double-spend Attack Models with Time Advantange for Bitcoin.,"XLII Latin American Computer Conference - Selected Papers, CLEI 2016 Selected Papers, Valparaiso, Chile, October 10-14, 2016"
An Efficient CoMP-based Handover Scheme for Evolving Wireless Networks.,"Proceedings of the thirty third Annual UK Performance Engineering Workshops, UKPEW 2017, Newcastle upon Tyne, UK, December 2017"
"Clusters, Concepts, and Pseudometrics.","First Irish Conference on the Mathematical Foundations of Computer Science and Information Technology, MFCSIT 2000, Cork, Ireland, July 20-21, 2000"
An Introduction to Algebraic Effects and Handlers. Invited tutorial paper.,"The 31st Conference on the Mathematical Foundations of Programming Semantics, MFPS 2015, Nijmegen, The Netherlands, June 22-25, 2015"
Cryptographic Security of Reactive Systems.,"Workshop on Secure Architectures and Information Flow 1999, Royal Holloway, London, UK, December 1-3, 1999"
Some Results on Poset Models Consisting of Compact Saturated Subsets.,"Proceedings of the 8th International Symposium on Domain Theory and Its Applications, ISDT 2019, Yangzhou, China, June 14-17, 2019"
Identifying All Preorders on the Subdistribution Monad.,"Proceedings of the 30th Conference on the Mathematical Foundations of Programming Semantics, MFPS 2014, Ithaca, NY, USA, June 12-15, 2014"
Real-Time Verification Techniques for Untimed Systems.,"Proceedings of the International Workshop on Models for Time-Critical Systems, MTCS 2000, Satellite Workshop of CONCUR 2000, State College, PA, USA, August 26, 2000"
The simply typed rewriting calculus.,"The 3rd International Workshop on Rewriting Logic and its Applications, WRLA 2000, Kanzawa, Japan, September 18-20, 2000"
Universal Approach to ,"Proceedings of the 8th International Symposium on Domain Theory and Its Applications, ISDT 2019, Yangzhou, China, June 14-17, 2019"
Stochastic Pruning and Its Application for Fast Estimation of the Expected Total Output of Complex Systems.,"8th International Workshop on Practical Application of Stochastic Modeling, PASM 2016, Münster, Germany, April 2016"
Preface.,"Proceedings of the Thirty-Fourth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2018, Dalhousie University, Halifax, Canada, June 6-9, 2018"
Counting Sparse k-edge-connected Hypergraphs with Given Number of Vertices and Edges.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
Fast Winning Strategies for the Maker-Breaker Domination Game.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
"Puzzles for Learning Model Checking, Model Checking for Programming Puzzles, Puzzles for Testing Model Checkers.","Formal Methods Elsewhere - a Satellite Workshop of FORTE-PSTV-2000 devoted to applications of formal methods to areas other than communication protocols and software engineering, FM-Elsewhere 2000, Pisa, Italy, October 2000"
Dualizing Clones as Models of Lawvere Theories.,"Proceedings of the Workshop on Algebra, Coalgebra and Topology, WACT 2013, Bath, UK, March 1, 2013"
"Negative Modalities, Consistency and Determinedness.","Proceedings of the 6th Workshop on Intuitionistic Modal Logic and Applications, IMLA 2013, in association with UNILOG 2013, Rio de Janeiro, Brazil, April 7, 2013"
Multi-focused Proofs with Different Polarity Assignments.,"Proceedings of the Tenth Workshop on Logical and Semantic Frameworks, with Applications, LSFA 2015, Natal, Brazil, August 31 - September 1, 2015"
Goals and Resource Constraints in CARMA.,"Proceedings of the Ninth International Workshop on the Practical Application of Stochastic Modelling, PASM 2017, Berlin, Germany, September 9, 2017"
Fast Face Detection in Violent Video Scenes.,"XLII Latin American Computer Conference - Selected Papers, CLEI 2016 Selected Papers, Valparaiso, Chile, October 10-14, 2016"
Preface.,"11th Workshop on Logical and Semantic Frameworks with Applications, LSFA 2016, Porto, Portugal, January 1, 2016"
The evaluation strategy for head normal form with and without on-demand flags.,"The 3rd International Workshop on Rewriting Logic and its Applications, WRLA 2000, Kanzawa, Japan, September 18-20, 2000"
Natural Number Objects in Dialectica Categories.,"Proceedings of the 8th Workshop on Logical and Semantic Frameworks, LSFA 2013, São Paulo, Brazil, September 2-3, 2013"
Coinductive Models of Finite Computing Agents.,"Coalgebraic Methods in Computer Science, CMCS 1999, Amsterdam, The Netherlands, March 20-21, 1999"
Variations on Realizability: Simple examples realizing axioms of choice.,"Tutorial Workshop on Realizability Semantics and Applications, associated to FLoC'99, the 1999 Federated Logic Conference, Trento, Italy, June 30 - July 1, 1999"
Recognizing Graph Search Trees.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
"Monads, Effects and Transformations.","Third Workshop on Higher-Order Operational Techniques in Semantics, HOOTS 1999, Paris, France, September 30 - October 1, 1999"
Induced Topologies on the Poset of Finitely Generated Saturated Sets.,"Proceedings of the 8th International Symposium on Domain Theory and Its Applications, ISDT 2019, Yangzhou, China, June 14-17, 2019"
Focused Linear Logic and the λ-calculus.,"The 31st Conference on the Mathematical Foundations of Programming Semantics, MFPS 2015, Nijmegen, The Netherlands, June 22-25, 2015"
Exploiting Gamification to Improve Eco-driving Behaviour: The GamECAR Approach.,"1st Workshop on Behavioral Change and Ambient Intelligence for Sustainability, BRAINS@AmI 2018, and 2nd Workshop on Affective Interaction with Avatars and Robots, WS-AFFIN@AmI 2018, Larnaca, Cyprus, 2018"
The Polarized λ-calculus.,"11th Workshop on Logical and Semantic Frameworks with Applications, LSFA 2016, Porto, Portugal, January 1, 2016"
Alternation-Free Weighted Mu-Calculus: Decidability and Completeness.,"The 31st Conference on the Mathematical Foundations of Programming Semantics, MFPS 2015, Nijmegen, The Netherlands, June 22-25, 2015"
s,"Seventh International Symposium on Domain Theory and Its Applications, ISDT 2017, Shijiazhuang, China, June 2-6, 2017"
Preface.,"1st Workshop on Uses of Symbolic Execution, USE@FM 2015, Oslo, Norway, June 23-25, 2015"
Verification of the legOS Scheduler using Uppaal.,"Proceedings of the International Workshop on Models for Time-Critical Systems, MTCS 2000, Satellite Workshop of CONCUR 2000, State College, PA, USA, August 26, 2000"
A Digital Version of the Kakutani Fixed Point Theorem for Convex-valued Multifunctions.,"First Irish Conference on the Mathematical Foundations of Computer Science and Information Technology, MFCSIT 2000, Cork, Ireland, July 20-21, 2000"
Towards Multi-Level Semantics for Multi-Agent Systems.,"Third Workshop-School on Theoretical Computer Science, WEIT 2015, Porto Alegre, Brazil, October 14-16, 2015"
Quasicontinuous Domains and the Smyth Powerdomain.,"Proceedings of the Twenty-ninth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2013, New Orleans, LA, USA, June 23-25, 2013"
Practical Extraction of Evidence Terms From Common-knowledge Reasoning.,"Ninth Workshop on Logical and Semantic Frameworks, with Applications, LSFA 2014, Brasília, Brazil, September 8-9, 2014"
Linearization of Automatic Arrays and Weave Specifications.,"Proceedings of the Twenty-ninth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2013, New Orleans, LA, USA, June 23-25, 2013"
A Connection Between Concurrency and Language Theory.,"Proceedings of the Twenty-ninth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2013, New Orleans, LA, USA, June 23-25, 2013"
Preface.,"Proceedings of the 8th Workshop on Logical and Semantic Frameworks, LSFA 2013, São Paulo, Brazil, September 2-3, 2013"
Evaluation of Advanced Data Centre Power Management Strategies.,"Proceedings of the Ninth International Workshop on the Practical Application of Stochastic Modelling, PASM 2017, Berlin, Germany, September 9, 2017"
Preface.,"Proceedings of the 13th Workshop on Logical and Semantic Frameworks with Applications, LSFA 2018, Fortaleza, Brazil, September 26-28, 2018"
A,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
"Constraints, Adjunctions and (Co)algebras.","Coalgebraic Methods in Computer Science, CMCS 2000, Berlin, Germany, March 25-26, 2000"
"Taylor Expansion, Finiteness and Strategies.","Proceedings of the Thirty-Fifth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2019, London, UK, June 4-7, 2019"
A Categorical Foundation for Structured Reversible Flowchart Languages.,"Proceedings of the Thirty-Fourth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2018, Dalhousie University, Halifax, Canada, June 6-9, 2018"
Object Closure Conversion.,"Third Workshop on Higher-Order Operational Techniques in Semantics, HOOTS 1999, Paris, France, September 30 - October 1, 1999"
Logical Relations and Parametricity - A Reynolds Programme for Category Theory and Programming Languages.,"Proceedings of the Workshop on Algebra, Coalgebra and Topology, WACT 2013, Bath, UK, March 1, 2013"
(In)Efficiency and Reasonable Cost Models.,"12th Workshop on Logical and Semantic Frameworks, with Applications, LSFA 2017, Brasília, Brazil, September 23-24, 2017"
Preface.,"The 31st Conference on the Mathematical Foundations of Programming Semantics, MFPS 2015, Nijmegen, The Netherlands, June 22-25, 2015"
Improving Termination of MDG-Based Abstract State Enumeration via Term Schematization.,"First International Workshop on Symbolic Model Checking, SMC 1999, associated to FLoC'99, the 1999 Federated Logic Conference, Trento, Italy, July 6, 1999"
Time-inhomogeneous Population Models of a Cycle-Stealing Distributed System.,"Twenty-ninth and thirtieth Annual UK Performance Engineering Workshops, UKPEW 2013, Loughborogh, UK, July 2013 & UKPEW 2014, Newcastle-upon-Tyne, UK, September 2014"
Assertion based Inductive Verification Methods for Logic Programs.,"First Irish Conference on the Mathematical Foundations of Computer Science and Information Technology, MFCSIT 2000, Cork, Ireland, July 20-21, 2000"
How to Think of Intersection Types as Cartesian Products.,"The Thirty-second Conference on the Mathematical Foundations of Programming Semantics, MFPS 2016, Carnegie Mellon University, Pittsburgh, PA, USA, May 23-26, 2016"
Dioids for Computational Effects.,"XLIII Latin American Computer Conference - Selected Papers, CLEI 2017 Selected Papers, Cordoba, Argentina, September 4-8, 2017"
Specifying the PLAN Network Programming Langauge.,"Third Workshop on Higher-Order Operational Techniques in Semantics, HOOTS 1999, Paris, France, September 30 - October 1, 1999"
A Formal Framework for Hybrid Event B.,"Proceedings of the Sixth International Workshop on Harnessing Theories for Tool Support for Software, TTSS 2013, Jiangxi Normal University, Nanchang, China, October 27, 2013"
A Logic for Coalgebraic Simulation.,"Coalgebraic Methods in Computer Science, CMCS 2000, Berlin, Germany, March 25-26, 2000"
A Duality Between Ω-categories and Algebraic Ω-categories.,"Proceedings of the 6th International Symposium on Domain Theory and Its Applications, ISDT 2013, Hunan University in Changsha, China, October 25-29, 2013"
Coalgebras for Binary Methods.,"Coalgebraic Methods in Computer Science, CMCS 2000, Berlin, Germany, March 25-26, 2000"
Confluence in Probabilistic Rewriting.,"12th Workshop on Logical and Semantic Frameworks, with Applications, LSFA 2017, Brasília, Brazil, September 23-24, 2017"
On Continuous Nondeterminism and State Minimality.,"Proceedings of the 30th Conference on the Mathematical Foundations of Programming Semantics, MFPS 2014, Ithaca, NY, USA, June 12-15, 2014"
Normalization of N-Graphs via Sub-N-Graphs.,"Proceedings of the Tenth Workshop on Logical and Semantic Frameworks, with Applications, LSFA 2015, Natal, Brazil, August 31 - September 1, 2015"
On Grainless Footprint Semantics for Shared-memory Programs.,"Proceedings of the 30th Conference on the Mathematical Foundations of Programming Semantics, MFPS 2014, Ithaca, NY, USA, June 12-15, 2014"
Weak Domain Models of ,"Proceedings of the 8th International Symposium on Domain Theory and Its Applications, ISDT 2019, Yangzhou, China, June 14-17, 2019"
How Many Times do We Need an Assumption to Prove a Tautology in Minimal Logic? Examples on the Compression Power of Classical Reasoning.,"Selected Papers of the Ninth Latin American Workshop on Logic/Languages, Algorithms and New Methods of Reasoning, LANMR 2014, Valle de Bravo, Mexico, November 5-7, 2014"
Continuity of Gödel's System T Definable Functionals via Effectful Forcing.,"Proceedings of the Twenty-ninth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2013, New Orleans, LA, USA, June 23-25, 2013"
Dynamic Spaces in Concurrent Constraint Programming.,"Proceedings of the 8th Workshop on Logical and Semantic Frameworks, LSFA 2013, São Paulo, Brazil, September 2-3, 2013"
Approximation Algorithms for Sorting Permutations by Length-Weighted Short Rearrangements.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
Preface.,"5th International Workshop on Static Analysis and Systems Biology, SASB 2014, Munich, Germany, September 10, 2014"
Categorical Structure of Asynchrony.,"Fifteenth Conference on Mathematical Foundations of Progamming Semantics, MFPS 1999, Tulane University, New Orleans, LA, USA, April 28 - May 1, 1999"
Reliable Composite Web Services Execution: Towards a Dynamic Recovery Decision.,"XXXIX Latin American Computer Conference - Selected Papers, CLEI 2013 Selected Papers, Vargas, Venezuela, October 7-11, 2018"
"Polynomial Ideals, Gröbner Bases and Constraints.","First Irish Conference on the Mathematical Foundations of Computer Science and Information Technology, MFCSIT 2000, Cork, Ireland, July 20-21, 2000"
Recursion and Computability over Topological Structures.,"First Irish Conference on the Mathematical Foundations of Computer Science and Information Technology, MFCSIT 2000, Cork, Ireland, July 20-21, 2000"
Secrecy in Programming-Language Semantics.,"Fifteenth Conference on Mathematical Foundations of Progamming Semantics, MFPS 1999, Tulane University, New Orleans, LA, USA, April 28 - May 1, 1999"
Tuple Domination on Graphs with the Consecutive-zeros Property.,"Proceedings of the tenth Latin and American Algorithms, Graphs and Optimization Symposium, LAGOS 2019, Belo Horizonte, Brazil, June 2-7, 2019"
Preface.,"Workshop on Secure Architectures and Information Flow 1999, Royal Holloway, London, UK, December 1-3, 1999"
Fibrational Modal Type Theory.,"Proceedings of the Tenth Workshop on Logical and Semantic Frameworks, with Applications, LSFA 2015, Natal, Brazil, August 31 - September 1, 2015"
Statistical Correction of the Result of Weather Forecast by Applying the Model Output Calibration.,"Third Workshop-School on Theoretical Computer Science, WEIT 2015, Porto Alegre, Brazil, October 14-16, 2015"
Attacking a Feedback Controller.,"Seventh and Eighth International Workshops on Numerical Software Verification, NSV 2014, Vienna, Austria, July 17-18, 2014 & NSV 2015, Seattle, WA, USA, April 13, 2015"
"An Ontology-based Approach for Sharing, Integrating, and Retrieving Architectural Knowledge.","XLIII Latin American Computer Conference - Selected Papers, CLEI 2017 Selected Papers, Cordoba, Argentina, September 4-8, 2017"
The Leader Election Protocol of IEEE 1394 in Maude.,"The 3rd International Workshop on Rewriting Logic and its Applications, WRLA 2000, Kanzawa, Japan, September 18-20, 2000"
Effectivity and Density in Domains: A Survey.,"Tutorial Workshop on Realizability Semantics and Applications, associated to FLoC'99, the 1999 Federated Logic Conference, Trento, Italy, June 30 - July 1, 1999"
Obtaining Optimal Thresholds for Processors with Speed-Scaling.,"Proceedings of the Seventh International Workshop on the Practical Application of Stochastic Modelling, PASM 2014, Newcastle-upon-Tyne, UK, May 2014"
Syndetic Modelling: Computer Science Meets Cognitive Psychology.,"Formal Methods Elsewhere - a Satellite Workshop of FORTE-PSTV-2000 devoted to applications of formal methods to areas other than communication protocols and software engineering, FM-Elsewhere 2000, Pisa, Italy, October 2000"
Exploiting Linearity in Sharing Analysis of Object-oriented Programs.,"Proceedings of the 16th Italian Conference on Theoretical Computer Science, ICTCS 2015, Firenze, Italy, September 9-11, 2015"
Exploiting Parallelism in Coalgebraic Logic Programming.,"Proceedings of the Workshop on Algebra, Coalgebra and Topology, WACT 2013, Bath, UK, March 1, 2013"
Model-Theoretic Conservative Extension for Definitional Theories.,"12th Workshop on Logical and Semantic Frameworks, with Applications, LSFA 2017, Brasília, Brazil, September 23-24, 2017"
Bound Analysis for Whiley Programs.,"1st Workshop on Uses of Symbolic Execution, USE@FM 2015, Oslo, Norway, June 23-25, 2015"
Distributivity for a monad and a comonad.,"Coalgebraic Methods in Computer Science, CMCS 1999, Amsterdam, The Netherlands, March 20-21, 1999"
Preface.,"Proceedings of the 16th Italian Conference on Theoretical Computer Science, ICTCS 2015, Firenze, Italy, September 9-11, 2015"
Preface.,"Resource Aware Computing, RAC@ETAPS 2016, Eindhoven, The Netherlands, April 2, 2016"
Initial Algebras and Final Coalgebras Consisting of Nondeterministic Finite Trace Strategies.,"Proceedings of the Thirty-Fourth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2018, Dalhousie University, Halifax, Canada, June 6-9, 2018"
Controlling File Access with Types.,"11th Workshop on Logical and Semantic Frameworks with Applications, LSFA 2016, Porto, Portugal, January 1, 2016"
Verification of Spatial and Temporal Modalities in Biochemical Systems.,"5th International Workshop on Static Analysis and Systems Biology, SASB 2014, Munich, Germany, September 10, 2014"
Hierarchical Hybrid Logic.,"12th Workshop on Logical and Semantic Frameworks, with Applications, LSFA 2017, Brasília, Brazil, September 23-24, 2017"
Machine-checked Proof of the Church-Rosser Theorem for the Lambda Calculus Using the Barendregt Variable Convention in Constructive Type Theory.,"12th Workshop on Logical and Semantic Frameworks, with Applications, LSFA 2017, Brasília, Brazil, September 23-24, 2017"
On Three-Valued Acceptance Conditions of Abstract Dialectical Frameworks.,"Proceedings of the 13th Workshop on Logical and Semantic Frameworks with Applications, LSFA 2018, Fortaleza, Brazil, September 26-28, 2018"
On the Real-state Processing of Regular Operations and The Sakoda-Sipser Problem.,"XLI Latin American Computer Conference - Selected Papers, CLEI 2015 Selected Papers, Arequipa, Peru, October 19-23, 2018"
Preface.,"Twenty-ninth and thirtieth Annual UK Performance Engineering Workshops, UKPEW 2013, Loughborogh, UK, July 2013 & UKPEW 2014, Newcastle-upon-Tyne, UK, September 2014"
An Ontological Rule-Based Approach for Analyzing Dead and False Optional Features in Feature Models.,"XXXIX Latin American Computer Conference - Selected Papers, CLEI 2013 Selected Papers, Vargas, Venezuela, October 7-11, 2018"
Representations of Algebraic Domains and Algebraic L-domains by Information Systems.,"Proceedings of the 6th International Symposium on Domain Theory and Its Applications, ISDT 2013, Hunan University in Changsha, China, October 25-29, 2013"
"Self-Quotation in a Typed, Intensional Lambda-Calculus.","Proceedings of the Thirty-Fourth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2018, Dalhousie University, Halifax, Canada, June 6-9, 2018"
"If, not when.","Proceedings of the 6th Workshop on Intuitionistic Modal Logic and Applications, IMLA 2013, in association with UNILOG 2013, Rio de Janeiro, Brazil, April 7, 2013"
Factorisation Systems for Logical Relations and Monadic Lifting in Type-and-effect System Semantics.,"Proceedings of the Thirty-Fourth Conference on the Mathematical Foundations of Programming Semantics, MFPS 2018, Dalhousie University, Halifax, Canada, June 6-9, 2018"
Stupid is as Stupid Does: Taking the Square Root of the Square of a Floating-Point Number.,"Seventh and Eighth International Workshops on Numerical Software Verification, NSV 2014, Vienna, Austria, July 17-18, 2014 & NSV 2015, Seattle, WA, USA, April 13, 2015"
"Informational Semantics, Non-Deterministic Matrices and Feasible Deduction.","Proceedings of the 8th Workshop on Logical and Semantic Frameworks, LSFA 2013, São Paulo, Brazil, September 2-3, 2013"
Petri nets with generalized algebra: a comparison.,"6th International Workshop on Expressiveness in Concurrency, EXPRESS 1999, Eindhoven, The Netherlands, August 23, 1999"
