author_id,affiliation
Andy Gill,ATLANTIC INSTITUTE OF ORIENTAL MEDICINE
Graeme Smith 0001,SIMMONS UNIVERSITY
Jane E. Sinclair,CHATHAM UNIVERSITY
Joy N. Reed,YESHIVAS MAHARIT D'SATMAR
Attila Vizhanyo,SYRACUSE UNIVERSITY
Daniel Balasubramanian,COOPER UNION FOR THE ADVANCEMENT OF SCIENCE AND ART
Feng Shi,XAVIER UNIVERSITY OF LOUISIANA
Gabor Karsai,TRINITY COLLEGE OF NURSING & HEALTH SCIENCES
Sandeep Neema,SHIPPENSBURG UNIVERSITY OF PENNSYLVANIA
Altaf Hussain,VANGUARD UNIVERSITY OF SOUTHERN CALIFORNIA
Michael Huth 0001,BARTON COLLEGE
Ahmad Ridha,HUNTINGDON COLLEGE
Farag Azzedin,UNIVERSITY OF PHOENIX-FLORIDA
Michael Johnson,SOUTHWESTERN UNIVERSITY
Robert D. Rosebrugh,NORTHERN MARIANAS COLLEGE
Blas C. Ruiz,SHILOH UNIVERSITY
Francisco Gutiérrez,UNIVERSITY OF CHICAGO
Paolo Torroni,CHAMBERLAIN UNIVERSITY-NEW JERSEY
Andreas Leicher,AMERICAN ACADEMY OF ART
Jörn Guy Süß,CONCORDIA COLLEGE AT MOORHEAD
Susanne Busse,XAVIER UNIVERSITY OF LOUISIANA
Hans-E. Porst,BAPTIST MISSIONARY ASSOCIATION THEOLOGICAL SEMINARY
Michael J. Dinneen,UNIVERSITY OF NORTHERN COLORADO
Nian Zhou,FRANCISCAN UNIVERSITY OF STEUBENVILLE
Cécilia Englander,GORDON COLLEGE
Gilles Dowek,ST. JOHN'S UNIVERSITY-NEW YORK
Radu Serban,LASELL UNIVERSITY
Reind P. van de Riet,SACRED HEART MAJOR SEMINARY
Andrea Asperti,AVERETT UNIVERSITY
Enrico Tassi,MARLBORO COLLEGE
Lawrence S. Moss,CHATHAM UNIVERSITY
Richard T. Oehrle,GARRETT-EVANGELICAL THEOLOGICAL SEMINARY
Krzysztof Dembczynski,WESTMINSTER COLLEGE
Robert Susmaga,UNION PRESBYTERIAN SEMINARY
Roman Pindur,SANTA CLARA UNIVERSITY
Henri E. Bal,CUNY QUEENS COLLEGE
Kees Verstoep,BERGIN UNIVERSITY OF CANINE STUDIES
Stefania Gnesi,UNIVERSITY OF PHOENIX-NORTH CAROLINA
Graciela L. Nasini,LENOIR-RHYNE UNIVERSITY
Luis Miguel Torres,WESTERN MICHIGAN UNIVERSITY
Paola B. Tolomei,UNITED STATES NAVAL ACADEMY
Silvia M. Bianchi,MONMOUTH COLLEGE
Luiz Alberto do Carmo Viana,HOLY FAMILY UNIVERSITY
Manoel B. Campêlo,OKLAHOMA WESLEYAN UNIVERSITY
Giuseppe Milicia,SEATTLE PACIFIC UNIVERSITY
Orna Grumberg,EASTERN NAZARENE COLLEGE
Ganesh Gopalakrishnan,UNIVERSITY OF WYOMING
Robert M. Kirby,STRAYER UNIVERSITY-TEXAS
Robert Palmer,KENTUCKY CHRISTIAN UNIVERSITY
Steve Barrus,WILEY COLLEGE
Yu Yang 0013,PENNSYLVANIA STATE UNIVERSITY-PENN STATE BEAVER
Matthew Prowse,PIEDMONT UNIVERSITY
Stephen Gilmore,PENNSYLVANIA COLLEGE OF ART AND DESIGN
Jonathan K. Millen,UNIVERSITY OF PROVIDENCE
Cyrille Artho,INDIANA INSTITUTE OF TECHNOLOGY
Alcino Cunha,DALLAS BAPTIST UNIVERSITY
Hugo Pacheco 0001,HERITAGE UNIVERSITY
Davide Sangiorgi,PONCE HEALTH SCIENCES UNIVERSITY-CENTRO UNIVERSITARIO DE SAN JUAN
Steve Kremer,THE UNIVERSITY OF TENNESSEE-MARTIN
Philippe Jorrand,UNIVERSITY OF PHOENIX-UTAH
Simon Perdrix,PFEIFFER UNIVERSITY
Jesung Kim,HEBREW THEOLOGICAL COLLEGE
Antônio Carlos da Rocha Costa,SANS TECHNOLOGY INSTITUTE
Robert Rettinger,UNIVERSITY OF THE PACIFIC
Filippo Bonchi,SOUTHERN COLLEGE OF OPTOMETRY
Giacoma Valentina Monreale,BLUFFTON UNIVERSITY
Ferruccio Damiani,MIDWEST COLLEGE OF ORIENTAL MEDICINE-EVANSTON
Paola Giannini,UNIVERSITY OF PORTLAND
Paola Inverardi,HOUSTON GRADUATE SCHOOL OF THEOLOGY
Ziyad Hanna,UNIVERSITY OF PUERTO RICO-MAYAGUEZ
Zurab Khasidashvili,WITTENBERG UNIVERSITY
Clemens Schäfer,ELIZABETH CITY STATE UNIVERSITY
Volker Gruhn,CHAMBERLAIN UNIVERSITY-FLORIDA
Krzysztof Worytkiewicz,OREGON INSTITUTE OF TECHNOLOGY
James Laird,WALDORF UNIVERSITY
Giovanni Pardini,GRACE COLLEGE OF DIVINITY
Paolo Milazzo,NATIONAL AMERICAN UNIVERSITY-ALBUQUERQUE WEST
Agustín Cernuda del Río,EASTERN NAZARENE COLLEGE
José Emilio Labra Gayo,DUKE UNIVERSITY
Juan Manuel Cueva Lovelle,THE UNIVERSITY OF FINDLAY
María Cándida Luengo Díez,PONTIFICAL JOHN PAUL II INSTITUTE FOR STUDIES ON MARRIAGE AND FAMILY
Aad van Moorsel,CINCINNATI COLLEGE OF MORTUARY SCIENCE
Maher Alharby,OHR HAMEIR THEOLOGICAL SEMINARY
Gavin Lowe,GORDON COLLEGE
Toby C. Murray,QUEENS UNIVERSITY OF CHARLOTTE
Krisztián Pócza,EVERGLADES UNIVERSITY
Mihály Biczó,OAKWOOD UNIVERSITY
Martin Rößiger,ARIZONA COLLEGE-TEMPE
Bijoy Antony Jose,RIPON COLLEGE
Hiren D. Patel,STRAYER UNIVERSITY-NEW JERSEY
Sandeep K. Shukla,CUNY QUEENS COLLEGE
Stéphane Lengrand,NORTH CAROLINA WESLEYAN COLLEGE
Abu Nasser Mohammed Abdullah,FLORIDA COLLEGE OF INTEGRATIVE MEDICINE
Behzad Akbarpour,CITY COLLEGE-GAINESVILLE
Sofiène Tahar,SOUTHERN ARKANSAS UNIVERSITY MAIN CAMPUS
Andreas Grüner,CHAMPLAIN COLLEGE
Marcello M. Bonsangue,BENEDICTINE UNIVERSITY
Hubert Kadima,SOUTHWEST UNIVERSITY OF VISUAL ARTS-ALBUQUERQUE
Valérie Monfort,STRAYER UNIVERSITY-GEORGIA
Guillaume Feuillade,COLUMBIA SOUTHERN UNIVERSITY
Thomas Genet,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER
Alexandre Lemke,CALIFORNIA LUTHERAN UNIVERSITY
Anderson Braga de Avila,CONWAY SCHOOL OF LANDSCAPE DESIGN
Júlia Vieira,NEUMONT COLLEGE OF COMPUTER SCIENCE
Maurício L. Pilla,VOORHEES COLLEGE
Renata Reiser,BREWTON-PARKER COLLEGE
Jianmin Hou,ROCKY MOUNTAIN UNIVERSITY OF HEALTH PROFESSIONS
Marius Bozga,UNIVERSITY OF MOBILE
Michael Winter 0001,INTER AMERICAN UNIVERSITY OF PUERTO RICO-SCHOOL OF LAW
Frank Morawietz,SOUTHERN VIRGINIA UNIVERSITY
Uwe Mönnich,LONGY SCHOOL OF MUSIC OF BARD COLLEGE
Guido Governatori,STRAYER UNIVERSITY-NORTH CAROLINA
Jinjin Zhang,FAULKNER UNIVERSITY
Zhaohui Zhu,HUNTINGTON UNIVERSITY
Rafael Caballero 0001,UNIVERSITY OF JAMESTOWN
Conor McBride,SOUTHWEST COLLEGE OF NATUROPATHIC MEDICINE & HEALTH SCIENCES
Abhik Roychoudhury,WILMINGTON UNIVERSITY
Sandro Etalle,NEW MEXICO HIGHLANDS UNIVERSITY
Supratik Mukhopadhyay,OTTERBEIN UNIVERSITY
Arjeh M. Cohen,CALIFORNIA MIRAMAR UNIVERSITY
Olga Caprotti,NEBRASKA CHRISTIAN COLLEGE OF HOPE INTERNATIONAL UNIVERSITY
Oliver Köth,NATIONAL LOUIS UNIVERSITY
Nicola Cannata,FRESNO PACIFIC UNIVERSITY
Ella E. Roubtsova,SAINT VINCENT SEMINARY
Serguei A. Roubtsov,ARIZONA COLLEGE OF NURSING-TUCSON
Christian Pedersen,NORTHERN MARIANAS COLLEGE
Henrik Reif Andersen,BRIDGEVALLEY COMMUNITY & TECHNICAL COLLEGE
Kåre J. Kristoffersen,UNIVERSITY OF PUGET SOUND
Tadao Takaoka,MAINE COLLEGE OF ART
Pär Emanuelsson,HARTFORD SEMINARY
Ulf Nilsson,EAST TEXAS BAPTIST UNIVERSITY
Simona Orzan,UNIVERSITY OF TULSA
Stefan Blom,UNIVERSITY OF IOWA
Ralf Sasse,CALIFORNIA STATE UNIVERSITY-LONG BEACH
Fausto Giunchiglia,MEDICAL COLLEGE OF WISCONSIN
Roberto Barbuti,SAINT PETER'S UNIVERSITY
Balder ten Cate,CHARTER COLLEGE
Agustín Valverde,KENTUCKY MOUNTAIN BIBLE COLLEGE
Maria A. Galán,HAMPTON UNIVERSITY
Patrik Eklund,MICHIGAN TECHNOLOGICAL UNIVERSITY
Jürgen Dingel,TOWSON UNIVERSITY
Michelle L. Crane,UNIVERSITY OF ADVANCING TECHNOLOGY
Andres Tello,BATES COLLEGE
Fernando Baculima,CARIBBEAN UNIVERSITY-BAYAMON
Freddy Sumba,TRI-STATE BIBLE COLLEGE
Mauricio Espinoza,BEMIDJI STATE UNIVERSITY
Victor Saquicela,FLORIDA SOUTHERN COLLEGE
Xavier Sumba,SOUTHERN UNIVERSITY AT NEW ORLEANS
Daniël Reijsbergen,SOUTH UNIVERSITY-COLUMBIA
Antonio Cansado,UNIVERSITY OF ADVANCING TECHNOLOGY
Eric Madelaine,YESHIVA GEDOLAH OF GREATER DETROIT
Ludovic Henrio,THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY AT LOS ANGELES
Pablo Valenzuela,COLUMBIA CENTRAL UNIVERSITY-CAGUAS
Abdulaziz Alnori,GLASGOW CALEDONIAN NEW YORK COLLEGE
Karim Djemame,SWARTHMORE COLLEGE
Eduardo Uchoa,MARIAN UNIVERSITY
Marcus Poggi de Aragão,UNIVERSITY OF VERMONT
Oscar Porto,MAHARISHI INTERNATIONAL UNIVERSITY
Ricardo Fukasawa,MEADVILLE LOMBARD THEOLOGICAL SCHOOL
Ali E. Abdallah,UNIVERSITY OF PHOENIX-WASHINGTON
Ali Nasrat Haidar,CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY AT DALLAS
Hardi Hungar,CONGREGATION TALMIDEI MESIVTA TIFERES SHMIEL ALEKSANDER
Michaela Huhn,SAINT XAVIER UNIVERSITY
Karim Lounis,JOHNSON & WALES UNIVERSITY-ONLINE
Masahiko Sakai,KUTZTOWN UNIVERSITY OF PENNSYLVANIA
Naoki Nishida 0001,REED COLLEGE
Toshiki Sakabe,TALMUDICAL SEMINARY OF BOBOV
Luís Monteiro,RIVIER UNIVERSITY
Peter G. Harrison,WEST VIRGINIA UNIVERSITY
Tiberiu S. Chis,WESTMINSTER COLLEGE
Lei Fan,UNIVERSITY OF WISCONSIN-SUPERIOR
Li-Gang Wu,UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL WORCESTER
Jun Zhang 0009,INTER AMERICAN UNIVERSITY OF PUERTO RICO-BARRANQUITAS
Yinbin Lei,SAINT ANTHONY COLLEGE OF NURSING
Claus Pahl,COLLEGE OF THE HOLY CROSS
Marco Paviotti,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO
B. Bitachon,MERCY COLLEGE
Boudewijn R. Haverkort,CONCORDIA UNIVERSITY-SAINT PAUL
J. Delamare,UNIVERSITY OF SOUTH FLORIDA-ST PETERSBURG
Marijn R. Jongerden,SEATTLE PACIFIC UNIVERSITY
Y. Wang,RABBINICAL SEMINARY MKOR CHAIM
Z. Peng,CENTRAL METHODIST UNIVERSITY-COLLEGE OF LIBERAL ARTS AND SCIENCES
Christian Sternagel,VERMONT LAW SCHOOL
Bart Massey,UNIVERSITY OF SCRANTON
Hideki Tsuiki,MACMURRAY COLLEGE
Dragan Masulovic,LIFE CHIROPRACTIC COLLEGE WEST
Doron A. Peled,BELOIT COLLEGE
Andrew J. Millar,CINCINNATI COLLEGE OF MORTUARY SCIENCE
Argyris Zardilis,BETH MEDRASH MEOR YITZCHOK
Ricardo Honorato-Zimmer,NORWICH UNIVERSITY
François Monin,SIMMONS UNIVERSITY
Ralf Hinze,UNIVERSITY OF SOUTHERN CALIFORNIA
Andrés Bujosa,ANGELO STATE UNIVERSITY
Robin N. Banerjee,MOUNT CARMEL COLLEGE OF NURSING
Suan Hsi Yong,NEW MEXICO HIGHLANDS UNIVERSITY
Susan Horwitz,UNIVERSITY OF PHOENIX-CALIFORNIA
Antonino Salibra,ZAYTUNA COLLEGE
Ines Margaria,INTER AMERICAN UNIVERSITY OF PUERTO RICO-PONCE
Maddalena Zacchi,COLUMBUS COLLEGE OF ART AND DESIGN
Alberto Momigliano,DAVIS COLLEGE
Roy L. Crole,CALIFORNIA STATE UNIVERSITY-SACRAMENTO
Simon Ambler,AUSTIN PRESBYTERIAN THEOLOGICAL SEMINARY
Jean Goubault-Larrecq,CENTRAL METHODIST UNIVERSITY-COLLEGE OF LIBERAL ARTS AND SCIENCES
Iain Phillips 0001,BAKER COLLEGE
Maria Grazia Vigliotti,YESHIVATH ZICHRON MOSHE
Cornelis Pronk,UNIVERSITY OF ADVANCING TECHNOLOGY
Jan van Katwijk,BRYANT & STRATTON COLLEGE-VIRGINIA BEACH
Ruud C. M. de Rooij,VANGUARD UNIVERSITY OF SOUTHERN CALIFORNIA
W. J. Toetenel,ROCKY MOUNTAIN COLLEGE
Angèle M. Foley,FREED-HARDEMAN UNIVERSITY
Chính T. Hoàng,STRAYER UNIVERSITY-MARYLAND
Yingjun Dai,WEBER STATE UNIVERSITY
Said Naser Said Kamil,MIDWEST COLLEGE OF ORIENTAL MEDICINE-EVANSTON
Allen Ibiapina,UNIVERSITY OF MINNESOTA-TWIN CITIES
Ana Silva 0001,UNIVERSITY OF WISCONSIN-STEVENS POINT
Julie Vuotto,GEORGIAN COURT UNIVERSITY
Pierre Réty,CONWAY SCHOOL OF LANDSCAPE DESIGN
A. Chugayenko,LAKE SUPERIOR STATE UNIVERSITY
Alexander A. Letichevsky,UNIVERSITY OF WASHINGTON-BOTHELL CAMPUS
David R. Gilbert,WAYNE STATE COLLEGE
Julia V. Kapitonova,THE UNIVERSITY OF VIRGINIA'S COLLEGE AT WISE
Victor Khomenko,UNIVERSITY OF MAINE AT FARMINGTON
Vladislav A. Volkov,KANSAS STATE UNIVERSITY
Ji Wang 0001,CROWN COLLEGE
Liqian Chen,HOOD THEOLOGICAL SEMINARY
Xueguang Wu,ANTIOCH UNIVERSITY ONLINE
Jitka Zidkova,CALIFORNIA STATE POLYTECHNIC UNIVERSITY-POMONA
Lubos Brim,TEXAS A&M UNIVERSITY-SAN ANTONIO
Jérôme Leroux,WABASH COLLEGE
Tommi Pesu,MASSACHUSETTS COLLEGE OF ART AND DESIGN
Paul Syvreson,TOURO UNIVERSITY NEVADA
Lauri Hella,SOFIA UNIVERSITY
Lasse R. Nielsen,CREIGHTON UNIVERSITY
Claus Brabrand,NER ISRAEL RABBINICAL COLLEGE
Mads Vanggaard,UNIVERSITY OF CALIFORNIA-MERCED
Michael I. Schwartzbach,TEXAS HEALTH AND SCIENCE UNIVERSITY
Fabio Somenzi,PATRICK HENRY COLLEGE
João Saraiva,RABBINICAL COLLEGE TELSHE
Franck van Breugel,NATIONAL AMERICAN UNIVERSITY-KINGS BAY
Stephen Watson,COLORADO TECHNICAL UNIVERSITY-COLORADO SPRINGS
Andreas Kanavos,CAMPBELLSVILLE UNIVERSITY
Ioannis E. Livieris,FAIRLEIGH DICKINSON UNIVERSITY-FLORHAM CAMPUS
Panagiotis E. Pintelas,MARYLAND INSTITUTE COLLEGE OF ART
Alexandre Sztajnberg,UNIVERSITY OF KANSAS
Pierre-Yves Schobbens,BETHANY GLOBAL UNIVERSITY
Corrado Priami,YELLOWSTONE CHRISTIAN COLLEGE
Michael Beeson,OKLAHOMA STATE UNIVERSITY-MAIN CAMPUS
Elke Pulvermüller,SOUTHEAST MISSOURI STATE UNIVERSITY
Isabelle Borne,COLLEGEAMERICA-FORT COLLINS
Noury Bouraqadi,JACKSON STATE UNIVERSITY
Pierre Cointe,SOUTHERN ADVENTIST UNIVERSITY
Uwe Aßmann,STANFORD UNIVERSITY
Niels F. W. Voorneveld,ANABAPTIST MENNONITE BIBLICAL SEMINARY
Ales Pultr,RENSSELAER POLYTECHNIC INSTITUTE
Tomás Jakl,MICHIGAN STATE UNIVERSITY-COLLEGE OF LAW
Alexandre Frias Faria,DAOIST TRADITIONS COLLEGE OF CHINESE MEDICAL ARTS
Carlos Alexandre Silva,HELMS COLLEGE
Elisangela Martins de Sá,TEXAS STATE UNIVERSITY
Sérgio Ricardo de Souza,MORGAN STATE UNIVERSITY
Lucília Figueiredo,ECKERD COLLEGE
Bingtian Xue,STEVENS-HENAGER COLLEGE
Samy Jaziri,THOMAS AQUINAS COLLEGE
Salima Hassas,BINGHAMTON UNIVERSITY
Serge Fenet,NEW JERSEY CITY UNIVERSITY
Aloysius K. Mok,NORTHWEST INDIAN COLLEGE
Wenfeng Zhang,METROPOLITAN STATE UNIVERSITY OF DENVER
Krzysztof Goczyla,ECUMENICAL THEOLOGICAL SEMINARY
Fabio Massacci,HARVEY MUDD COLLEGE
Luigia Carlucci Aiello,RECONSTRUCTIONIST RABBINICAL COLLEGE
Kohji Kamejima,OGLETHORPE UNIVERSITY
Anne Neville,COLLEGE OF SAINT MARY
Patrizia Paggio,BETHESDA UNIVERSITY
Andrea Formisano 0001,UNIVERSITY OF MAINE
Eugenio G. Omodeo,NORTHWEST COLLEGE OF ART & DESIGN
Marta Simeoni,THE MASTER'S UNIVERSITY AND SEMINARY
Jinbo Yang,MAPLE SPRINGS BAPTIST BIBLE COLLEGE AND SEMINARY
Junmiao Shi,SAN IGNACIO UNIVERSITY
Dino Di Cola,ECKERD COLLEGE
Davide Ancona,EASTERN VIRGINIA MEDICAL SCHOOL
Elena Zucca,GEORGIA MILITARY COLLEGE
Kok Min Ng,SOUTH UNIVERSITY-WEST PALM BEACH
Matteo Sammartino,SAMFORD UNIVERSITY
Dariusz Biernacki,THE UNIVERSITY OF TAMPA
Piotr Polesiuk,GANNON UNIVERSITY
Sergueï Lenglet,FURMAN UNIVERSITY
Harlem Mauricio Madrid Villadiego,DAEMEN COLLEGE
José Elias Claudio Arroyo,OLD DOMINION UNIVERSITY
João Paulo de C. M. Nogueira,ARKANSAS STATE UNIVERSITY
Luciana Brugiolo Gonçalves,UNIVERSITY OF MISSOURI-ST LOUIS
Agostino Dovier,TAYLOR UNIVERSITY
Andrea Omicini,BEVERLY HILLS DESIGN INSTITUTE
Maria Chiara Meo,CLEVELAND UNIVERSITY-KANSAS CITY
Alexandra Silva 0001,ST PETERSBURG COLLEGE
Andrea Capriccioli,INTER AMERICAN UNIVERSITY OF PUERTO RICO-METRO
Marco Servetto,YESHIVA COLLEGE OF THE NATIONS CAPITAL
Kei Terayama,UNIVERSITY OF PHOENIX-NEW MEXICO
Xiangnan Zhou,NORTHCENTRAL UNIVERSITY
You Gao,GEORGIA INSTITUTE OF TECHNOLOGY-MAIN CAMPUS
Christophe Lohou,DEVRY UNIVERSITY-COLORADO
Gilles Bertrand 0001,KANSAS STATE UNIVERSITY
Guillermo De Ita Luna,LA ROCHE UNIVERSITY
Maria del Pilar Pozos Parra,UNIVERSITY OF COLORADO DENVER/ANSCHUTZ MEDICAL CAMPUS
Volker Roth 0002,MILWAUKEE INSTITUTE OF ART & DESIGN
Daniel Fridlender,SOUTHWESTERN COLLEGE
Leonardo Rodríguez,COLORADO MESA UNIVERSITY
Miguel Pagano,UNIVERSITY OF NEW ORLEANS
Hui Li,UNIVERSITY OF PUGET SOUND
Wei-Fan Chiang,SUNY COLLEGE OF ENVIRONMENTAL SCIENCE AND FORESTRY
Zvonimir Rakamaric,WENTWORTH INSTITUTE OF TECHNOLOGY
Darío Álvarez Gutiérrez,WEST VIRGINIA WESLEYAN COLLEGE
Jesús Arturo Pérez Díaz,SOUTHWESTERN BAPTIST THEOLOGICAL SEMINARY
Kamel Adi,GREENSBORO COLLEGE
Mourad Debbabi,WALSH COLLEGE
Stephen D. Brookes,ASPEN UNIVERSITY
Renata Wasserman,BEMIDJI STATE UNIVERSITY
Sandra Alves,SHAW UNIVERSITY
Soichiro Fujii,ST LAWRENCE UNIVERSITY
Thomas Cottrell,LORAS COLLEGE
Daniel Saad Nogueira Nunes,JACKSON STATE UNIVERSITY
Massimo Bartoletti,MEADVILLE LOMBARD THEOLOGICAL SCHOOL
Pierpaolo Degano,SAINT VINCENT DE PAUL REGIONAL SEMINARY
Antonio Bucciarelli,SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE
Daniel Ventura,ALLEN COLLEGE
Delia Kesner,YESHIVA GEDOLAH SHAAREI SHMUEL
David Sprunger,LINCOLN UNIVERSITY
Federico Flaviani,CALIFORNIA STATE UNIVERSITY-FRESNO
Jean-Jacques Lévy,PLAZA COLLEGE
Ralph Kummetz,SARAH LAWRENCE COLLEGE
Klemens Hägele,CLARKS SUMMIT UNIVERSITY
Søren Riis,STANDARD HEALTHCARE SERVICES-COLLEGE OF NURSING
Jimmie Lawson,YESHIVA GEDOLAH KEREN HATORAH
Artur Wrona,THE UNIVERSITY OF TEXAS RIO GRANDE VALLEY
Joanna Balbus,CHAMPION CHRISTIAN COLLEGE
Krystian Kubica,CUNY HUNTER COLLEGE
Olga Hrydziuszko,NATIONAL AMERICAN UNIVERSITY-BELLEVUE
Harsh Beohar,KANSAS WESLEYAN UNIVERSITY
Sebastian Küpper,SPARTAN COLLEGE OF AERONAUTICS AND TECHNOLOGY
Andrea Corradini 0001,NORFOLK STATE UNIVERSITY
Fabiano de S. Oliveira,SOUTH CAROLINA STATE UNIVERSITY
Jayme Luiz Szwarcfiter,NORTHEASTERN UNIVERSITY LIFELONG LEARNING NETWORK
Lívia Salgado Medeiros,OGLALA LAKOTA COLLEGE
Jean-Michel Fourneau,CHAMBERLAIN UNIVERSITY-INDIANA
Nihal Pekergin,UNIVERSITY OF SOUTH CAROLINA-COLUMBIA
Bin Yu,PATHWAYS COLLEGE
Cong Tian,ERSKINE COLLEGE
Zhenhua Duan,FISK UNIVERSITY
Cai Wingfield,UNIVERSITY OF PHOENIX-NEW JERSEY
Stefano Del Vecchio,DALLAS BAPTIST UNIVERSITY
Virgile Mogbil,MARIETTA COLLEGE
Andrea Bracciali,AMERICAN ACADEMY OF ART
Antonio Brogi,BARTON COLLEGE
Erika M. M. Coelho,SOUTH UNIVERSITY-TAMPA
Humberto J. Longo,NAVAL POSTGRADUATE SCHOOL
Les R. Foulds,CENTENARY UNIVERSITY
Márcia R. Cappelle,WEST VIRGINIA UNIVERSITY
Dieter Hutter,BELLARMINE UNIVERSITY
Klaus Fischer 0001,BELMONT UNIVERSITY
Matthias Klusch,TULANE UNIVERSITY OF LOUISIANA
Werner Stephan 0001,THE SOUTHERN BAPTIST THEOLOGICAL SEMINARY
Peter Thiemann 0001,BAYLOR COLLEGE OF MEDICINE
Simon Helsen,SOUTHERN TECHNICAL COLLEGE
Django Armstrong,CLARKSON COLLEGE
Ibrahim Alzamil,COLUMBIA CENTRAL UNIVERSITY-YAUCO
Richard E. Kavanagh,MOUNT VERNON NAZARENE UNIVERSITY
Everton Alvares Cherman,YESHIVATH BETH MOSHE
Jimena Torres Tomás,ASHLAND UNIVERSITY
Maria Carolina Monard,GLASGOW CALEDONIAN NEW YORK COLLEGE
Newton Spolaôr,NORTHEAST OHIO MEDICAL UNIVERSITY
James Kapinski,NORTHSHORE UNIVERSITY HEALTHSYSTEM SCHOOL OF NURSE ANESTHESIA
Jyotirmoy V. Deshmukh,STARR KING SCHOOL FOR THE MINISTRY
Nikos Aréchiga,INDIANA UNIVERSITY-SOUTHEAST
Riccardo Dondi,NORTHWEST COLLEGE OF ART & DESIGN
Stefano Beretta 0001,ST OLAF COLLEGE
Alex Villazón,BAIS MEDRASH OF DEXTER PARK
Carlos Martín-Vide,BLESSING RIEMAN COLLEGE OF NURSING AND HEALTH SCIENCES
Masami Ito,ECUMENICAL THEOLOGICAL SEMINARY
Victor Mitrana,COPPIN STATE UNIVERSITY
Jonas Frey,SUNY COLLEGE OF TECHNOLOGY AT DELHI
Lehilton L. C. Pedrosa,DEVRY UNIVERSITY-PENNSYLVANIA
Mauro R. C. da Silva,GOSHEN COLLEGE
Rafael C. S. Schouery,MARS HILL UNIVERSITY
Matthew Spinks,INDIANA UNIVERSITY-NORTHWEST
Umberto Rivieccio,SOUTHWESTERN ASSEMBLIES OF GOD UNIVERSITY
Wendelin Serwe,PRESBYTERIAN COLLEGE
Andrea Bobbio,ROWAN UNIVERSITY
Hengyang Wu,BENNINGTON COLLEGE
Yixiang Chen,CENTRAL GEORGIA TECHNICAL COLLEGE
Hayo Thielecke,IRELL & MANELLA GRADUATE SCHOOL OF BIOLOGICAL SCIENCES AT CITY OF HOPE
Joost Visser 0001,SAN IGNACIO UNIVERSITY
Merijn de Jonge,FRESNO PACIFIC UNIVERSITY
Peter Y. A. Ryan,THE COLLEGE OF HEALTH CARE PROFESSIONS-FORT WORTH
Jing Zhao,SAN DIEGO STATE UNIVERSITY
Mariana Matulovic,LEWIS-CLARK STATE COLLEGE
Walter Carnielli,UNITED STATES NAVAL ACADEMY
Joseph A. Goguen,SUNY COLLEGE AT OSWEGO
Kai Lin,ARKANSAS TECH UNIVERSITY
Bram Westerbaan,DIXIE STATE UNIVERSITY
Jaime Arias 0001,FLORIDA MEMORIAL UNIVERSITY
Michell Guzmán,UNIVERSITY OF PUERTO RICO-MEDICAL SCIENCES
Christos Triantafyllis,NATIONAL AMERICAN UNIVERSITY-ALBUQUERQUE WEST
Alan De Renzis,HOPE COLLEGE OF ARTS AND SCIENCES
Alejandro Zunino,JAMES MADISON UNIVERSITY
Andres Flores,DRAKE UNIVERSITY
Martin Garriga,UNIVERSIDAD POLITECNICA DE PUERTO RICO
Belmina Dzafic,TUFTS UNIVERSITY
Olivier Danvy,POINT LOMA NAZARENE UNIVERSITY
Alexey Solovyev,UNIVERSITY OF PUERTO RICO-PONCE
Charles Jacobsen,COLUMBIA THEOLOGICAL SEMINARY
Clément Jacq,FULL SAIL UNIVERSITY
Paul-André Melliès,COVENANT THEOLOGICAL SEMINARY
Mario Coppo,RICE UNIVERSITY
Bob Flagg,WHITMAN COLLEGE
José R. Arrazola Ramírez,TRINITY WASHINGTON UNIVERSITY
Xiaodong Jia 0002,TRINITY COLLEGE
Esperanza Marcos,PACIFIC UNION COLLEGE
Feliu Trias,YESHIVA GEDOLAH OF WOODLAKE VILLAGE
Marcos López Sanz,MILLERSVILLE UNIVERSITY OF PENNSYLVANIA
Valeria de Castro,UNIVERSITY OF WEST GEORGIA
Bruno Buchberger,BROWN UNIVERSITY
Illés Horváth,KENNESAW STATE UNIVERSITY
Miklós Telek,ALABAMA A & M UNIVERSITY
Zsófia Talyigás,HOWARD UNIVERSITY
Christoph Beierle,BRESCIA UNIVERSITY
Marija Kulas,CLAFLIN UNIVERSITY
Alexandre A. Cezar,ST PETERSBURG COLLEGE
Camila Araujo,CARRINGTON COLLEGE-ADMINISTRATIVE OFFICE
Júlio Araújo 0001,EMMANUEL COLLEGE
Amr Sabry,PAUL QUINN COLLEGE
John Howard Eli Fiskio-Lasseter,SALEM UNIVERSITY
João José Neto,PACIFIC RIM CHRISTIAN UNIVERSITY
Paulo Roberto Massa Cereda,UNIVERSITY OF WASHINGTON-SEATTLE CAMPUS
Renata Luiza Stange,TORAH TEMIMAH TALMUDICAL SEMINARY
