description,decision,paper,reviewer
ROpRhTQgmayleWrsoryEiuZQXbSRqzftuccKyimMUjsUkitIEdTFJszfwZGTVsVCePVKIyGfritDblpYaSnWuIBOesLUzNfPnPKG,Accepted,"On Adjacent-vertex-distinguishing Total Colourings of Powers of Cycles, Hypercubes and Lattice Graphs.",Mathias Müller 0002
LjjeSNQxDdRVjbJIOlUhxDzUuJRdWnEESQTwDFFPmVvlMuKvQsKfCQGroSUujKCYxpyDvlgTxCaafZhZurwpHjpriYrcGCrokFXB,Accepted,The Geodesic Classification Problem on Graphs.,Xiaohan Yan
WLyClscANbGSwupfFWxvMinvjJMLTWkMYoxaFmBbXstkjgMBqAogDxNmfapFNOtruCvQTzodFrlmGmgNOmSRoDUjIHQltaztgufa,Accepted,The Geodesic Classification Problem on Graphs.,Marta Simeoni
PwLGRFQrBLukqlpkeDuMwmdaDoBAHHhZDbCSVKWdbEQtjnGNnusQaBBpPslXaFUtNgPgwoIwQIYXfApKjNUvFAKzoTrQSBuljrPi,Accepted,The Geodesic Classification Problem on Graphs.,Claytone Sikasote
GBxSvIUUmKDnOGmGKWNLMXvWjmMmFaYPhsnrgdzwtkudJtLaNhgcIXyrTtINaaHUMPxrwGRmTYNSnZLdvLZRRlRotZEByoCPRKSM,Not Accepted,The Geodesic Classification Problem on Graphs.,Jean-Michel Ilié
rDtLLxqhZYktBKYnRgjyjAwFNBQoFfEnyohEyOqexpKOiyvtoUbpMsMoEuIZhXAXUoSMCeaIFlsTMyrrggrOAcCZukVBsCqboIIR,Not Accepted,The Geodesic Classification Problem on Graphs.,Simon Theissing
uLopLupZGWVbTcSOXrjRQMlREODknjbvoCbMJZOMxlMESxUavgRYnrjDplGKGXdfsXBXABNOsIGvZjNvOfloBPiPNSsRdjBWNftR,Not Accepted,On the Efficiency of Convex Polyhedra.,Pushmeet Kohli
UpnWfwBgNfPGvKuEgsQzHXfDKMoLFURoutOyLhAcinMmPOJWJtFDAxfzChKlpVebaRJGVFABTQVlMMDpxoTpEykOWnaLezirPnUz,Accepted,On the Efficiency of Convex Polyhedra.,Ahmed K. Farahat
LLHrLRINdiwYNCOCytLeTOVRpQrBpIWlzcWSOTQeXCMbkAgzcoaplAIVvDqrTjcDtoUQKEQjlgSWgIyyYqwFcqyyUhCbNSlVMcEI,Not Accepted,On the Efficiency of Convex Polyhedra.,Shin-ya Katsumata
HBhUHHCuHBtIwjHAIhfAzrXEvuaTPLAhzFftnBHhHdRhUysQnnykGPrAhhqGSEBjINXhugHplkiqmILuFwQYStjNIfotUHNuSIOI,Accepted,On the Efficiency of Convex Polyhedra.,Alexander G. Gray
KADwyBfdaLzIDTNsNUQxjEpQSErMsKsHCbmkDBVurAsOxbPQFeQZXaCgqGggYTAEqSlgWcOitTSpVEpCpUPtuvWCvEBiRUUWWxHR,Accepted,On the Efficiency of Convex Polyhedra.,C. Doga Demirhan
MlGTXuRxfFKxYSQecLHPgbepsptkjUlXMZGQGGVnzknvHCwyFUaWKaeuYuCifkiGXMXACqXRmVnavfAJzrfjSOVhGRABOtShzeUa,Accepted,On the Efficiency of Convex Polyhedra.,Nuno F. Rodrigues
sMkwfybEWwucSTlayFdpAggqSVgShkpSSPIeFstVfPnATUTVfjnixtBspxYgNYCEdxjVrfJFANfavYEEojqkLQgHRyiWjcvWvSfG,Accepted,On the Efficiency of Convex Polyhedra.,Liang-Ting Chen 0001
izYfijPPNGYzGUSEKrYukZNgOHzMmccfGPglrGyjREntvKApTKJaWEnexGaEdAVvZuUOxhrVlnzpgZDRoWCSuqAsDzbDaaVsxHXo,Accepted,On the Efficiency of Convex Polyhedra.,Cho-Jui Hsieh
mQgaskfaAIlbCzcuWLKxDeecGQYmPxbBZjCvfCvAPOwEJxFYBTcHeTEldhNiXHKcsKngfnEzyTSGHaInxJSZcfgGXVyuJIXLlveq,Not Accepted,Representation of Partial Traces.,Nicholas G. Polson
hKkRcHxIZxZBwmaqIxnEkdbkHmQZIpjrKzDhOOCjeETEBljJninalFruGdTCaUpBlCwwFEdXmosKdowzubfpmwrjjaHwincpaVJK,Not Accepted,Representation of Partial Traces.,J. Polokow
zmDpQtlzQmQKudKwFGzzDKcjYBEeLGIIxNAtoTfRsFWTkNvMvxVxHaNoFzfuxYvGdUoQvQfjfbCWupDyhMihSPBVzGxmrdnuSpli,Accepted,Representation of Partial Traces.,Richard D. Braatz
EPztPXJnvNdZjpemgELMREKBUxhDmqORpFRlRdJaZmLMFrfkhBjcEukhVqaCJRtZWRhCkaYZcpWutbtshhwAmUIyBGEQAvRUzlZE,Accepted,Representation of Partial Traces.,Benjamin X. Hall
GnqPIBvgRCfkOFLYyrSafkxoTzXBccemQtrcpafDZTALnghHUevFksZotSwIyZdqIWdBfOXLngOUEgSNpWIkSQpCVmOPtVgKpEtu,Accepted,Representation of Partial Traces.,Jialin Xu
SIclXDNzIJkpAQCUxhxSRBSSoFVQyfReBkztXHvpokbCuZVhfILdfUWdgNvayEiWxoDyAIWPEQnzIobeuHNheudbsirsJBtBWdrD,Not Accepted,Representation of Partial Traces.,Kris Dierickx
DGJkzOEHoANYqOcjLCSDSeOoMZzLMAbaffCwRdXqDzClSxMAswgWabCdizYgJtpyjiNlbvnHyofFklPwHOUtEUiKRkQcJtDWeFSe,Accepted,Representation of Partial Traces.,Joel S. Sokol
sOyAkdcYSTRdxosiffjkRDIaXUpeyCzgzngqoXvyRHTyJXrknmQVJvOfhWbxftudRYdeOILPPGlOoNUQjjtbPkZNcLyIotOqNaoP,Accepted,Representation of Partial Traces.,Yanfeng Zhu 0001
kQTJRzYnRIhBhfLsvVWhgEoNgqinlEYtBPVBwYGSMVairRShsWEWmZkfGmGlnLwSKLsCNYeQiytFwEjvaDcdFbIpMtAsoPBbArvN,Not Accepted,Coalgebraic Update Lenses.,Willy Lesaint
nyyxOsKZmifaXKExCxpImdYBrhrgENhBNpbpWOxagRNspnxMaHSRYmPvSBsxfHrklSxVPgFiVPJbIFNYceWDRGArCHXPjZdnaWRN,Accepted,Coalgebraic Update Lenses.,Heike Wehrheim
ivFVuAGwdGziHRsZNmLyJLuYqcMaDnJbjSBNeedZjezeuHgPjTiGvWOGMvSVBQkttisCbNdEmAKnvzymOJLmrLOOOsgnwMLDwwgV,Not Accepted,Coalgebraic Update Lenses.,Minoru Kitahara
hsmDVeNctKCMDSHEVjjtsczhVWzkkDhxabyKxhjMYItjYjCOPnsPPDgTzpqPKDpEMsMRkLcmCspVLfLMcWLzDXZjAelWHjWNseHe,Accepted,Translating Controlled Graph Grammars to Ordinary Graph Grammars.,Christopher Hart
PvfRxaQOycvndsdOUPauGmfWCcBgSgaErzpuHDzSemuZSAftZzSUgEcZPrVnNAkJSODcxociVqZtlJzOTMFSueoXBhqKywrtWapA,Not Accepted,Translating Controlled Graph Grammars to Ordinary Graph Grammars.,Viviana Patti
IcnrCIridYUIuGAKTTjMDisvLBQJusmkMMcoYXlycXivOeTHTblwwcsvdojaHBloeeSFyWpUdIXbjvLiuKYFGUgnTOuvPtkrexis,Not Accepted,Translating Controlled Graph Grammars to Ordinary Graph Grammars.,Zoltán K. Nagy
XwGtxUfsyllNzYfKQaOtwpXlNUoYTwVoGWTHXgmKPhjwytGVMVgrmtNiLmweBGTokOusfDIuyMITbhefWUdSbQyyFWKzxRDADbij,Accepted,Translating Controlled Graph Grammars to Ordinary Graph Grammars.,Oscar Mondragon
JNUoUqdMIHLSKAhTaqZEGYlMCAtmKHQLvdJEMEqgVGhUPHGeHdBLHWZCFhQVhAnXPCXvAhpYyBUmMHXixuvjfFgiIKKPCDqSeADC,Not Accepted,Approximating Bisimilarity for Markov Processes.,Bernhard Gramlich
hlsjBEItudQquWNPgbCirqdLcpJtajbjVFumEpgQohUOggxENJgJeHtiLwXVDKUhFjwhpnqndqrTXQhnCvQPgqYMdiWWpZsVgxuQ,Accepted,Approximating Bisimilarity for Markov Processes.,Wayne A. Jansen
UpQdEthVNGnERFOVfAeoYqaMlMsuvnoqwFnzPtulrSKZszEEEdceAAzAlLyluFOznmOhjPukAbIXOlepESZglZqYRhTWjIngzsFs,Accepted,Approximating Bisimilarity for Markov Processes.,Thomas L. Griffiths 0001
BJaaSYSGFAcYAMvXmHtTGsenQFZkcxCKkbsfVWwzKsoebFkwRxAcLPniToeObxAhrfJJmTuMewBiZcDKMtIkXsVEohJurpqvtsqS,Not Accepted,Approximating Bisimilarity for Markov Processes.,Benjamin X. Hall
tdJCjuSTulxyxqBcfFyuosxMVLECXZsAiWKwjieoqvTnzeXNvUBYnBOsrXMUlcqduwWPbjSUiEYbicDHSDHdFyhFEtBxeujvrEBC,Accepted,Approximating Bisimilarity for Markov Processes.,Sheila Morais de Almeida
fkioEESwEVOxJBZbQUHJDUPMyXjoTwZbpYhiCZLPQeUkGNiGICViyiqtAjdLUVEwWruqgnQphxdfCnjquDKrrRJvrTHfcUypvaPW,Not Accepted,Approximating Bisimilarity for Markov Processes.,Paolo Siconolfi
yspgBYdVMIIVRhYayYtzrYPGJnzUUWJCvNFfmtOMOvSaLFfylpuHeRvZMGVnTRsjyRkyEbFEfNkTmacHspYsQVvJLsRRUnKfEDsB,Not Accepted,Approximating Bisimilarity for Markov Processes.,Adenilso Simão
ysjCTTAhnOhjLwLucDrQWzcHSHkgTsvMgjvUFcVwNIFQBLTYsuWLvifDokXTIaIpXkgGOuDpOovfBawFdhhVkDwVThpzSntbQiPn,Accepted,Iterated Covariant Powerset is not a Monad.,Inês Lynce
wGnZZXJarCftXvAJpEAeJisQQcYATEJriLYDVbMGVWJaWDVLJFygXIutVuwuwqKeSQPVNQGoiXkiuJiFBlRXSfrUBrSetOCOJEoo,Accepted,Iterated Covariant Powerset is not a Monad.,Yaser Rahimi
ntvPEPwlDOmlxbKlZGtlazsaoFvPzBksKJuKWugllzMIBTGDYhnaUQnmiXhEpEncOJSVpvfQEZuWojMhyFFulmstIgpSqiJVxmRB,Not Accepted,Iterated Covariant Powerset is not a Monad.,Andriy Mnih
jywsfFrrIIKymsaBisSBnNNMcBxywljJfMixoLgZtAWmJkGkpONAQrDOvYqiIlWFJJGFZnzoWsnFUyoTzrKimsVDfAmRzyEgYAmK,Not Accepted,Iterated Covariant Powerset is not a Monad.,Alexandre A. Cezar
mHsBGMIHPtsFDqhVvyhWGWxoVxBKmQcgdMOpJfKzrujvfzjASQUTdCMuGyRNDqGAHHUpwlrVpIhOVtyNOuAlzlsDbUglYBigmiOg,Accepted,The Expressiveness of CSP With Priority.,Pedro Pablo Pérez Velasco
DmLorOfJAhzRJkDmakzcvBkEDRRGhbrOeWsicPXQiauUlSflTMelrBPcKSaALJEqSLCxvCuPUTsmvGKHoSzzdVzJrMHTrGfbMBtm,Not Accepted,The Expressiveness of CSP With Priority.,Sergio Maffeis
hxgUJCGGgOPMmLABesSqqhfAEPSKBfmfjjuFnZhRBFGWGnZMrDWydezktIZvWecOjgUaSczGpBKRngTMPiVevrasncSVCYeKVJJY,Accepted,The Expressiveness of CSP With Priority.,Ramin Bozorgmehry Boozarjomehry
zOtFojAGngIjrPNVTuzvhodOWjtbDpRQGaxsEXREqthlQQcwigrrKoSJlnWkbrGbyAvdWrYpvGAsRxKtMuZQvzfgvIAnJEhAZMAJ,Not Accepted,The Expressiveness of CSP With Priority.,Liam P. Maguire
CXqdYOwVEibpZteRJyQhDRUeTRHSePvTjQJXEjLJUJrvirKkQPeXRfzFDgUojnEOYZYIqHEdBwfLOYWChdBkYonHohBkCbUnotsr,Not Accepted,The Expressiveness of CSP With Priority.,Bijoy Antony Jose
jHhYdHezdJyPCeXeGsReeTwThEymnkoFaOqDLeVOqqRhsLPVPZsQclFwEfSdfvoAuXjmoVCyqBTxAJewjEDUJOfJCMhYrBfxJIdl,Accepted,Testing Applicability of Virtual Stochastic Sensors for Non-Intrusive Appliance Load Monitoring.,Eva Magnusson
VNnSGfNBzmlhWZmRjmNZJjtmrtZgaXGxCyLzZKKySWEKEyhuufCHfDNFdBNnWnyvAVpEJZJOQDUXEKKkLEbUEbLMNJJCtvribnsL,Accepted,Testing Applicability of Virtual Stochastic Sensors for Non-Intrusive Appliance Load Monitoring.,Bernd Finkbeiner
iuZHtULjYBNtosPpaDRQrzdkOWFmxorTJXYBQLXqGUbdjNFHphRFIkKpXpDelRQBUQRgPQfwxzdZvRdlIAuszmZveJWwVrbBwuhK,Not Accepted,Testing Applicability of Virtual Stochastic Sensors for Non-Intrusive Appliance Load Monitoring.,Fani Boukouvala
GWuacinBaCjbtIDSLNoHgXXkPFBZnugDlDflLLVbtaKjhQgzXXEMnerHEuwObghYAvNeqpwYFJfctHDHYFwzcbRJruAAhpAvrXIl,Not Accepted,Testing Applicability of Virtual Stochastic Sensors for Non-Intrusive Appliance Load Monitoring.,Suhrid Balakrishnan
UvZLFclhWvZpRHhfEQOxIXRFXiDjpDdiDhAVuyoDKyoejcPOEzdynUeEZjhxhCWQeBYPtWLLJjqYXDzpPyMbstukBVnlCdwUDiib,Accepted,Testing Applicability of Virtual Stochastic Sensors for Non-Intrusive Appliance Load Monitoring.,Adriana Arza 0001
MiZfMEaXyBIkLThvTOVQjsmJLzpQvLPzKfJGbwISCIfuPjdajKfvpBonLCOjRZoynPnDSjOWoIzJQUjjKwsXRerhrkYeVMxbUvhS,Not Accepted,Proof Certificates for Equality Reasoning.,Antonio Bandera
HjOWrImzWDmOSGcbGfXmFmlaLXpuEAnfQQGfGGvPnWKLmoogrJLgjfjqQlsBwUJMlNNXDqwPmVKjKLUfIynGjZmnYxGWVRIxGmEC,Not Accepted,Proof Certificates for Equality Reasoning.,Ulrike Prange
sXBXyTbsztJpOQAcweQscZNxRwTaHAbUNLiwUxPxMTNDeidDoYFwaZjBcjTMYXHHRezcJUgpQNQgYZjPLijLZWMsZjvcIgovDnGo,Accepted,Proof Certificates for Equality Reasoning.,Michael C. Dorneich
QkiDxFYXEXNZFoqafXxfIumBDlQyiwyHDTICNJjYaeDMZtqLsZVBOfMUBzMgIoPZUItBPVrAAmDAhpxaGmlzQMUPZBbatTaGTDKk,Not Accepted,Proof Certificates for Equality Reasoning.,Benjamin M. Marlin
XUZyqMMURfMtCrglVApyXqiVHzUqNRsmReLDFWqqASkgfJuegsiAtuGdgJOIsxHdvTgKMZmUjxoeQxQxgjZGONPcRPFAtDBacjjX,Not Accepted,On the Flora of Asynchronous Locally Non-monotonic Boolean Automata Networks.,Peter D. Mosses
JbtBTzGTFPqHuEdwJkUIKtugeiqctIsVXaHxIwcimUkVXSSMxRiGJzMRaqchFMOIFPwBkkzvzsTFYpEKxLDLHpzDoPvcCLXbDGVl,Accepted,On the Flora of Asynchronous Locally Non-monotonic Boolean Automata Networks.,Nikolai Tillmann
WvNQGRyMnjuLgDtTptyJlqgMRGtJfJxGlrEhbngwSSceCspYHEVJHiSLPOyIqLXtoTcKpsaZFOhqvCHvLpPfGrxwSovvdetUPREr,Accepted,On the Flora of Asynchronous Locally Non-monotonic Boolean Automata Networks.,Xueyuan Zhou
bVnuMYNKcYyKVAmMuWgeXtnCJOwFlEDftkGBssaTfNxSqZikpZJEEuFTiFVSWsndfKRMrFntGgNzqNhLYRgYTOXUQjuNECEOmQrR,Accepted,On the Flora of Asynchronous Locally Non-monotonic Boolean Automata Networks.,Jean-Simon Pacaud Lemay
KQdGRLIeQuEPeTkOTUSTlUdfwbCwsgeikHuOuJhmcZeVDwpVeMuGGwpkJQrxIqWljkqELWfZSmrdpeBAZaSrIhWVVuygmcdmqdIX,Accepted,On the Flora of Asynchronous Locally Non-monotonic Boolean Automata Networks.,Yakubu Mandafiya John
bgqfykYvzmbTOPlXbjzwIOmJLcvwwPtGJVdrOMRZwKVAXKxzBCTCAwnKHNWsCDnuLmOlLXiKslyjNZBWNkGesQoQsWpsRzTOriHJ,Not Accepted,On the Flora of Asynchronous Locally Non-monotonic Boolean Automata Networks.,Tal Hassner
cWPsMfZgQIlxCslNxETNnXYcRQRliBqOSbuKyLhnfLGytxSqorMymRgOqsqAElQmpZxhsnwsYCrqgznWjjQenmSWEHpdTUWcSRSu,Accepted,On the Flora of Asynchronous Locally Non-monotonic Boolean Automata Networks.,Nicole Shu Ling Yeo-Teh
yJUbOhcUBnRDmrcZWRtNXQFqkWzUEqpGDNfeEnEtaOtbyiJlwOAFuyqWZRhUSPgKHjhVDMsHKgKStefmBlRhLbXjzmNRIOiiRIzm,Accepted,Abstract Similarity Analysis.,Luca Zanetti
tgFIMfhgpvzwiZuSPFWRKHlpQCzCsaUYADOyvcmVogfuKbUSLtoVdDFAmUsamSqlTLEjbqnEPogcTQdjJRFgXamcendpXEVaRwbC,Accepted,Abstract Similarity Analysis.,Thomas Paine
wTkRCVHlWYVcuXlvQdgBwJrQXddUavkiVFhdAxFaqFeQBcNVMVKrmVCbaAKJWDsNBpWPORLoJsvGDFJuRZoIHPurHzIlnsIIeTjM,Not Accepted,Abstract Similarity Analysis.,Mitja Trampus
uPncjbOepsXQFdtxYTdCUwcIrOhGHLpZSEizNkbRyvUWBcAxuVTUoFPgIVSXrDKoCAfvCKpXSyXKlMUfozauBTFmMlmJqFfoZQEJ,Accepted,Efficient Image Stitching through Mobile Offloading.,Esben Heltoft Andersen
rcqXLyUytFmHrIYPAIKNLqSZBwOVeLlHVAhAhgctUouCZOLQXBDhGuYEqemBSEBgMrxrSfyVBuSbGmFkvFRomLdreWoUBDwthcZz,Accepted,Efficient Image Stitching through Mobile Offloading.,Carsten Schmidt 0002
OXjaPJtlQETxCmAyIXdzlsOroNVwOtLEDPyErCuTOwgWojZnKLeeSeqFFqJCkvasPjPknrpFIBYeJEIynZDeMYfEBsvgFLReGwyd,Not Accepted,Efficient Image Stitching through Mobile Offloading.,François Barrère
DjziOZjziFOjqEhjPiOKtMBurlileODhvikEMuiuHOEKBrWAbzgbPNJExGSdXCzYUEuvBAxCPvFOLaNJTfrwvhmAToVUbkiGtykq,Accepted,Efficient Image Stitching through Mobile Offloading.,Anne Doucet
KqAaVbkWLPYtkMgSSaYeGtmhRgFaTgZvBqZnwZkDirJpCnkodqXBlNpBaFULppEumYHabnajVPbJoBbTlwDJcolUOLkGdWXUhCfn,Accepted,Efficient Image Stitching through Mobile Offloading.,M. Ali Khan
eBuhlYJodAjyezpXagLwIWgyGyeDXnkIpvukBQGzDBiBRbPjFhavRFwSBSSzcpeMZFoDnNSSjTnywNwQEQqyzzBAXhXGDCyfdXfG,Not Accepted,Efficient Image Stitching through Mobile Offloading.,Jonas Frey
KTlFxousySTvAMpJsRIhGserUTartsmOdRVAMihkwSMMOJqdyBasNNbymTllLepGOooTUmxujVTTZoiKYISrVnPmjgpgziVfZCyZ,Not Accepted,Hardness and Efficiency on Minimizing Maximum Distances for Graphs With Few ,Jesper Bengtson
LbthiUFmvVPGZLPHqMuxAoZTyPWukahxciYHsHtUqrKabhgcMDPOgfXOBWfDENIeKccRChQlVcAahBYZHlNhGoADLMbNChVUHQzr,Accepted,Hardness and Efficiency on Minimizing Maximum Distances for Graphs With Few ,Jaouad Eddouibi
pHdCGhclKCCuJKnSXdweXgEheOBhyXsvGgEdldPKkewJQLAGGeiTBrRUHARRKjASjbGhQpwqgVCfhoimgsWlHmrWQJqQOVhnTxTe,Not Accepted,Hardness and Efficiency on Minimizing Maximum Distances for Graphs With Few ,Francis Henninger
SAvwvLzxXRNWyLTUntbzTyIzwPhPwmScaiqdGeqcEaiaBGftDWBWpHaAgSOzlKjWxICneLjgLXrFERWNoBaoLCphmVdlDoLqTdcv,Not Accepted,Hardness and Efficiency on Minimizing Maximum Distances for Graphs With Few ,Mark R. Shinwell
HOkyYgqnjEDUaatJkKNytDkUmBpljrYxEspEyTCTmClhlXGKbccdUcbJnIMdjzuFwdyVTdwmijqhgGJDyDMxkvzetaZRGBRdzVMs,Accepted,Hardness and Efficiency on Minimizing Maximum Distances for Graphs With Few ,Felix Brandt 0001
BXzxXjpahoZeGygIIOCGFjaFwHjyAxcNSMDbXrzYMlJeDwFncyszllqqmxfKBhTnHPhmWQpKqEwYXqRCeEdmpJQPdPVcIoYVRWvA,Not Accepted,Hardness and Efficiency on Minimizing Maximum Distances for Graphs With Few ,Frank Scherbaum
zHLFUuLRLCeJUACGTXoUuRDuODTaXFdpQemgRuBrgzGLEPCTycbMarbszHMiyscBvzVKnpdjernGyCFbNOCXtOCuKHCRMJSuOIJO,Accepted,Hardness and Efficiency on Minimizing Maximum Distances for Graphs With Few ,Wiebe van der Hoek
VkaiaFYafXTrjgXrUqZCMSlLprHhIHPsehWBnLTLZrCaEVPeRtzCnnaCAnrNPaOTYhozWrRFFXScwcoMEbhErFDeWRKArfCnAltM,Not Accepted,Hardness and Efficiency on Minimizing Maximum Distances for Graphs With Few ,Diego Oliva
zglfTfxFVUkyQlvxeaKtEzSrXDAcdfXwTQeHeaovoTfcZeGXMfOMBzvVFaPytEvtVxzYDWHKXkBYTEcUpJJfdUioDxKEaWbGWVES,Not Accepted,Hardness and Efficiency on Minimizing Maximum Distances for Graphs With Few ,Brian Hill
vEnsWhTTfTcmHJpEgkyfukugcHDZTIguHAdmOHLDWhlIcQixAQXoYzvMyHJOuprHtwDUuiMCDhnEcnCZovmqqVZwnnKhxJaKPuAw,Accepted,A Characterization of Claw-free CIS Graphs and New Results on the Order of CIS Graphs.,Antonio Carlos Brandao Araujo
fFMEYqaLhurJqApzblrFLwebKXeLUrsKJlOWpFzCcSLmxDVnDrKnwYgYknZiSEPoiZlecqzYyWjsvwXOFQGnvRpVZMmWwJrNaZdN,Accepted,A Characterization of Claw-free CIS Graphs and New Results on the Order of CIS Graphs.,Lisa Hellerstein
dLOpEhFNUnaMGEgKuguHmXPDnAnBNmJnNFBXepZJqGrFeWOVWmgCCpbAFAZKqdRLKPXohdAcVIWGlrKBInVByTovhBOQITNFGVFb,Accepted,A Characterization of Claw-free CIS Graphs and New Results on the Order of CIS Graphs.,Michael Siracusa
cUkUMapUrtvtjdMldDmcevuaNiIoiWwmZbNGMsIYUxuVJIbGRwBnWxMDFillZphbkCuTnqRvwTffcOhrwjgubYqAujmkVPBNYsMN,Accepted,A Characterization of Claw-free CIS Graphs and New Results on the Order of CIS Graphs.,Aravind Devanand
puIfSoygQaqgDdlqmqRUIMgrwNBUHIAlTmZfruTeWaYaZQpAYyCLvknnatuixiAoUcQImqoHmaqhWUuRoMPJClXTzppAlvyPJPEs,Accepted,A Characterization of Claw-free CIS Graphs and New Results on the Order of CIS Graphs.,Hamed Ghasemieh
cGhhROCpSFmYpzooSiaEGPIbzEjxaFVHFTBJYMcJZoABgyzNlejyDBhwYtJTlcWGGNBpBNSfloWKTjwMGaTamvvMSQjYpvWGdFzW,Not Accepted,A Characterization of Claw-free CIS Graphs and New Results on the Order of CIS Graphs.,Prem Melville
YXcItZVOpbSwHNKKCqKeIsoMDxdYBgpVvcZaoGsvwZTsYsvSCPCLuWSBxbmWoiUorRKqRTvSfWSjIsFeGzRUQHMjcgPlHGIgpvcw,Accepted,A Characterization of Claw-free CIS Graphs and New Results on the Order of CIS Graphs.,Carl Smith
WBqAYAQpVGWmRFmNvBMMCNyaeGVtwtwYynuWCNKofsxAzDyZfBqKIHLikFckYXCuImGPEBiwBwfmfSGZsYECJnATDreiAoVkuNGe,Not Accepted,A Characterization of Claw-free CIS Graphs and New Results on the Order of CIS Graphs.,Nicoletta Cocco
FHuFszABJRxuPhtAEblUTQJPSPVlZqEdxpHnSJDAZaMSlFpbAAsliofMFwGTnuqjjZhChDgYQPSMnyyieqHmCIoYtBByBlnpsdbo,Accepted,A Characterization of Claw-free CIS Graphs and New Results on the Order of CIS Graphs.,Mauro R. C. da Silva
oyCTnEKmkRLprtHKrASZORDPTCdNCrZEwClUqLtraUmfJZIpqbofYmCYtrzxESMkKxkrPcQkmebNKwmbBLhOLWcflZcqXiVqXcEz,Not Accepted,Dimension Reduction of Large Sparse AND-NOT Network Models.,Sachio Hirokawa
pyglJWnmTvWNJvEnrUnzybjGAtYbvlwDDUdSmcXXpTutetlINXSHjkqivDsucMlLiEQBqtdqvBpDYKCffSzVzuqNQxKbeDquqMFZ,Accepted,Dimension Reduction of Large Sparse AND-NOT Network Models.,Clément Jacq
cwiEeAmLTPuDXdndXgJupqMXNErkaRiMZGfEZcAfioxRpTJCKoPrrjyiIjxLdevXKagEGcztEBcHoIMWQyBWAqrQdujwKRenryOo,Accepted,Dimension Reduction of Large Sparse AND-NOT Network Models.,Yohanes E. Riyanto
dlVQEBzHamxCuafGGwMeEqpzabKYHhXiPKZhVnsJYFhcepxGsCUdDszpnXxDjqZGgogyLMLZryGpRuYTlavKfRIlCGclMcsNfLoh,Accepted,On the Representation of Semigroups and Other Congruences in the Lambda Calculus.,Eduardo C. Xavier
ilBCbUGOUUxCzWolDXWUPEeFbDjHXtBOPgompuogFnfmyngeBMSqBPtLcIKFrdZKMGYfSRgGHJSWsbkxPxZbBVxKnlkQchjFPNVj,Accepted,On the Representation of Semigroups and Other Congruences in the Lambda Calculus.,Chuen-Hau Gao
BmyMWJXCfnzjTAMwdnMlJJvSNwtchfkWyNpbEeJEZsCYbSUtnnVcLaoGzlxqdqLqhzpTCmWPhravIZhVDTxqgaQwOffjVuiCclaB,Not Accepted,On the Representation of Semigroups and Other Congruences in the Lambda Calculus.,Jennifer Ford
HujXfobCBTeplRcqpwjSlOkpVUCpDXeNOpUOphAccYfHmUkwigNYugpVuwUgFSZncrMpiHGsCweQlUXzKnYGImHFoWYdGxEzLatc,Accepted,Meet Precontinuous Posets.,Luc Moreau 0001
IQFGWrfoYHSirDDgebCHqbqVZmSMQYodMbwTfvbebTIRRXEaWdSmbiuRdGoshlrIabCEFRHXZdYGiOXCqPlGnLyKnAdJvKDEhDBZ,Not Accepted,Meet Precontinuous Posets.,Trevor Darrell
TsvToYovxDCdpDACSDOiMwFCCxPakwTySYOJfmYgaVjDXFiSriHohnranqZYtUuRDhoLhgFIsbnRBZSzuzaZpeFvlzZjnfGkeffa,Accepted,Meet Precontinuous Posets.,Rafael Accorsi
liKpijLLSEJgtGtTBgBasUzCyWjYHfMbCmwdWNJsmBbPnloOBFhIPpzmYvleTJxUPZLhkbmidZhOcZlJEwRkPqQlEIPkaRxYEdyf,Accepted,Meet Precontinuous Posets.,Kalyan Chatterjee
FJAyzDYuiTLySwaRpSzpcegeZEeGQlNskfRPvmyKYYXahhwvSbBQXsfEyKmjmUgafGlmAKrFlTsUgQlsdqSxLJijCYXULDipOgFU,Accepted,Meet Precontinuous Posets.,Bo Chen
xSkjPCtmNfNEHZSgbHxfqLHodYlqrwLKxgfOjzPrPtElCBRwmTRyhSoGqBuRLKITGQBPGAPWUfibNaWKbRQThAeBqWTOhhdyaKYW,Accepted,Meet Precontinuous Posets.,Dusko Pavlovic
cHKTwaDxchEAtFsdjABWfQBCQwqJUVaEiAeisiFuJeozpmZLRRnYjooLsCTlLswqXCIotMiHoKHVoQFiosdAOFTFANhcXCkLTWBK,Accepted,Meet Precontinuous Posets.,Timothy Porter 0001
zHZTMRzHHWSeSgJSnMxMrSZRkonkjFMEiMGUPrPMkmvMFgqidXVVQTYaUeOgruSfwxprbNyDbKTosjsSjnIjMRhGmAZqyadVptYR,Not Accepted,Meet Precontinuous Posets.,Phillip Benachour
NuMwUSZJmtUPVMVKGMnaCDkJGXgWXcFvOtLLWTGLRrsnZWjzNkBTDnDrsjJZcoBsUslpFDeAvzaitQdcBhIiqnCMsTLUuvEGcnza,Not Accepted,Meet Precontinuous Posets.,Mark van den Brand
mqXJyfVogAFwLwKFJOXPxZZhFnEFEvDXPpdmqYFNvlzZXzEzVWIdyJqrFAsOJpAjlrYTeMZywtfLjCHHLoWbCzcYTDYNHqbDHewf,Not Accepted,A Practical Semi-External Memory Method for Approximate Pattern Matching.,Dino Di Cola
