paper,main_author
Updating confidence in beliefs.,Brian Hill
Objective rationality foundations for (dynamic) ,Mira Frick
"Corrigendum to ""Asymptotic behavior of Bayesian learners with misspecified models"" [J. Econ. Theory 195 (2021) 105260].",Demian Pouzo
Social welfare in search games with asymmetric information.,Amnon Schreiber
Reverse Bayesianism and act independence.,David Kelsey
Necessary and sufficient conditions for determinacy of asymptotically stationary equilibria in OLG models.,Alexander Gorokhovsky
Stochastic choice and rational inattention.,Yi-Hsuan Lin
The measurement of the value of a language.,Jorge Alcalde-Unzu
Coalitional strategic games.,Kazuhiro Hara
Approval voting under dichotomous preferences: A catalogue of characterizations.,Dominik Peters
"Corrigendum to ""Dynamic analysis of patent policy in an endogenous growth model"" [J. Econ. Theory 132 (2007) 306-334].",Teruki Konishi
Constrained random matching.,Ivan Balbuzanov
Interdistrict school choice: A theory of student assignment.,Fuhito Kojima
Bubbly bailout.,Feng Dong 0003
The conditional contribution mechanism for repeated public goods - The general case.,Andis Sofianos
Unemployment risks and intra-household insurance.,Javier Fernández-Blanco
Bounded memory in a changing world: Biases in behaviour and belief.,Kalyan Chatterjee
Hiding and herding in market entry.,Francis Bloch
Disclosure in epidemics.,Ju Hu
On equilibrium existence in generalized multi-prize nested lottery contests.,Qiang Fu 0002
Twofold multiprior preferences and failures of contingent reasoning.,Federico Echenique
"Ignorance, pervasive uncertainty, and household finance.",Haijun Wang
"Wealth, endogenous collateral quality, and financial crises.",Andrew J. Sinclair
On the empirical relevance of correlated equilibrium.,Daniel Friedman
Intertemporal preference with loss aversion: Consumption and risk-attitude.,Hyeng Keun Koo
A characterization of Cesàro average utility.,Marcus Pivato
Strategic investment and learning with private information.,Nicolas Klein
A random attention and utility model.,Nail Kashaev
Aggregation of opinions in networks of individuals and collectives.,Hervé Crès
Cheating and compensation in price-fixing cartels.,Jihwan Do
Price skimming: Commitment and delay in bargaining with outside option.,Dongkyu Chang
"Sharing idiosyncratic risk even though prices are ""wrong"".",Edward Halim
Generalized separability and integrability: Consumer demand with a price aggregator.,Thibault Fally
The limits of meritocracy.,Felix Várdy
"A dynamic theory of bank lending, firm entry, and investment fluctuations.",Yunzhi Hu
Tie-breaking and efficiency in the laboratory school choice.,Isa Emin Hafalir
Existence and uniqueness of recursive utilities without boundedness.,Timothy M. Christensen
The normality assumption in coordination games with flexible information acquisition.,Alexandros Rigos
Comparing theories of one-shot play out of treatment.,Christoph Kuzmics
Non-Bayesian updating in a social learning experiment.,Antonio Guarino
Robust bidding and revenue in descending price auctions.,Christian Kellner
Ambiguity under growing awareness.,Adam Dominiak
"Portfolio concentration, portfolio inertia, and ambiguous correlation.",Julia Jiang
Time-consistent equilibria in dynamic models with recursive payoffs and behavioral discounting.,Kevin L. Reffett
Continuous implementation with direct revelation mechanisms.,Mallesh M. Pai
Security design without verifiable retention.,Qi Li
Quasi-hyperbolic discounting under recursive utility and consumption-investment decisions.,Yuki Shigeta
"Corrigendum to ""Core equivalence theorem with production"" [J. Econ. Theory 137 (1) (2007) 246-270].",Charles Zhoucheng Zheng
Equilibrium characterization and shock propagation in conflict networks.,Jin Xu
Principal-agent VCG contracts.,Elisheva S. Shamash
Learning and firm dynamics in a stochastic equilibrium.,Can Tian
New formulations of ambiguous volatility with an application to optimal dynamic contracting.,Peter G. Hansen
Big data clustering using fractional sail fish-sparse fuzzy C-means and particle whale optimization based MapReduce framework.,Omkaresh Kulkarni
Study on secure distribution of vehicle road collaborative data based on attribute-based encryption.,Heniguli Wumaier
Conflict detection in Task Heterogeneous Information Networks.,Lin Li
Financial risk evaluation method of blockchain digital currency based on CART algorithm.,Haiyang Lv
Scheduling control method of Internet of things data uplink based on TS algorithm.,Zhao-Long Wang
A prison term prediction model based on fact descriptions by capturing long historical information.,Jianwei Zhang 0002
Integrity protection method for trusted data of IoT nodes based on transfer learning.,Lin Tang
Advanced ant colony algorithm for high dimensional abnormal data mining in Internet of things.,Hongjiang Zheng
A secure encryption method of communication channel based on cloud computing technology.,Weiwei Wu
Exponential Ant-Lion Rider Optimization for Privacy Preservation in Cloud Computing.,Nallamothu Nagamalleswara Rao
Packet loss rate monitoring model of IoT based on differential evolution algorithm.,Wei Yang
An anti-tampering model of sensitive data in link network based on blockchain technology.,Xianghong Li
A comprehensive survey on container resource allocation approaches in cloud computing: State-of-the-art and research challenges.,Girish P. Bhole
Research on complex attribute big data classification based on iterative fuzzy clustering algorithm.,Li Qian
Research on dynamic and secure storage of financial data based on cloud platform.,Jingyi Li
Research on internal network data security monitoring method based on NB-IoT.,Jidong Sha
Path coverage enhancement in wireless sensor networks based on CVT model.,Guangxu Yu
Graph-based knowledge tracing: Modeling student proficiency using graph neural networks.,Hiromi Nakagawa
Understanding the link between audience engagement metrics and the perceived quality of online news using machine learning.,Catherine Sotirakou
A novel gateway node reconfiguration method of IOT based on hierarchical coding particle swarm optimization.,Dajiang He
Rider and Sunflower optimization-driven neural network for image classification.,Gangadhara Rao Kancherla
A federated learning based semi-supervised credit prediction approach enhanced by multi-layer label mean.,Guowei Wang
A hybrid threat model for system-centric and attack-centric for effective security design in SDLC.,Ganesh Viswanathan
Trust-based federated learning for network anomaly detection.,Luxin Cai
A bit-object-based method for mining maximum frequent patterns in intensive cloud computing data.,Chen Chen
Trends in web data extraction using machine learning.,C. Narendra Babu 0001
Research on information classification and storage in cloud computing data center based on group collaboration intelligent clustering.,Linlin Zhang
On Task Dependence of Helicopter Pilot Biodynamic Feedthrough and Neuromuscular Admittance: An Experimental and Numerical Study.,Andrea Zanoni
EEG Correlates of Difficulty Levels in Dynamical Transitions of Simulated Flying and Mapping Tasks.,Adriana Arza 0001
A Survey of Eye Tracking in Automobile and Aviation Studies: Implications for Eye-Tracking Studies in Marine Operations.,Guoyuan Li
Does Explicit Categorization Taxonomy Facilitate Performing Goal-Directed Task Analysis?,Alexandre Moïse
Performance Analysis of Learning From Demonstration Approaches During a Fine Movement Generation.,Aljaz Baumkircher
Impact of Human-Centered Vestibular System Model for Motion Control in a Driving Simulator.,Andras Kemeny
Delay Time Fractional-Order Model for the Soft Exoskeleton Glove Control.,Decebal Popescu
Computer Interface for Real-Time Gait Biofeedback Using a Wearable Integrated Sensor System for Data Acquisition.,Inigo Sanz-Pena
Extending the Evaluation of Social Assistive Robots With Accessibility Indicators: The AUSUS Evaluation Framework.,Adrián Romero-Garcés
Best Viewpoints for External Robots or Sensors Assisting Other Robots.,Jan Dufek
Identifying Drone Operator by Deep Learning and Ensemble Learning of IMU and Control Data.,Abdulhadi Shoufan
Sequential Weakly Labeled Multiactivity Localization and Recognition on Wearable Sensors Using Recurrent Attention Networks.,Jun He 0006
Assessment of Machine Learning Models for Classification of Movement Patterns During a Weight-Shifting Exergame.,Beatrix Vereijken
A Novel Application of Flexible Inertial Sensors for Ambulatory Measurement of Gait Kinematics.,Curran Reddy
Who/What Is My Teammate? Team Composition Considerations in Human-AI Teaming.,Beau G. Schelble
Hand Gesture Recognition Using Multiple Acoustic Measurements at Wrist.,Nabeel Siddiqui
"Assessing Alternative Approaches for Conveying Automated Vehicle ""Intentions"".",Alexis Basantis
"Variable Damping Control for pHRI: Considering Stability, Agility, and Human Effort in Controlling Human Interactive Robots.",Connor Phillips
Use of Mobile EEG in Decoding Hand Movement Speed and Position.,Neethu Robinson
How Does Explanation-Based Knowledge Influence Driver Take-Over in Conditional Driving Automation?,Huiping Zhou
Incentive Mechanism for Mobile Devices in Dynamic Crowd Sensing System.,En Wang
Phase Variable Based Recognition of Human Locomotor Activities Across Diverse Gait Patterns.,Bi Zhang
Attentive Sequence-to-Sequence Modeling of Stroke Gestures Articulation Performance.,Lokesh Kumar T.
Electromyography for Teleoperated Tasks in Weightlessness.,Annette Hagengruber
Human-Machine Interaction Sensing Technology Based on Hand Gesture Recognition: A Review.,Ligang Yao
Delivering Critical Stimuli for Decision Making in VR Training: Evaluation Study of a Firefighter Training Scenario.,António Valente
An Improved IOHMM-Based Stochastic Driver Lane-Changing Model.,Can Xu
3D Model-Based Gaze Tracking Via Iris Features With a Single Camera and a Single Light Source.,Jiahui Liu
Toward Long-Term FMG Model-Based Estimation of Applied Hand Force in Dynamic Motion During Human-Robot Interactions.,Carlo Menon
Evaluating the Effect of Poor Contrast Ratio in Simulated Sensor-Based Vision Systems on Performance.,Güliz Tokadli
A Self-Paced BCI With a Collaborative Controller for Highly Reliable Wheelchair Driving: Experimental Tests With Physically Disabled Individuals.,Ana C. Lopes
Automation Error Type and Methods of Communicating Automation Reliability Affect Trust and Performance: An Empirical Study in the Cyber Domain.,Bin Hu 0005
Levels of Automation and Transparency: Interaction Design Considerations in Assistive Robots for Older Adults.,Dana Gutman
Implementation of a Character Recognition System Based on Finger-Joint Tracking Using a Depth Camera.,Ki-Chul Kwon
Predicting Emotion Reactions for Human-Computer Conversation: A Variational Approach.,Li Li
Cobots in Industry 4.0: A Roadmap for Future Practice Studies on Human-Robot Collaboration.,Ann-Kathrin Wortmeier
Individualized Mutual Adaptation in Human-Agent Teams.,Dana Hughes 0001
A Collaborative Filtering Approach Toward Plug-and-Play Myoelectric Robot Control.,Asuka Takai
A Systematic Review on Motor-Imagery Brain-Connectivity-Based Computer Interfaces.,Emanuele Menegatti
Gesture Recognition Using Reflected Visible and Infrared Lightwave Signals.,Christopher Crick
Holoscopic 3D Microgesture Recognition by Deep Neural Network Model Based on Viewpoint Images and Decision Fusion.,Hongying Meng
Archery Skill Assessment Using an Acceleration Sensor.,Hanako Fukamachi
Toward Robots' Behavioral Transparency of Temporal Difference Reinforcement Learning With a Human Teacher.,Alessandra Sciutti
Using Operator Gaze Tracking to Design Wrist Mechanism for Surgical Robots.,Kazuya Kawamura
Characteristics That Make Linear Time-Invariant Dynamic Systems Difficult for Humans to Control.,Jesse B. Hoagg
A Review of Virtual Reality Studies on Autonomous Vehicle-Pedestrian Interaction.,Callum Parker
Classification of Officers' Driving Situations Based on Eye-Tracking and Driver Performance Measures.,Maryam Zahabi
An Adaptive General Type-2 Fuzzy Logic Approach for Psychophysiological State Modeling in Real-Time Human-Machine Interfaces.,Changjiang He
The Effects of Haptic Feedback and Transition Type on Transfer of Control Between Drivers and Vehicle Automation.,Nadine B. Sarter
Discovering Tactical Memory From Observed Human Performance in Machine Learning.,Avelino J. Gonzalez
Exploration of Teammate Trust and Interaction Dynamics in Human-Autonomy Teaming.,Christopher W. Myers
Multiuser Stereoscopic Projection Techniques for CAVE-Type Virtual Reality Systems.,Adam Mazikowski
Radar Command Group Time Entropy Signature as a Visual Monitoring Enhancement for Air Traffic Controllers.,Béatrice Pesquet-Popescu
Influencing Human Escape Maneuvers With Perceptual Cues in the Presence of a Visual Task.,Aakash Bajpai
Investigating the P300 Response as a Marker of Working Memory in Virtual Training Environments.,Karen Rafferty
A Deep Learning Framework of Autonomous Pilot Agent for Air Traffic Controller Training.,Bo Yang
"Impact of Pilot's Expertise on Selection, Use, Trust, and Acceptance of Automation.",Jordan Navarro
Driving Skill Modeling Using Neural Networks for Performance-Based Haptic Assistance.,Hojin Lee
Separability of Motor Imagery Directions Using Subject-Specific Discriminative EEG Features.,A. Prasad Vinod 0001
Lifting Posture Prediction With Generative Models for Improving Occupational Safety.,Hanwen Wang
Load Asymmetry Angle Estimation Using Multiple-View Videos.,Ming-Lun Lu
Local Domain Adaptation for Cross-Domain Activity Recognition.,Fang Deng
Motion Planning for Human-Robot Collaboration Using an Objective-Switching Strategy.,Akira Kanazawa
Two Fall-Related and Kinematic Data-Based Approaches for an Instrumented Conventional Cane.,Cristina P. Santos 0001
Neurophysiological Evaluation of Haptic Feedback for Myoelectric Prostheses.,Garrett Ung
The Benefit of Assisted and Unassisted Eco-Driving for Electrified Powertrains.,Craig Kevin Allison
A Comparison of Expert Ratings and Marker-Less Hand Tracking Along OSATS-Derived Motion Scales.,Brady L. Miller
Gesture-Radar: A Dual Doppler Radar Based System for Robust Recognition and Quantitative Profiling of Human Gestures.,Bin Guo 0001
ArmSym: A Virtual Human-Robot Interaction Laboratory for Assistive Robotics.,Bernhard Schölkopf
"Interaction With Gaze, Gesture, and Speech in a Flexibly Configurable Augmented Reality System.",Feng Lu 0005
Assessing Collaborative Physical Tasks Via Gestural Analysis.,Edgar Rojas-Muñoz
Plant-wide troubleshooting and diagnosis using dynamic embedded latent feature analysis.,Si-Zhao Joe Qin
Robust control of fed-batch high-cell density cultures: a simulation-based assessment.,Eduardo Agosin
Convolutional feature extraction for process monitoring using ultrasonic sensors.,Alexander L. Bowler
Robust model predictive control with embedded multi-scenario closed-loop prediction.,Christopher L. E. Swartz
Water desalination by forward osmosis: Dynamic performance assessment and experimental validation using MgCl,Jaouad Eddouibi
Multirate moving horizon estimation combined with parameter subset selection.,Jaehan Bae
Online model maintenance in real-time optimization methods.,Johannes Jäschke
Model based hazard identification: Process time accelerated by GPU redesigning approach.,Juraj Labovský
"Fast, easy-to-use, machine learning-developed models of prediction of flash point, heat of combustion, and lower and upper flammability limits for inherently safer design.",Hans J. Pasman
State transients in storage systems for energy fluids.,Aruna Coimbatore Meenakshi Sundaram
"A methodological design framework for hydrogen and methane supply chain with special focus on Power-to-Gas systems: Application to Occitanie region, France.",Catherine Azzaro-Pantel
Molecular insights through computational modeling of methylene blue adsorption onto low-cost adsorbents derived from natural materials: A multi-model's approach.,Alessandro Erto
A new graphical approach for simultaneous targeting and design of mass exchange networks.,Duncan M. Fraser
A study of periodic operation in bioprocess systems: Internal and external oscillations.,Ahmet Palazoglu
"Geometry, kinetics and reactor network synthesis: Attainable limits for minimizing residence time in biomethane digesters.",Ahmad Addo
Fault detection and diagnosis in process system using artificial intelligence-based cognitive technique.,Faisal Khan 0001
ChromaTech: A discontinuous Galerkin spectral element simulator for preparative liquid chromatography.,Eric von Lieres
Managing uncertainty in data-driven simulation-based optimization.,Anshuman Sinha
Machine learning refinery sensor data to predict catalyst saturation levels.,Bram Steurtewagen
Operation optimization of a cryogenic NGL recovery unit using deep learning based surrogate modeling.,Jorge Chebeir
A method to circumvent the combinatorial difficulties in the optimal design of distillation columns.,Fred D. Otto
Performance analysis of waste-to-energy technologies for sustainable energy generation in integrated supply chains.,Iiro Harjunkoski
Dynamic optimization with complementarity constraints: Smoothing for direct shooting.,Adel Mhamdi
Stochastic optimization model for coordinated operation of natural gas and electricity networks.,Goran Strbac
Operational safety assessment of offshore pipeline with multiple MIC defects.,Faisal I. Khan
Uncertainty management via online scheduling for optimal short-term operation of cascaded hydropower systems.,Christopher L. E. Swartz
Biodigester rapid analysis and design system (B-RADeS): A candidate attainable region-based simulator for the synthesis of biogas reactor structures.,Ahmad Addo
Non-convex chance-constrained optimization for blending recipe design under uncertainties.,Loren dela Rosa
Immersive virtual crude distillation unit learning experience: The EYE4EDU project.,Carlo Pirola
Site specific process design for Hybrid CSP-Waste plants.,Ester de la Fuente
An optimization approach for improving the exergetic efficiency in mesoscale combustor.,Kuo-Tsong Yu
"A pressure-driven, dynamic model for distillation columns with smooth reformulations for flexible operation.",Christian Hoffmann
Linking reaction mechanisms and quantum chemistry: An ontological approach.,Angiras Menon
A general-purpose method for Pareto optimal placement of flow rate and concentration sensors in networked systems - With application to wastewater treatment plants.,Kris Villez
Industrial process time-series modeling based on adapted receptive field temporal convolution networks concerning multi-region operations.,Hongguang Li
Deep hybrid modeling of chemical process: Application to hydraulic fracturing.,Joseph Sang-Il Kwon
Performance evaluation of reverse osmosis brackish water desalination plant with different recycled ratios of retentate.,Alanood A. Alsarayreh
Fault detection and diagnosis based on transfer learning for multimode chemical processes.,Hao Wu
Validity of continuous tuning rules in event-based PI controllers using symmetric send-on-delta sampling: An experimental approach.,Antonio Visioli
A multi-level programming for shale gas-water supply chains accounting for tradeoffs between economic and environmental concerns.,Jing Li
A deep reinforcement learning approach for chemical production scheduling.,Can Li
A tractable approximation for stochastic MPC and application to mechanical pulping processes.,Hui Tian
Surrogate based optimization of a process of polycrystalline silicon production.,César Ramírez-Márquez
Sustainable wastewater treatment plants design through multiobjective optimization.,Alicia Román-Martinez
"Modeling, analysis and multi-objective optimization of an industrial batch process for the production of tributyl citrate.",Abderrazak M. Latifi
Scheduling custom printed napkin manufacturing by P-graphs.,Botond Bertók
Computational fluid dynamics-based in-situ sensor analytics of direct metal laser solidification process using machine learning.,Panagiotis D. Christofides
Integrated design of processes and products: Optimal renewable fuels.,Alexander Mitsos
Open-loop control of directed self-assembly of colloidal particles in a microfluidic device.,Baggie W. Nyande
Numerical simulation of natural convection and boil-off in a small size pressurized LNG storage tank.,Jose Luis Ferrín
A systematic framework for assessing the applicability of reactive distillation for quaternary mixtures using a mapping method.,Anton A. Kiss
Identification of optimal transitions towards climate footprint reduction targets using a linear multi-period carbon integration approach.,Dhabia M. Al-Mohannadi
Real-time feasibility of nonlinear model predictive control for semi-batch reactors subject to uncertainty and disturbances.,Bogdan Dorneanu
Modeling inter-kingdom regulation of inflammatory signaling in human intestinal epithelial cells.,Arul Jayaraman
Efficient decomposition strategy for scheduling of multistage production system and combined heat and power.,Dawid P. Hanak
A quadratic approximation of the back-off methodology for the control structure selection problem.,Christos S. Patilas
Machine learning algorithm for clustering of heart disease and chemoinformatics datasets.,K. Balaji
Benchmark temperature microcontroller for process dynamics and control.,Jeffrey Dean Kelly
A Smart Contract-based agent marketplace for the J-Park Simulator - a knowledge graph for the process industry.,Markus Kraft
Dynamic assessment of control room operator's cognitive workload using Electroencephalography (EEG).,Babji Srinivasan
An LS-SVM classifier based methodology for avoiding unwanted responses in processes under uncertainties.,Edelmira D. Gálvez
Product design: An optimization-based approach for targeting of particulate composite microstructure.,Faheem Mushtaq
Analytical time-stepping solution of the discretized population balance equation.,Antonio Buffo
Systematic design of active constraint switching using selectors.,Krishnamoorthy Dinesh 0002
A Fourier-based control vector parameterization for the optimization of nonlinear dynamic processes with a finite terminal time.,Gustavo Juan Eduardo Scaglia
A novel hybrid Harris hawks optimization and support vector machines for drug design and discovery.,Diego Oliva
Computationally efficient identification of probabilistic design spaces through application of metamodeling and adaptive sampling.,Dimitrios Giamalakis
Modeling the deactivation of CaO-based sorbents during multiple Ca-looping cycles for CO,Carla I. C. Pinheiro
Towards a controllability analysis of multiscale systems: Application of the set-theoretic approach to a semi-batch emulsion polymerization process.,Hugo Hernández
Optimisation of multi effect distillation based desalination system for minimum production cost for freshwater via repetitive simulation.,Flavio Manenti
Multi-objective optimization of operation of lignocellulosic acetone-butanol-ethanol fermentation with ex situ butanol recovery (ESBR).,Boeun Kim
Water planning framework for alfalfa fields using treated wastewater fertigation in Qatar: An energy-water-food nexus approach.,Fatima Zahra Lahlou
Modelling and integration of process networks for C4 hydrocarbons.,Nan Zhang
Methods of weighted moments for the relay feedback autotuning of conservative PI controllers.,Friedrich Y. Lee
Data analytics approach for online produced fluid flow rate estimation in SAGD process.,Biao Huang 0001
"Corrigendum to ""Mixed-integer nonlinear programming models for optimal design of reliable chemical plants"" [Computers & Chemical Engineering 116 (2018) 3-16].",Ignacio E. Grossmann
A robustly model predictive control strategy applied in the control of a simulated industrial polyethylene polymerization process.,Ana M. Ribeiro
Model-based process design of a ternary protein separation using multi-step gradient ion-exchange SMB chromatography.,Eric von Lieres
Prediction model to analyze the performance of VMD desalination process.,Chaohuan Yang
An integrated data-driven modeling & global optimization approach for multi-period nonlinear production planning problems.,C. Doga Demirhan
Feature engineering in big data analytics for IoT-enabled smart manufacturing - Comparison between deep learning and statistical learning.,Devarshi Shah
Reinforcement learning for batch bioprocess optimization.,Dongda Zhang
Offshore oil production planning optimization: An MINLP model considering well operation and flow assurance.,Chaodong Tan
A methodology for building a data-enclosing tunnel for automated online-feedback in simulator Training.,Anis Yazidi
A graph theory approach for scenario aggregation for stochastic optimisation.,Ioannis Gkioulekas
Machine learning to identify variables in thermodynamically small systems.,Aditya Dendukuri
Quantum computing based hybrid solution strategies for large-scale discrete-continuous optimization problems.,Akshay Ajagekar
Comprehensive sensitivity analysis and process risk assessment of large scale pharmaceutical crystallization processes.,Gürkan Sin
DMC controller design for an integrated Allam cycle and air separation plant.,Dan Fernandes
Adjoint optimization for the general rate model of liquid chromatography.,Achim Schwämmle
Optimal operation and control of heat to power cycles: A new perspective from a systematic plantwide control approach.,Cristina Zotica
"Comprehensive development, uncertainty and sensitivity analysis of a model for the hydrolysis of rapeseed oil.",Anker Degn Jensen
Surrogate-based optimization for mixed-integer nonlinear problems.,Fani Boukouvala
Scheduling of flexible manufacturing plants with redesign options: A MILP-based decomposition algorithm and case studies.,Alejandro Garcia del Valle
A review On reinforcement learning: Introduction and applications in industrial process control.,Biao Huang 0001
Optimization of pharmaceutical reactions using the dynamic response surface methodology.,Christos Georgakis 0002
Multiclass data classification using fault detection-based techniques.,Costas Kravaris
An internal model control design method for failure-tolerant control with multiple objectives.,Ali Mesbah 0002
Novel MINLP formulations for flexibility analysis for measured and unmeasured uncertain parameters.,Ignacio E. Grossmann
Real-time optimization via modifier adaptation of closed-loop processes using transient measurements.,Grégory François
Integration of graphical approaches into optimization-based design of multistage liquid extraction.,Christos T. Maravelias
Surrogate modeling for fast uncertainty quantification: Application to 2D population balance models.,Ali Mesbah 0002
Optimal design and scheduling of a solar-assisted domestic desalination systems.,Abdulsalam S. Alghamdi
Can the operating limits of biogas plants operated under non-isothermal conditions be defined with certainty? Modeling self-optimizing attainable regions.,Ahmad Addo
An accelerated dual method based on analytical extrapolation for distributed quadratic optimization of large-scale production complexes.,Lukas Samuel Maxeiner
Process supply chains: Perspectives from academia and industry.,Ana Paula F. D. Barbosa-Póvoa
Multimode process monitoring based on fault dependent variable selection and moving window-negative log likelihood probability.,Dehao Wu
Estimating technical efficiency of petroleum refineries using DEA and tobit model: An India perspective.,Jignesh M. Joshi
Integrating deep learning models and multiparametric programming.,Efstratios N. Pistikopoulos
Generic modeling framework of Multi-Energy Systems (MES) within the Upstream Oil Supply Chain (USOSC) network.,Ali Almansoori
Logarithmic mean: Chen's approximation or explicit solution?,John J. J. Chen
A geometric observer design for a semi-batch free-radical polymerization system.,José A. Romagnoli
Integrated scheduling of vessel dispatching and port operations in the closed-loop shipping system for transporting petrochemicals.,Heungjo An
A study of model adaptation in iterative real-time optimization of processes with uncertainties.,Afaq Ahmad 0002
Crystallization of calcium carbonate and magnesium hydroxide in the heat exchangers of once-through Multistage Flash (MSF-OT) desalination process.,Iqbal M. Mujtaba
Optimized data exploration applied to the simulation of a chemical process.,Michael Bortz
GPdoemd: A Python package for design of experiments for model discrimination.,Lukas Hebing
Software approach to simulation-based hazard identification of complex industrial processes.,Juraj Labovský
Predictive models and detection methods applicable in water detection framework for industrial electric arc furnaces.,Ali Elkamel
Superstructure approach for the design of renewable-based utility plants.,Arturo Jiménez-Gutiérrez
Sustainable utilization and storage of carbon dioxide: Analysis and design of an innovative supply chain.,Edwin Zondervan
Artificial Neural Network control of thermoelectrically-cooled microfluidics using computer vision based on IR thermography.,Benjamin A. Rizkin
An MINLP formulation for integrating the operational management of crude oil supply.,Brenno C. Menezes
Algal biofuel supply chain network design with variable demand under alternative fuel price uncertainty: A case study.,Javad Tajik
Constrained global sensitivity analysis for bioprocess design space identification.,Calum McIntosh
Optimization-based global structural identifiability.,Adel Mhamdi
Scenario tree reduction for optimisation under uncertainty using sensitivity analysis.,Javier Silvente
Campaign-based modeling for degradation evolution in batch processes using a multiway partial least squares approach.,Ala E. F. Bouaswaig
Well placement optimization using direct mapping of productivity potential and threshold value of productivity potential management strategy.,Ranran Lu
High-pressure versus low-pressure auxiliary condensers in distillation vapor recompression.,William L. Luyben
Classification of states and model order reduction of large scale Chemical Vapor Deposition processes with solution multiplicity.,Andreas G. Boudouvis
Model reformulations for Work and Heat Exchange Network (WHEN) synthesis problems.,Haoshui Yu
Optimal site selection for modular nuclear power plants.,Aravind Devanand
Design of bio-oil additives via computer-aided molecular design tools and phase stability analysis on final blends.,Angel Xin Yee Mah
Modelling and particle based simulation of electro-coalescence of a water-in-oil emulsion.,Rochish M. Thaokar
Optimization of cellulose hydrolysis in a non-ideally mixed reactors.,F. Fenila
Morphological population balance modelling of the effect of crystallisation environment on the evolution of crystal size and shape of para-aminobenzoic acid.,Cai Y. Ma
A two-stage approach to agile pharmaceutical supply chain management with product substitutability in crises.,Mohaddeseh Roshan
"Modelling, simulation and sensitivity analysis of naphtha catalytic reforming reactions.",Aminu Zakari Yusuf
Efficient modeling of distributions of polymer properties using probability generating functions and parallel computing.,Mariano Asteasuain
Simulation and optimization of a novel moving belt adsorber concept for the direct air capture of carbon dioxide.,Carsten Drechsler
A computational framework for quantifying and analyzing system flexibility.,Daniel Rios
ReLU networks as surrogate models in mixed-integer linear programs.,Bjarne A. Grimstad
Sensitivity analysis techniques for the optimal system design of forward osmosis in organic acid recovery.,Chavalit Ratanatamskul
Smoothed particle hydrodynamics - A new approach for modeling flow in oscillatory baffled reactors.,Guillermo Jimeno
Benders decomposition with integer sub-problem applied to pipeline scheduling problem under flow rate uncertainty.,Neda Beheshti Asl
Superstructure optimization of an integrated algae biorefinery.,Christos Galanopoulos
Fairness-guided design of water distribution networks for agricultural lands.,Apoorva M. Sampat
"Balancing costs, safety and CO2 emissions in the design of hydrogen supply chains.",Anton Ochoa Bique
Optimal planning of municipal solid waste management systems in an integrated supply chain network.,Iiro Harjunkoski
Water distribution networks optimization considering unknown flow directions and pipe diameters.,José Antonio Caballero
Recursive NARX model identification of nonlinear chemical processes with matrix invertibility analysis.,Jianfei Dong
The set covering problem applied to optimisation of gas detectors in chemical process plants.,Sávio S. V. Vianna
Online dynamic optimization studies of autocatalytic esterification in the semi batch reactor for handling disturbance and uncertainty.,Fakhrony S. Rohman
Assessment of a process flow diagram for NGL recovery using different condensation mechanisms.,Ana Paula Meneguelo
An outlook towards 2030: Optimization and design of a CCUS supply chain in Germany.,Edwin Zondervan
Continuous reactive crystallization of β-lactam antibiotics catalyzed by penicillin G acylase. Part II: Case study on ampicillin and product purity.,Andreas S. Bommarius
Advances and opportunities in machine learning for process data analytics.,Leo H. Chiang
"Closed-loop integration of planning, scheduling and multi-parametric nonlinear control.",Lazaros G. Papageorgiou
Optimal scheduling of a by-product gas supply system in the iron- and steel-making process under uncertainties.,José Leandro Felix Salles
OptCAMD: An optimization-based framework and tool for molecular and mixture product design.,Anjan Kumar Tula
Data rectification for multiple operating modes: A MAP framework.,Biao Huang 0001
A stochastic game theoretic framework for decentralized optimization of multi-stakeholder supply chains under uncertainty.,Fengqi You
Development and implementation of advanced control strategies for power plant cycling with carbon capture.,Fernando V. Lima
Automated learning of chemical reaction networks.,Nikolaos V. Sahinidis
A multi-parametric optimization approach for bilevel mixed-integer linear and quadratic programming problems.,Efstratios N. Pistikopoulos
Integration of optimal cleaning scheduling and control of heat exchanger networks under fouling: MPCC solution.,Federico Lozano Santamaría
Process systems Engineering: Academic and industrial perspectives.,Ignacio E. Grossmann
Parameter and state estimation of an agro-hydrological system based on system observability analysis.,Jannatun Nahar
An online reparametrisation approach for robust parameter estimation in automated model identification platforms.,Arun Pankajakshan
Convex relaxations of componentwise convex functions.,Alexander Mitsos
A non-uniform grid approach for scheduling considering electricity load tracking and future load prediction.,Giancarlo Dalle Ave
A novel method to compute the time dependence of state distributions in the stochastic kinetic description of an autocatalytic system.,Gábor Lente
Reinforcement Learning - Overview of recent progress and implications for process control.,Jay H. Lee
Quality risk assessment and mitigation of pharmaceutical continuous manufacturing using flowsheet modeling approach.,Abdollah Koolivand
Efficient real time optimization using a data-driven piecewise affine model.,Jasper Kelly
Multiobjective decision-support tools for the choice between single-use and multi-use technologies in sterile filling of biopharmaceuticals.,Haruku Shirahata
Agent-oriented simulation framework for handling disruptions in chemical supply chains.,Behzad Behdani
Robust dynamic optimization of enzyme-catalyzed carboligation: A point estimate-based back-off approach.,Antje C. Spiess
