paper,co_author
A Comparison of Expert Ratings and Marker-Less Hand Tracking Along OSATS-Derived Motion Scales.,Kristin L. Long
A Comparison of Expert Ratings and Marker-Less Hand Tracking Along OSATS-Derived Motion Scales.,Reginald C. Bruskewitz
A Comparison of Expert Ratings and Marker-Less Hand Tracking Along OSATS-Derived Motion Scales.,Robert G. Radwin
Gesture-Radar: A Dual Doppler Radar Based System for Robust Recognition and Quantitative Profiling of Human Gestures.,Liming Chen 0001
Gesture-Radar: A Dual Doppler Radar Based System for Robust Recognition and Quantitative Profiling of Human Gestures.,Xinye Lou
Gesture-Radar: A Dual Doppler Radar Based System for Robust Recognition and Quantitative Profiling of Human Gestures.,Zhiwen Yu 0001
Gesture-Radar: A Dual Doppler Radar Based System for Robust Recognition and Quantitative Profiling of Human Gestures.,Zhu Wang 0001
ArmSym: A Virtual Human-Robot Interaction Laboratory for Assistive Robotics.,Jan Peters 0001
ArmSym: A Virtual Human-Robot Interaction Laboratory for Assistive Robotics.,Moritz Grosse-Wentrup
ArmSym: A Virtual Human-Robot Interaction Laboratory for Assistive Robotics.,Samuel Bustamante
ArmSym: A Virtual Human-Robot Interaction Laboratory for Assistive Robotics.,Vinay Jayaram
"Interaction With Gaze, Gesture, and Speech in a Flexibly Configurable Augmented Reality System.",Haofei Wang
"Interaction With Gaze, Gesture, and Speech in a Flexibly Configurable Augmented Reality System.",Huangyue Yu
"Interaction With Gaze, Gesture, and Speech in a Flexibly Configurable Augmented Reality System.",Zhimin Wang
Assessing Collaborative Physical Tasks Via Gestural Analysis.,Juan P. Wachs
Plant-wide troubleshooting and diagnosis using dynamic embedded latent feature analysis.,Yingxiang Liu
Plant-wide troubleshooting and diagnosis using dynamic embedded latent feature analysis.,Yining Dong
Robust control of fed-batch high-cell density cultures: a simulation-based assessment.,Francisco Ibáñez
Robust control of fed-batch high-cell density cultures: a simulation-based assessment.,Jose Ricardo Pérez-Correa
Robust control of fed-batch high-cell density cultures: a simulation-based assessment.,Lisbel Bárzaga
Robust control of fed-batch high-cell density cultures: a simulation-based assessment.,Manuel A. Duarte-Mermoud
Robust control of fed-batch high-cell density cultures: a simulation-based assessment.,Mario Fernández-Fernández
Robust control of fed-batch high-cell density cultures: a simulation-based assessment.,Pedro A. Saa
Convolutional feature extraction for process monitoring using ultrasonic sensors.,Michael P. Pound
Convolutional feature extraction for process monitoring using ultrasonic sensors.,Nicholas James Watson
Robust model predictive control with embedded multi-scenario closed-loop prediction.,Hao Li 0026
Robust model predictive control with embedded multi-scenario closed-loop prediction.,Lloyd MacKinnon
Water desalination by forward osmosis: Dynamic performance assessment and experimental validation using MgCl,Souad Abderafi
Water desalination by forward osmosis: Dynamic performance assessment and experimental validation using MgCl,Sébastien Vaudreuil
Water desalination by forward osmosis: Dynamic performance assessment and experimental validation using MgCl,Tijani Bounahmidi
Multirate moving horizon estimation combined with parameter subset selection.,Jong Min Lee 0002
Multirate moving horizon estimation combined with parameter subset selection.,Yeonsoo Kim
Online model maintenance in real-time optimization methods.,José Matias
Model based hazard identification: Process time accelerated by GPU redesigning approach.,Ludovít Jelemenský
Model based hazard identification: Process time accelerated by GPU redesigning approach.,Matej Danko
"Fast, easy-to-use, machine learning-developed models of prediction of flash point, heat of combustion, and lower and upper flammability limits for inherently safer design.",James P. Bailey
"Fast, easy-to-use, machine learning-developed models of prediction of flash point, heat of combustion, and lower and upper flammability limits for inherently safer design.",Mahmoud M. El-Halwagi
"Fast, easy-to-use, machine learning-developed models of prediction of flash point, heat of combustion, and lower and upper flammability limits for inherently safer design.",Qingsheng Wang
"Fast, easy-to-use, machine learning-developed models of prediction of flash point, heat of combustion, and lower and upper flammability limits for inherently safer design.",Sunhwa Park
State transients in storage systems for energy fluids.,Iftekhar A. Karimi
"A methodological design framework for hydrogen and methane supply chain with special focus on Power-to-Gas systems: Application to Occitanie region, France.",Eduardo Carrera
Molecular insights through computational modeling of methylene blue adsorption onto low-cost adsorbents derived from natural materials: A multi-model's approach.,Asma Nakhli
Molecular insights through computational modeling of methylene blue adsorption onto low-cost adsorbents derived from natural materials: A multi-model's approach.,Barbara Ernst
Molecular insights through computational modeling of methylene blue adsorption onto low-cost adsorbents derived from natural materials: A multi-model's approach.,Felycia Edi Soetaredjo
Molecular insights through computational modeling of methylene blue adsorption onto low-cost adsorbents derived from natural materials: A multi-model's approach.,Khadra-Hanane Toumi
Molecular insights through computational modeling of methylene blue adsorption onto low-cost adsorbents derived from natural materials: A multi-model's approach.,Manel Bergaoui
Molecular insights through computational modeling of methylene blue adsorption onto low-cost adsorbents derived from natural materials: A multi-model's approach.,Marco Balsamo
Molecular insights through computational modeling of methylene blue adsorption onto low-cost adsorbents derived from natural materials: A multi-model's approach.,Mohamed Khalfaoui
Molecular insights through computational modeling of methylene blue adsorption onto low-cost adsorbents derived from natural materials: A multi-model's approach.,Suryadi Ismadji
Molecular insights through computational modeling of methylene blue adsorption onto low-cost adsorbents derived from natural materials: A multi-model's approach.,Yacine Benguerba
A new graphical approach for simultaneous targeting and design of mass exchange networks.,Sharifah Rafidah Wan Alwi
A new graphical approach for simultaneous targeting and design of mass exchange networks.,Wasiu A. Oladosu
A new graphical approach for simultaneous targeting and design of mass exchange networks.,Zainuddin A. Manan
A study of periodic operation in bioprocess systems: Internal and external oscillations.,Chi Zhai
A study of periodic operation in bioprocess systems: Internal and external oscillations.,Wei Sun
"Geometry, kinetics and reactor network synthesis: Attainable limits for minimizing residence time in biomethane digesters.",Fabrice Abunde Neba
"Geometry, kinetics and reactor network synthesis: Attainable limits for minimizing residence time in biomethane digesters.",Hoese Michel Tornyeviadzi
"Geometry, kinetics and reactor network synthesis: Attainable limits for minimizing residence time in biomethane digesters.",John Morken
"Geometry, kinetics and reactor network synthesis: Attainable limits for minimizing residence time in biomethane digesters.",Nana Y. Asiedu
"Geometry, kinetics and reactor network synthesis: Attainable limits for minimizing residence time in biomethane digesters.",Razak Seidu
"Geometry, kinetics and reactor network synthesis: Attainable limits for minimizing residence time in biomethane digesters.",Stein W. Østerhus
Fault detection and diagnosis in process system using artificial intelligence-based cognitive technique.,Rajeevan Arunthavanathan
Fault detection and diagnosis in process system using artificial intelligence-based cognitive technique.,Risza Rusli
Fault detection and diagnosis in process system using artificial intelligence-based cognitive technique.,Salim Ahmed
Fault detection and diagnosis in process system using artificial intelligence-based cognitive technique.,Syed Imtiaz
ChromaTech: A discontinuous Galerkin spectral element simulator for preparative liquid chromatography.,Jakob Kjøbsted Huusom
ChromaTech: A discontinuous Galerkin spectral element simulator for preparative liquid chromatography.,Jens Abildskov
ChromaTech: A discontinuous Galerkin spectral element simulator for preparative liquid chromatography.,Kristian Meyer
ChromaTech: A discontinuous Galerkin spectral element simulator for preparative liquid chromatography.,Samuel Leweke
Managing uncertainty in data-driven simulation-based optimization.,Fani Boukouvala
Managing uncertainty in data-driven simulation-based optimization.,Gordon Hüllen
Managing uncertainty in data-driven simulation-based optimization.,Jianyuan Zhai
Managing uncertainty in data-driven simulation-based optimization.,Matthew J. Realff
Managing uncertainty in data-driven simulation-based optimization.,Sun Hye Kim
Machine learning refinery sensor data to predict catalyst saturation levels.,Dirk Van den Poel
Operation optimization of a cryogenic NGL recovery unit using deep learning based surrogate modeling.,José A. Romagnoli
Operation optimization of a cryogenic NGL recovery unit using deep learning based surrogate modeling.,Wenbo Zhu
A method to circumvent the combinatorial difficulties in the optimal design of distillation columns.,Yoshikazu Ishii
Performance analysis of waste-to-energy technologies for sustainable energy generation in integrated supply chains.,Maryam Mohammadi
Dynamic optimization with complementarity constraints: Smoothing for direct shooting.,Adrian Caspari
Dynamic optimization with complementarity constraints: Smoothing for direct shooting.,Alexander Mitsos
Dynamic optimization with complementarity constraints: Smoothing for direct shooting.,Lorenz T. Biegler
Dynamic optimization with complementarity constraints: Smoothing for direct shooting.,Lukas Lüken
Dynamic optimization with complementarity constraints: Smoothing for direct shooting.,Pascal Schäfer
Dynamic optimization with complementarity constraints: Smoothing for direct shooting.,Yannic Vaupel
Stochastic optimization model for coordinated operation of natural gas and electricity networks.,Hossein Ameli
Stochastic optimization model for coordinated operation of natural gas and electricity networks.,Mohammad Taghi Ameli
Stochastic optimization model for coordinated operation of natural gas and electricity networks.,Vahid Shabazbegian
Operational safety assessment of offshore pipeline with multiple MIC defects.,Sidum Adumene
Operational safety assessment of offshore pipeline with multiple MIC defects.,Sunday Adedigba
Uncertainty management via online scheduling for optimal short-term operation of cascaded hydropower systems.,Danielle Zyngier
Uncertainty management via online scheduling for optimal short-term operation of cascaded hydropower systems.,François Welt
Uncertainty management via online scheduling for optimal short-term operation of cascaded hydropower systems.,Pulkit Mathur
Biodigester rapid analysis and design system (B-RADeS): A candidate attainable region-based simulator for the synthesis of biogas reactor structures.,Fabrice Abunde Neba
Biodigester rapid analysis and design system (B-RADeS): A candidate attainable region-based simulator for the synthesis of biogas reactor structures.,John Morken
Biodigester rapid analysis and design system (B-RADeS): A candidate attainable region-based simulator for the synthesis of biogas reactor structures.,Nana Y. Asiedu
Biodigester rapid analysis and design system (B-RADeS): A candidate attainable region-based simulator for the synthesis of biogas reactor structures.,Razak Seidu
Biodigester rapid analysis and design system (B-RADeS): A candidate attainable region-based simulator for the synthesis of biogas reactor structures.,Stein W. Østerhus
Non-convex chance-constrained optimization for blending recipe design under uncertainties.,Tsz Yuet Matthew Chow
Non-convex chance-constrained optimization for blending recipe design under uncertainties.,Yu Yang 0003
Immersive virtual crude distillation unit learning experience: The EYE4EDU project.,Cristina Peretti
Immersive virtual crude distillation unit learning experience: The EYE4EDU project.,Federico Galli
Site specific process design for Hybrid CSP-Waste plants.,Mariano Martín
An optimization approach for improving the exergetic efficiency in mesoscale combustor.,Xigang Yuan
An optimization approach for improving the exergetic efficiency in mesoscale combustor.,Xuepu Cao
An optimization approach for improving the exergetic efficiency in mesoscale combustor.,Yiqing Luo
An optimization approach for improving the exergetic efficiency in mesoscale combustor.,Zhiwen Qi
"A pressure-driven, dynamic model for distillation columns with smooth reformulations for flexible operation.",Erik Esche
"A pressure-driven, dynamic model for distillation columns with smooth reformulations for flexible operation.",Jens-Uwe Repke
"A pressure-driven, dynamic model for distillation columns with smooth reformulations for flexible operation.",Joris Weigert
Linking reaction mechanisms and quantum chemistry: An ontological approach.,Daniel Nurkowski
Linking reaction mechanisms and quantum chemistry: An ontological approach.,Feroz Farazi
Linking reaction mechanisms and quantum chemistry: An ontological approach.,Jethro Akroyd
Linking reaction mechanisms and quantum chemistry: An ontological approach.,Markus Kraft
Linking reaction mechanisms and quantum chemistry: An ontological approach.,Nenad B. Krdzavac
Linking reaction mechanisms and quantum chemistry: An ontological approach.,Sebastian Mosbach
A general-purpose method for Pareto optimal placement of flow rate and concentration sensors in networked systems - With application to wastewater treatment plants.,Lluís Corominas
A general-purpose method for Pareto optimal placement of flow rate and concentration sensors in networked systems - With application to wastewater treatment plants.,Peter A. Vanrolleghem
Industrial process time-series modeling based on adapted receptive field temporal convolution networks concerning multi-region operations.,Yongjian Wang
Deep hybrid modeling of chemical process: Application to hydraulic fracturing.,Mohammed Saad Faizan Bangi
Performance evaluation of reverse osmosis brackish water desalination plant with different recycled ratios of retentate.,Amro M. Al-Hroub
Performance evaluation of reverse osmosis brackish water desalination plant with different recycled ratios of retentate.,Iqbal M. Mujtaba
Performance evaluation of reverse osmosis brackish water desalination plant with different recycled ratios of retentate.,Mudhar A. Al-Obaidi
Performance evaluation of reverse osmosis brackish water desalination plant with different recycled ratios of retentate.,Raj Patel
Fault detection and diagnosis based on transfer learning for multimode chemical processes.,Jinsong Zhao
Validity of continuous tuning rules in event-based PI controllers using symmetric send-on-delta sampling: An experimental approach.,José Sánchez 0002
Validity of continuous tuning rules in event-based PI controllers using symmetric send-on-delta sampling: An experimental approach.,María Guinaldo
Validity of continuous tuning rules in event-based PI controllers using symmetric send-on-delta sampling: An experimental approach.,Sebastián Dormido 0001
A multi-level programming for shale gas-water supply chains accounting for tradeoffs between economic and environmental concerns.,Li He
A multi-level programming for shale gas-water supply chains accounting for tradeoffs between economic and environmental concerns.,Xi Cheng
A multi-level programming for shale gas-water supply chains accounting for tradeoffs between economic and environmental concerns.,Yizhong Chen
A deep reinforcement learning approach for chemical production scheduling.,Christian D. Hubbs
A deep reinforcement learning approach for chemical production scheduling.,Ignacio E. Grossmann
A deep reinforcement learning approach for chemical production scheduling.,John M. Wassick
A deep reinforcement learning approach for chemical production scheduling.,Nikolaos V. Sahinidis
A tractable approximation for stochastic MPC and application to mechanical pulping processes.,Jagadeesan Prakash
A tractable approximation for stochastic MPC and application to mechanical pulping processes.,James A. Olson
A tractable approximation for stochastic MPC and application to mechanical pulping processes.,R. Bhushan Gopaluni
A tractable approximation for stochastic MPC and application to mechanical pulping processes.,Victor M. Zavala
Surrogate based optimization of a process of polycrystalline silicon production.,Edgar Martín-Hernández
Surrogate based optimization of a process of polycrystalline silicon production.,Juan Gabriel Segovia-Hernández
Surrogate based optimization of a process of polycrystalline silicon production.,Mariano Martín
Sustainable wastewater treatment plants design through multiobjective optimization.,Juan I. Padrón-Páez
Sustainable wastewater treatment plants design through multiobjective optimization.,Sofía De-León Almaraz
"Modeling, analysis and multi-objective optimization of an industrial batch process for the production of tributyl citrate.",Alvaro Orjuela 0001
"Modeling, analysis and multi-objective optimization of an industrial batch process for the production of tributyl citrate.",Gerardo Rodríguez
"Modeling, analysis and multi-objective optimization of an industrial batch process for the production of tributyl citrate.",Iván D. Gil
"Modeling, analysis and multi-objective optimization of an industrial batch process for the production of tributyl citrate.",Juan D. Fonseca
Scheduling custom printed napkin manufacturing by P-graphs.,Márton Frits
Computational fluid dynamics-based in-situ sensor analytics of direct metal laser solidification process using machine learning.,Yangyao Ding
Computational fluid dynamics-based in-situ sensor analytics of direct metal laser solidification process using machine learning.,Yi Ming Ren
Computational fluid dynamics-based in-situ sensor analytics of direct metal laser solidification process using machine learning.,Yichi Zhang
Computational fluid dynamics-based in-situ sensor analytics of direct metal laser solidification process using machine learning.,Yongjian Wang
Integrated design of processes and products: Optimal renewable fuels.,Andrea König
Integrated design of processes and products: Optimal renewable fuels.,Jörn Viell
Integrated design of processes and products: Optimal renewable fuels.,Lisa Neidhardt
Integrated design of processes and products: Optimal renewable fuels.,Manuel Dahmen
Open-loop control of directed self-assembly of colloidal particles in a microfluidic device.,Richard Lakerveld
Open-loop control of directed self-assembly of colloidal particles in a microfluidic device.,Yu Gao
Numerical simulation of natural convection and boil-off in a small size pressurized LNG storage tank.,Luis Javier Pérez-Pérez
A systematic framework for assessing the applicability of reactive distillation for quaternary mixtures using a mapping method.,Megan Jobson
A systematic framework for assessing the applicability of reactive distillation for quaternary mixtures using a mapping method.,Rahma Muthia
Identification of optimal transitions towards climate footprint reduction targets using a linear multi-period carbon integration approach.,Gihong Kwak
Identification of optimal transitions towards climate footprint reduction targets using a linear multi-period carbon integration approach.,Patrick Linke
Real-time feasibility of nonlinear model predictive control for semi-batch reactors subject to uncertainty and disturbances.,Harvey Arellano-Garcia
Real-time feasibility of nonlinear model predictive control for semi-batch reactors subject to uncertainty and disturbances.,Tilman Barz
Real-time feasibility of nonlinear model predictive control for semi-batch reactors subject to uncertainty and disturbances.,Vassilios S. Vassiliadis
Modeling inter-kingdom regulation of inflammatory signaling in human intestinal epithelial cells.,Daniel Penarete Acosta
Modeling inter-kingdom regulation of inflammatory signaling in human intestinal epithelial cells.,Genevieve Grivas
Modeling inter-kingdom regulation of inflammatory signaling in human intestinal epithelial cells.,Juergen Hahn
Modeling inter-kingdom regulation of inflammatory signaling in human intestinal epithelial cells.,Kyungoh Choi
Modeling inter-kingdom regulation of inflammatory signaling in human intestinal epithelial cells.,Shreya Maiti
Modeling inter-kingdom regulation of inflammatory signaling in human intestinal epithelial cells.,Wei Dai
Modeling inter-kingdom regulation of inflammatory signaling in human intestinal epithelial cells.,Yufang Ding
Efficient decomposition strategy for scheduling of multistage production system and combined heat and power.,Georgios M. Kopanos
Efficient decomposition strategy for scheduling of multistage production system and combined heat and power.,Nur Izyan Zulkafli
A quadratic approximation of the back-off methodology for the control structure selection problem.,Ioannis K. Kookos
Machine learning algorithm for clustering of heart disease and chemoinformatics datasets.,K. Lavanya
Machine learning algorithm for clustering of heart disease and chemoinformatics datasets.,Mary A. Geetha 0001
Benchmark temperature microcontroller for process dynamics and control.,John D. Hedengren
Benchmark temperature microcontroller for process dynamics and control.,Junho Park
Benchmark temperature microcontroller for process dynamics and control.,R. Abraham Martin
A Smart Contract-based agent marketplace for the J-Park Simulator - a knowledge graph for the process industry.,Mei Qi Lim
A Smart Contract-based agent marketplace for the J-Park Simulator - a knowledge graph for the process industry.,Xiaochi Zhou
Dynamic assessment of control room operator's cognitive workload using Electroencephalography (EEG).,Mohd Umair Iqbal
Dynamic assessment of control room operator's cognitive workload using Electroencephalography (EEG).,Rajagopalan Srinivasan
An LS-SVM classifier based methodology for avoiding unwanted responses in processes under uncertainties.,Freddy A. Lucay
An LS-SVM classifier based methodology for avoiding unwanted responses in processes under uncertainties.,Luis A. Cisternas
Product design: An optimization-based approach for targeting of particulate composite microstructure.,Ka Ming Ng
Product design: An optimization-based approach for targeting of particulate composite microstructure.,Ka Y. Fung
Product design: An optimization-based approach for targeting of particulate composite microstructure.,Xiang Zhang
Analytical time-stepping solution of the discretized population balance equation.,Mohamed Ali Jama
Analytical time-stepping solution of the discretized population balance equation.,Ville Alopaeus
Analytical time-stepping solution of the discretized population balance equation.,Waqar Ahmad
Analytical time-stepping solution of the discretized population balance equation.,Wenli Zhao
Systematic design of active constraint switching using selectors.,Sigurd Skogestad
A Fourier-based control vector parameterization for the optimization of nonlinear dynamic processes with a finite terminal time.,Jorge R. Vega
A Fourier-based control vector parameterization for the optimization of nonlinear dynamic processes with a finite terminal time.,Maria Cecilia Fernández
A Fourier-based control vector parameterization for the optimization of nonlinear dynamic processes with a finite terminal time.,Maria Nadia Pantano
A Fourier-based control vector parameterization for the optimization of nonlinear dynamic processes with a finite terminal time.,Oscar Alberto Ortiz
A novel hybrid Harris hawks optimization and support vector machines for drug design and discovery.,Essam H. Houssein
A novel hybrid Harris hawks optimization and support vector machines for drug design and discovery.,M. Hassaballah 0001
A novel hybrid Harris hawks optimization and support vector machines for drug design and discovery.,Mosa E. Hosney
A novel hybrid Harris hawks optimization and support vector machines for drug design and discovery.,Waleed M. Mohamed
Computationally efficient identification of probabilistic design spaces through application of metamodeling and adaptive sampling.,Nilay Shah
Computationally efficient identification of probabilistic design spaces through application of metamodeling and adaptive sampling.,Salvador García Muñoz
Computationally efficient identification of probabilistic design spaces through application of metamodeling and adaptive sampling.,Sergei S. Kucherenko
Modeling the deactivation of CaO-based sorbents during multiple Ca-looping cycles for CO,Henrique A. Matos
Modeling the deactivation of CaO-based sorbents during multiple Ca-looping cycles for CO,Luís Domingues
Modeling the deactivation of CaO-based sorbents during multiple Ca-looping cycles for CO,Miguel Abreu
Modeling the deactivation of CaO-based sorbents during multiple Ca-looping cycles for CO,Paula Teixeira
Modeling the deactivation of CaO-based sorbents during multiple Ca-looping cycles for CO,Rui M. Filipe
Towards a controllability analysis of multiscale systems: Application of the set-theoretic approach to a semi-batch emulsion polymerization process.,Jorge-Humberto Urrea-Quintero
Towards a controllability analysis of multiscale systems: Application of the set-theoretic approach to a semi-batch emulsion polymerization process.,Silvia Ochoa
Optimisation of multi effect distillation based desalination system for minimum production cost for freshwater via repetitive simulation.,Giacomo Filippini
Optimisation of multi effect distillation based desalination system for minimum production cost for freshwater via repetitive simulation.,Iqbal M. Mujtaba
Optimisation of multi effect distillation based desalination system for minimum production cost for freshwater via repetitive simulation.,Mudhar A. Al-Obaidi
Optimisation of multi effect distillation based desalination system for minimum production cost for freshwater via repetitive simulation.,O. M. A. Al-hotmani
Optimisation of multi effect distillation based desalination system for minimum production cost for freshwater via repetitive simulation.,Raj Patel
Multi-objective optimization of operation of lignocellulosic acetone-butanol-ethanol fermentation with ex situ butanol recovery (ESBR).,Ha-Eun Byun
Multi-objective optimization of operation of lignocellulosic acetone-butanol-ethanol fermentation with ex situ butanol recovery (ESBR).,Jay H. Lee
Multi-objective optimization of operation of lignocellulosic acetone-butanol-ethanol fermentation with ex situ butanol recovery (ESBR).,Jongkoo Lim
Water planning framework for alfalfa fields using treated wastewater fertigation in Qatar: An energy-water-food nexus approach.,Gordon McKay
Water planning framework for alfalfa fields using treated wastewater fertigation in Qatar: An energy-water-food nexus approach.,Hamish R. Mackey
Water planning framework for alfalfa fields using treated wastewater fertigation in Qatar: An energy-water-food nexus approach.,Tareq Al-Ansari
Water planning framework for alfalfa fields using treated wastewater fertigation in Qatar: An energy-water-food nexus approach.,Udeogu Onwusogh
Modelling and integration of process networks for C4 hydrocarbons.,Saurav Singbal
Modelling and integration of process networks for C4 hydrocarbons.,Shiqi Yang
Methods of weighted moments for the relay feedback autotuning of conservative PI controllers.,Jietae Lee
Methods of weighted moments for the relay feedback autotuning of conservative PI controllers.,Michael Baldea
Methods of weighted moments for the relay feedback autotuning of conservative PI controllers.,Thomas F. Edgar
Data analytics approach for online produced fluid flow rate estimation in SAGD process.,Ruomu Tan
Data analytics approach for online produced fluid flow rate estimation in SAGD process.,Shabnam Sedghi
"Corrigendum to ""Mixed-integer nonlinear programming models for optimal design of reliable chemical plants"" [Computers & Chemical Engineering 116 (2018) 3-16].",José Mauricio Pinto
"Corrigendum to ""Mixed-integer nonlinear programming models for optimal design of reliable chemical plants"" [Computers & Chemical Engineering 116 (2018) 3-16].",Sivaraman Ramaswamy
"Corrigendum to ""Mixed-integer nonlinear programming models for optimal design of reliable chemical plants"" [Computers & Chemical Engineering 116 (2018) 3-16].",Yixin Ye
A robustly model predictive control strategy applied in the control of a simulated industrial polyethylene polymerization process.,Idelfonso B. R. Nogueira
A robustly model predictive control strategy applied in the control of a simulated industrial polyethylene polymerization process.,Karen V. Pontes
A robustly model predictive control strategy applied in the control of a simulated industrial polyethylene polymerization process.,Marcelo Embiruçu
A robustly model predictive control strategy applied in the control of a simulated industrial polyethylene polymerization process.,Márcio A. F. Martins
A robustly model predictive control strategy applied in the control of a simulated industrial polyethylene polymerization process.,Raony M. Fontes
Model-based process design of a ternary protein separation using multi-step gradient ion-exchange SMB chromatography.,Liming Zhao
Model-based process design of a ternary protein separation using multi-step gradient ion-exchange SMB chromatography.,Qiao-Le He
Model-based process design of a ternary protein separation using multi-step gradient ion-exchange SMB chromatography.,Zhaoxi Sun
Prediction model to analyze the performance of VMD desalination process.,Jingxia Fu
Prediction model to analyze the performance of VMD desalination process.,Kai Liu
Prediction model to analyze the performance of VMD desalination process.,Pingli Li
Prediction model to analyze the performance of VMD desalination process.,Xin Peng
Prediction model to analyze the performance of VMD desalination process.,Xin Wang
Prediction model to analyze the performance of VMD desalination process.,Yajing Zhao
Prediction model to analyze the performance of VMD desalination process.,Yingdong Li
An integrated data-driven modeling & global optimization approach for multi-period nonlinear production planning problems.,Christodoulos A. Floudas
An integrated data-driven modeling & global optimization approach for multi-period nonlinear production planning problems.,Efstratios N. Pistikopoulos
An integrated data-driven modeling & global optimization approach for multi-period nonlinear production planning problems.,Fani Boukouvala
An integrated data-driven modeling & global optimization approach for multi-period nonlinear production planning problems.,Hyeju Song
An integrated data-driven modeling & global optimization approach for multi-period nonlinear production planning problems.,Kyungwon Kim
An integrated data-driven modeling & global optimization approach for multi-period nonlinear production planning problems.,William W. Tso
Feature engineering in big data analytics for IoT-enabled smart manufacturing - Comparison between deep learning and statistical learning.,Jin Wang
Feature engineering in big data analytics for IoT-enabled smart manufacturing - Comparison between deep learning and statistical learning.,Q. Peter He
Reinforcement learning for batch bioprocess optimization.,Ehecatl Antonio del Rio-Chanona
Reinforcement learning for batch bioprocess optimization.,Eric Bradford
Reinforcement learning for batch bioprocess optimization.,Ilya Orson Sandoval
Reinforcement learning for batch bioprocess optimization.,Panagiotis Petsagkourakis
Offshore oil production planning optimization: An MINLP model considering well operation and flow assurance.,Mingyang Wu
Offshore oil production planning optimization: An MINLP model considering well operation and flow assurance.,Shuqi Wang
Offshore oil production planning optimization: An MINLP model considering well operation and flow assurance.,Tao Chen 0009
Offshore oil production planning optimization: An MINLP model considering well operation and flow assurance.,Xiaoyong Gao
Offshore oil production planning optimization: An MINLP model considering well operation and flow assurance.,Xin Zuo
Offshore oil production planning optimization: An MINLP model considering well operation and flow assurance.,Yi Xie
Offshore oil production planning optimization: An MINLP model considering well operation and flow assurance.,Yuhong Wang
A methodology for building a data-enclosing tunnel for automated online-feedback in simulator Training.,Davide Manca
A methodology for building a data-enclosing tunnel for automated online-feedback in simulator Training.,Laura Marcano
A methodology for building a data-enclosing tunnel for automated online-feedback in simulator Training.,Tiina Komulainen
A graph theory approach for scenario aggregation for stochastic optimisation.,Lazaros G. Papageorgiou
A graph theory approach for scenario aggregation for stochastic optimisation.,Sergio Medina-González
A graph theory approach for scenario aggregation for stochastic optimisation.,Vivek Dua
Machine learning to identify variables in thermodynamically small systems.,David M. Ford
Machine learning to identify variables in thermodynamically small systems.,Gülce Kalyoncu
Machine learning to identify variables in thermodynamically small systems.,Khoa Luu
Machine learning to identify variables in thermodynamically small systems.,Matthew J. Patitz
Quantum computing based hybrid solution strategies for large-scale discrete-continuous optimization problems.,Fengqi You
Quantum computing based hybrid solution strategies for large-scale discrete-continuous optimization problems.,Travis S. Humble
Comprehensive sensitivity analysis and process risk assessment of large scale pharmaceutical crystallization processes.,Merve Öner
Comprehensive sensitivity analysis and process risk assessment of large scale pharmaceutical crystallization processes.,Stuart M. Stocks
DMC controller design for an integrated Allam cycle and air separation plant.,Daniel Chen
DMC controller design for an integrated Allam cycle and air separation plant.,Md. Emdadul Haque
DMC controller design for an integrated Allam cycle and air separation plant.,Samuel Guizar Rios
DMC controller design for an integrated Allam cycle and air separation plant.,Srinivas Palanki
Adjoint optimization for the general rate model of liquid chromatography.,Joachim Ohser
Adjoint optimization for the general rate model of liquid chromatography.,Konrad Steiner
Adjoint optimization for the general rate model of liquid chromatography.,Peter Menstell
Adjoint optimization for the general rate model of liquid chromatography.,Sebastian Osterroth
Optimal operation and control of heat to power cycles: A new perspective from a systematic plantwide control approach.,Jenö Kovács
Optimal operation and control of heat to power cycles: A new perspective from a systematic plantwide control approach.,Lars Olof Nord
Optimal operation and control of heat to power cycles: A new perspective from a systematic plantwide control approach.,Sigurd Skogestad
"Comprehensive development, uncertainty and sensitivity analysis of a model for the hydrolysis of rapeseed oil.",Bent Sarup
"Comprehensive development, uncertainty and sensitivity analysis of a model for the hydrolysis of rapeseed oil.",Gürkan Sin
"Comprehensive development, uncertainty and sensitivity analysis of a model for the hydrolysis of rapeseed oil.",Hector Forero-Hernandez
"Comprehensive development, uncertainty and sensitivity analysis of a model for the hydrolysis of rapeseed oil.",Jens Abildskov
"Comprehensive development, uncertainty and sensitivity analysis of a model for the hydrolysis of rapeseed oil.",Mark Nicholas Jones
Surrogate-based optimization for mixed-integer nonlinear problems.,Sun Hye Kim
Scheduling of flexible manufacturing plants with redesign options: A MILP-based decomposition algorithm and case studies.,Carlos A. Méndez
Scheduling of flexible manufacturing plants with redesign options: A MILP-based decomposition algorithm and case studies.,Mariana E. Cóccola
Scheduling of flexible manufacturing plants with redesign options: A MILP-based decomposition algorithm and case studies.,Natalia P. Basán
A review On reinforcement learning: Introduction and applications in industrial process control.,Jinfeng Liu 0001
A review On reinforcement learning: Introduction and applications in industrial process control.,Rui Nian
Optimization of pharmaceutical reactions using the dynamic response surface methodology.,Jason Mustakis
Optimization of pharmaceutical reactions using the dynamic response surface methodology.,Jonathan P. McMullen
Optimization of pharmaceutical reactions using the dynamic response surface methodology.,Lu Han
Optimization of pharmaceutical reactions using the dynamic response surface methodology.,Yachao Dong
Multiclass data classification using fault detection-based techniques.,Hazem N. Nounou
