paper,volume
A Reflective Account of a Research Ethics Course for an Interdisciplinary Cohort of Graduate Students.,26
Protecting people in research: a comparison between biomedical and traffic research.,13
Fairness in Knowing: Science Communication and Epistemic Justice.,24
Massive Technological Unemployment Without Redistribution: A Case for Cautious Optimism.,25
Imagining the Future of Photoacoustic Mammography.,15
Development of Ethics Education in Science and Technology in Technical Universities in China.,25
Researcher Perspectives on Conflicts of Interest: A Qualitative Analysis of Views from Academia.,21
Sims and Vulnerability: On the Ethics of Creating Emulated Minds.,28
Ethics of Human Enhancement: An Executive Summary.,17
An Explanation of Resisted Discoveries Based on Construal-Level Theory.,21
Engineering and the Problem of Moral Overload.,18
A 'Knowledge Ecologies' Analysis of Co-designing Water and Sanitation Services in Alaska.,23
"It's About Scientific Secrecy, Dummy: A Better Equilibrium Among Genomics Patenting, Scientific Research and Health Care.",18
Food and Sustainability Challenges Under Climate Changes.,22
A Value Sensitive Scenario Planning Method for Adaptation to Uncertain Future Sea Level Rise.,27
Delaying Obsolescence.,21
Healthy and Happy? An Ethical Investigation of Emotion Recognition and Regulation Technologies (ERR) within Ambient Assisted Living (AAL).,30
"Assessing and Raising Concerns About Duplicate Publication, Authorship Transgressions and Data Errors in a Body of Preclinical Research.",26
Exploring the Gray Area: Similarities and Differences in Questionable Research Practices (QRPs) Across Main Areas of Research.,27
Questioning nuclear waste substitution: a case study.,13
,13
The Intervention of Robot Caregivers and the Cultivation of Children's Capability to Play.,19
Midstream Modulation in Biotechnology Industry: Redefining What is 'Part of the Job' of Researchers in Industry.,19
Productivity of CNPq Researchers from Different Fields in Biomedical Sciences: The Need for Objective Bibliometric Parameters - A Report from Brazil.,25
How the Invisible Hand is Supposed to Adjust the Natural Thermostat: A Guide for the Perplexed.,23
Is There a Role for Publication Consultants and How Should Their Contribution be Recognized?,22
Scientific Misconduct in India: Causes and Perpetuation.,22
The Distinction Between Curative and Assistive Technology.,25
Cyberethics and Co-operation in the Information Society.,15
Scientific Research and the Public Trust.,17
Gender Issues in US Science and Technology Policy: Equality of What?,14
Changes in the Social Responsibility Attitudes of Engineering Students Over Time.,22
Research Misconduct Investigations in China's Science Funding System.,29
"Design, Development, and Evaluation of a Second Generation Interactive Simulator for Engineering Ethics Education (SEEE2).",18
"The Ecological Ethics Framework: Finding our Way in the Ethical Labyrinth of Nature Conservation - Commentary on ""Using an ecological ethics framework to make decisions about relocating wildlife"".",14
Predatory Journals Spamming for Publications: What Should Researchers Do?,24
Audit of the Informed Consent Process as a Part of a Clinical Research Quality Assurance Program.,20
Determining Public Policy and Resource Allocation Priorities for Mitigating Natural Hazards: A Capabilities-based Approach.,13
"Economic, Environmental and Moral Acceptance of Renewable Energy: A Case Study - The Agricultural Biogas Plant at Pěčín.",24
The obesity epidemic: medical and ethical considerations.,13
Research Integrity Practices from the Perspective of Early-Career Researchers.,21
"The Importance of Defining 'Data' in Data Management Policies - Commentary on: ""Issues in Data Management"".",16
Personalized Medicine in a New Genomic Era: Ethical and Legal Aspects.,23
A Review of the Institute of Medicine's Analysis of using Chimpanzees in Biomedical Research.,20
Utilitarianism and the Evolution of Ecological Ethics.,14
Going Public: Good Scientific Conduct.,18
Informed Consent Procedure for Clinical Trials in Emergency Settings: The Polish Perspective.,13
The Integration and Harmonisation of Secular and Islamic Ethical Principles in Formulating Acceptable Ethical Guidelines for Modern Biotechnology in Malaysia.,26
Brave New Worldview.,20
"How Frequently do Allegations of Scientific Misconduct Occur in Ecology and Evolution, and What Happens Afterwards?",19
Virtue and the Scientist: Using Virtue Ethics to Examine Science's Ethical and Moral Challenges.,21
Review of Instructional Approaches in Ethics Education.,23
Clarifying the Normative Significance of 'Personality Changes' Following Deep Brain Stimulation.,26
AIonAI: A Humanitarian Law of Artificial Intelligence and Robotics.,21
Science Outside the Lab: Helping Graduate Students in Science and Engineering Understand the Complexities of Science Policy.,23
Using Cases with Contrary Facts to Illustrate and Facilitate Ethical Analysis.,14
Rethinking the Relationship Between Academia and Industry: Qualitative Case Studies of MIT and Stanford.,22
Quantification of Conflicts of Interest in an Online Point-of-Care Clinical Support Website.,26
Intergroup Cooperation in Common Pool Resource Dilemmas.,21
What Next after Determinism in the Ontology of Technology? Distributing Responsibility in the Biofuel Debate.,17
The Spirituality of Human Consciousness: A Catholic Evaluation of Some Current Neuro-Scientific Interpretations.,18
Bridging the Gap with Clinicians: The Issue of Underrecognition of Pathologists and Radiologists as Scientific Authors in Contemporary Medical Literature.,26
Towards Higher Moral and Economic Goals in Renewable Energy.,26
The ethics of biometrics: the risk of social exclusion from the widespread use of electronic identification.,13
Autonomous Cars: In Favor of a Mandatory Ethics Setting.,23
Facing the Pariah of Science: The Frankenstein Myth as a Social and Ethical Reference for Scientists.,26
Accommodating an Uninvited Guest: Perspectives of Researchers in Switzerland on 'Honorary' Authorship.,26
Developing Tools to Counteract and Prevent Suicide Bomber Incidents: A Case Study in Value Sensitive Design.,23
Temporal Indiscriminateness: The Case of Cluster Bombs.,16
The Application of Standards and Recommendations to Clinical Ethics Consultation in Practice: An Evaluation at German Hospitals.,23
Expanding Research Integrity: A Cultural-Practice Perspective.,27
Evaluating the Pros and Cons of Different Peer Review Policies via Simulation.,22
Multiple First Authors as Equal Contributors: Is It Ethical?,23
"Who, What and Where (WWW) Problems in Scientific Communities.",24
A New Science Publishing System for a Budding Science Publishing Crisis.,24
"Engaged, Embedded, Enjoined: Science and Technology Studies in the National Science Foundation.",17
On Effectiveness and Legitimacy of 'Shaming' as a Strategy for Combatting Climate Change.,23
Detecting and (Not) Dealing with Plagiarism in an Engineering Paper: Beyond CrossCheck - A Case Study.,20
Geological Disposal of Radioactive Waste: A Long-Term Socio-Technical Experiment.,22
An Analysis on the Research Ethics Cases Managed by the Committee on Publication Ethics (COPE) Between 1997 and 2010.,18
Translating the Human Right to Water and Sanitation into Public Policy Reform.,20
The Conception of Synthetic Entities from a Personalist Perspective.,25
Editors' Overview: Moral Responsibility in Technology and Engineering.,18
"The Future of Transportation: Ethical, Legal, Social and Economic Impacts of Self-driving Vehicles in the Year 2025.",26
Self-reflection for Activist Engineering.,26
Mental Models: An Alternative Evaluation of a Sensemaking Approach to Ethics Instruction.,14
"The Limits of the Buddhist Embrace of Science - Commentary on ""Compassion, Ethics, and Neuroscience: Neuroethics through Buddhist Eyes"".",18
The Problems with Forbidding Science.,15
"Dialogue on Sustainable Development as Part of Engineering Education: The Relevance of the Finnish Case - Commentary on ""A National Collaboration Process: Finnish Engineering Education for the Benefit of People and Environment"".",19
Criticizing Danaher's Approach to Superficial State Deception.,29
Taiwanese and American Graduate Students' Misconceptions Regarding Responsible Conduct of Research: A Cross-National Comparison Using a Two-Tier Test Approach.,27
Should Authors be Requested to Suggest Peer Reviewers?,24
A Review of Scientific Ethics Issues Associated with the Recently Approved Drugs for Alzheimer's Disease.,29
Gone with the Wind: Conceiving of Moral Responsibility in the Case of GMO Contamination.,22
"An Ethical Framework for the Design, Development, Implementation, and Assessment of Drones Used in Public Healthcare.",26
From Environmental to Ecological Ethics: Toward a Practical Ethics for Ecologists and Conservationists.,14
"Ethics, Engineers and Drama.",15
Using Student Engagement to Relocate Ethics to the Core of the Engineering Curriculum.,25
Mobile-Centric Ambient Intelligence in Health- and Homecare - Anticipating Ethical and Legal Challenges.,16
Multi Scale Ethics - Why We Need to Consider the Ethics of AI in Healthcare at Different Scales.,28
Gene Concepts and Genethics: Beyond Exceptionalism.,14
Bribery and Its Ethical Implications for Aid Workers in the Developing World.,23
Towards a Richer Debate on Tissue Engineering: A Consideration on the Basis of NEST-Ethics.,19
What Do Ethical Guidelines for Epidemiology Say About an Ethics Review? A Qualitative Systematic Review.,23
Forbidding Science: Some Beginning Reflections.,15
Activist Engineering: Changing Engineering Practice By Deploying Praxis.,21
"""Ain't No One Here But Us Social Forces"": Constructing the Professional Responsibility of Engineers.",18
Comparison of Engagement with Ethics Between an Engineering and a Business Program.,19
"Should Moral Machines be Banned? A Commentary on van Wynsberghe and Robbins ""Critiquing the Reasons for Making Artificial Moral Agents"".",26
Integrity in Biomedical Research: A Systematic Review of Studies in China.,25
Designing Games to Teach Ethics.,14
"Ethical Issues in Neuromarketing: ""I Consume, Therefore I am!"".",21
Detecting Hijacked Journals by Using Classification Algorithms.,24
How to Design AI for Social Good: Seven Essential Factors.,26
Smart-Glasses: Exposing and Elucidating the Ethical Issues.,23
What is Proof of Concept Research and how does it Generate Epistemic and Ethical Categories for Future Scientific Practice?,22
Building Moral Robots: Ethical Pitfalls and Challenges.,26
Fairness as Equal Concession: Critical Remarks on Fair AI.,27
Towards a Systematic Screening Tool for Quality Assurance and Semiautomatic Fraud Detection for Images in the Life Sciences.,23
The Social Disutility of Software Ownership.,17
Improving Student Engagement in the Study of Professional Ethics: Concepts and an Example in Cyber Security.,24
Constitutional Moments in Governing Science and Technology.,17
When Public Discourse Mirrors Academic Debate: Research Integrity in the Media.,26
Correction: Community Heroes and Sleeping Members: Interdependency of the Tenets of Energy Justice.,28
The Ethical Challenges of Innovation.,27
Systematic Assessment of Research on Autism Spectrum Disorder (ASD) and Mercury Reveals Conflicts of Interest and the Need for Transparency in Autism Research.,23
Go Big or Go Home? A New Case for Integrating Micro-ethics and Macro-ethics in Engineering Ethics Education.,29
"On ""Bettering Humanity"" in Science and Engineering Education.",13
Epistemic Standards for Participatory Technology Assessment: Suggestions Based Upon Well-Ordered Science.,26
Maqasid al-Shariah as a Complementary Framework for Conventional Bioethics: Application in Malaysian Assisted Reproductive Technology (ART) Fatwa.,24
"Plagiarism, Fake Peer-Review, and Duplication: Predominant Reasons Underlying Retractions of Iran-Affiliated Scientific Papers.",26
"""In Our Own Little World"": Invisibility of the Social and Ethical Dimension of Engineering Among Undergraduate Students.",27
"Haunted by the Ghost in the Machine. Commentary on ""The Spirituality of Human Consciousness: A Catholic Evaluation of Some Current Neuro-scientific Interpretations"".",18
"Doing Science, Technology and Society in the National Science Foundation - Commentary on: ""Engaged, Embedded, Enjoined: Science and Technology Studies in the National Science Foundation"".",17
How Competition for Funding Impacts Scientific Practice: Building Pre-fab Houses but no Cathedrals.,30
"What Do We Teach to Engineering Students: Embedded Ethics, Morality, and Politics.",30
Prevalence of Research Misconduct and Questionable Research Practices: A Systematic Review and Meta-Analysis.,27
"Value Change, Value Conflict, and Policy Innovation: Understanding the Opposition to the Market-Based Economic Dispatch of Electricity Scheme in India Using the Multiple Streams Framework.",28
Responsibility Ascriptions in Technology Development and Engineering: Three Perspectives.,18
Socially Assistive Devices in Healthcare-a Systematic Review of Empirical Evidence from an Ethical Perspective.,29
From Cases to Capacity? A Critical Reflection on the Role of 'Ethical Dilemmas' in the Development of Dual-Use Governance.,20
Ethical Value-Centric Cybersecurity: A Methodology Based on a Value Graph.,26
When Technologies Makes Good People Do Bad Things: Another Argument Against the Value-Neutrality of Technologies.,20
Lack of Improvement in Scientific Integrity: An Analysis of WoS Retractions by Chinese Researchers (1997-2016).,24
Educating PhD Students in Research Integrity in Europe.,27
RESPONSE_ABILITY A Card-Based Engagement Method to Support Researchers' Ability to Respond to Integrity Issues.,28
Managerial Preferences in Relation to Financial Indicators Regarding the Mitigation of Global Change.,21
The Scientometric Bubble Considered Harmful.,22
Research Ethics Promotion in Higher Education Institutes.,24
ATM Card Cloning and Ethical Considerations.,25
Development and Validation of the Survey of Organizational Research Climate (SORC).,19
"Climate Change, Responsibility, and Justice.",16
Fairness in Technological Design.,18
Ethical Concepts and Future Challenges of Neuroimaging: An Islamic Perspective.,18
Intrinsic Ethics Regarding Integrated Assessment Models for Climate Management.,17
Beyond Halal: Maqasid al-Shari'ah to Assess Bioethical Issues Arising from Genetically Modified Crops.,26
Prospective Technology Assessment of Synthetic Biology: Fundamental and Propaedeutic Reflections in Order to Enable an Early Assessment.,22
Existential Risks: Exploring a Robust Risk Reduction Strategy.,21
Research Ethics Education in the STEM Disciplines: The Promises and Challenges of a Gaming Approach.,22
Post-publication Peer Review with an Intention to Uncover Data/Result Irregularities and Potential Research Misconduct in Scientific Research: Vigilantism or Volunteerism?,29
Scientists Still Behaving Badly? A Survey Within Industry and Universities.,24
Central Europe: Ethical Overlaps of Environmental and Economic Interests in Coming Years.,24
Media Portrayal of a Landmark Neuroscience Experiment on Free Will.,23
Should Manual Driving be (Eventually) Outlawed?,26
The Normative Orientations of Climate Scientists.,23
The 'Magic Light': A Discussion on Laser Ethics.,21
The Scientist's Education and a Civic Conscience.,19
Driving in the Dark: Designing Autonomous Vehicles for Reducing Light Pollution.,26
Toward a Better Bioethics.,15
'Blue Whale Challenge': A Game or Crime?,25
Proving that China has a Profession of Engineering: A Case Study in Operationalizing a Concept Across a Cultural Divide.,23
Manufacturing Mistrust: Issues in the Controversy Regarding Foster Children in the Pediatric HIV/AIDS Clinical Trials.,15
Recommendations for Describing Statistical Studies and Results in General Readership Science and Engineering Journals.,18
Correction to: The Moral Consideration of Artificial Entities: A Literature Review.,28
The Necessary Limits to Temptation: The Turnkey Project.,19
"Risk, Uncertainty and Precaution in Science: The Threshold of the Toxicological Concern Approach in Food Toxicology.",23
Intervention to Promote Responsible Conduct of Research Mentoring.,24
Those Who Have the Gold Make the Evidence: How the Pharmaceutical Industry Biases the Outcomes of Clinical Trials of Medications.,18
Perceptions of Scientific Authorship Revisited: Country Differences and the Impact of Perceived Publication Pressure.,28
Using the Chernobyl Incident to Teach Engineering Ethics.,19
"On Some Possible Ramifications of the ""Microplastics in Fish"" Case.",25
Relevant Information and Informed Consent in Research: In Defense of the Subjective Standard of Disclosure.,23
Identifying Criteria for the Evaluation of the Implications of Brain Reading for Mental Privacy.,25
Ethical Artificial Intelligence in Chemical Research and Development: A Dual Advantage for Sustainability.,27
Pharmacists' Assessment of the Difficulty and Frequency of Ethical Issues Encountered in Community Pharmacy Settings.,25
Ethics of Using Language Editing Services in An Era of Digital Communication and Heavily Multi-Authored Papers.,20
Karl Pearson and Eugenics: Personal Opinions and Scientific Rigor.,19
Building a Better WarBot: Ethical Issues in the Design of Unmanned Systems for Military Applications.,15
Framing Ethical Acceptability: A Problem with Nuclear Waste in Canada.,18
"The Problem Is Not Professional Publishing, But the Publish-or-Perish Culture.",25
Teaching Responsible Research and Innovation: A Phronetic Perspective.,25
Advance Car-Crash Planning: Shared Decision Making between Humans and Autonomous Vehicles.,27
The Admissibility of Research in Emergency Medicine.,13
Why Trolley Problems Matter for the Ethics of Automated Vehicles.,26
The Swedish Research Council's Definition of 'Scientific Misconduct': A Critique.,21
Understanding Ill-Structured Engineering Ethics Problems Through a Collaborative Learning and Argument Visualization Approach.,20
"""Data Not Shown"" is No Longer Excusable in Biomedical Publishing.",24
Comparison of Cross Culture Engineering Ethics Training Using the Simulator for Engineering Ethics Education.,21
The Struggle Between Liberties and Authorities in the Information Age.,21
Scholarly Black Market.,23
Broadening Ethics Teaching in Engineering: Beyond the Individualistic Approach.,17
"Human Embryonic Stem Cell Research: Ethical Views of Buddhist, Hindu and Catholic Leaders in Malaysia.",22
Scientific Ethics: A New Approach.,25
The Risks of Absolute Medical Confidentiality.,19
Technology Development as a Normative Practice: A Meaning-Based Approach to Learning About Values in Engineering - Damming as a Case Study.,25
Using Drones to Study Human Beings: Ethical and Regulatory Issues.,25
Collective Informed Consent and Decision Power.,15
Social Freezing in Medical Practice. Experiences and Attitudes of Gynecologists in Germany.,24
Teaching Authorship and Publication Practices in the Biomedical and Life Sciences.,17
On Dealing with the Innovations of the Future.,21
Ethical Considerations for a Better Collaboration Between Architects and Structural Engineers: Design of Buildings with Reinforced Concrete Frame Systems in Earthquake Zones.,20
Developing and Communicating Responsible Data Management Policies to Trainees and Colleagues.,16
Back to Basics: Application of the Principles of Bioethics to Heritable Genome Interventions.,26
A Quantitative Perspective on Ethics in Large Team Science.,20
Causal Factors Implicated in Research Misconduct: Evidence from ORI Case Files.,14
"Engagement Agents in the Making: On the Front Lines of Socio-Technical Integration - Commentary on: ""Constructing Productive Engagement: Pre-engagement Tools for Emerging Technologies"".",17
Robotic Nudges: The Ethics of Engineering a More Socially Just Human Being.,22
The Problem of Many Hands: Climate Change as an Example.,18
Meaningful Lives in an Age of Artificial Intelligence: A Reply to Danaher.,28
Research Ethics: Researchers Consider How Best to Prevent Misconduct in Research in Malaysian Higher Learning Institutions Through Ethics Education.,25
Ecocentrism and Biosphere Life Extension.,28
The Strength of Ethical Matrixes as a Tool for Normative Analysis Related to Technological Choices: The Case of Geological Disposal for Radioactive Waste.,24
"Distributed Cognition and Distributed Morality: Agency, Artifacts and Systems.",23
Limited Awareness of the Essences of Certification or Compliance Markings on Medical Devices.,23
Differing Perceptions Concerning Research Integrity Between Universities and Industry: A Qualitative Study.,24
Toward Implementing the ADC Model of Moral Judgment in Autonomous Vehicles.,26
Performance of Ethical Military Research is Possible: On and Off the Battlefield.,13
Strategies for Teaching Professional Ethics to IT Engineering Degree Students and Evaluating the Result.,23
Assessing the Organizational Climate for Translational Research with a New Survey Tool.,26
It is the Quality of the Review that Matters.,26
Need for Controlling of the Filter Bubble Effect.,25
Looking Back at Ten Years of RRI: Review of R. von Schomberg and J. Hankins (eds): International Handbook on Responsible Innovation: A Global Resource.,27
"Keeping the ""Human in the Loop"" in the Age of Artificial Intelligence.",26
Ethical and Philosophical Consideration of the Dual-use Dilemma in the Biological Sciences.,13
Contested Technologies and Design for Values: The Case of Shale Gas.,22
Grounds for Ambiguity: Justifiable Bases for Engaging in Questionable Research Practices.,25
Uncertainties.,16
A Methodological Framework for Developing More Just Footprints: The Contribution of Footprints to Environmental Policies and Justice.,26
Citizen Neuroscience: Brain-Computer Interface Researcher Perspectives on Do-It-Yourself Brain Research.,26
The Epistemic Integrity of Scientific Research.,19
A Discussion on Governmental Research Grants.,21
A Plea for Judgment.,18
"Peter-Paul Verbeek, What Things Do: Philosophical Reflections on Technology, Agency and Design - The Pennsylvania State University Press, University Park, Pennsylvania, 2005, Paperback, £16.95, $25.00, ISBN-10: 0271025409, ISBN-13: 978-0271025407, Hardback, £50.95, ISBN-10: 0271025395, ISBN-13: 978-0271025391.",13
Practices of Responsible Research and Innovation: A Review.,26
Understanding Value Change in the Energy Transition: Exploring the Perspective of Original Institutional Economics.,28
Benchmarking Scientific Image Forgery Detectors.,28
Raising Suspicions with the Food and Drug Administration: Detecting Misconduct.,16
Realism and Impartiality: Making Sustainability Effective in Decision-Making.,23
Integrating Value Considerations in the Decision Making for the Design of Biorefineries.,26
Retractions and Rewards in Science: An Open Question for Reviewers and Funders.,29
Fictional Film in Engineering Ethics Education: With Miyazaki's The Wind Rises as Exemplar.,28
Can Authorship be Denied for Contract Work?,26
How Should We Foster the Professional Integrity of Engineers in Japan? A Pride-Based Approach.,14
"Perpetuation of Retracted Publications Using the Example of the Scott S. Reuben Case: Incidences, Reasons and Possible Improvements.",22
Science and Engineering Ethics at Springer.,13
A Review of Contemporary Work on the Ethics of Ambient Assisted Living Technologies for People with Dementia.,21
"Defining Risk, Motivating Responsibility and Rethinking Global Warming.",16
"Climate Change, Nuclear Economics, and Conflicts of Interest.",17
Ethical Issues in Social Science Research Employing Big Data.,28
Alienation from the Objectives of the Patent System: How to Remedy the Situation of Biotechnology Patent.,25
Ethical Challenges with Welfare Technology: A Review of the Literature.,19
Global Catastrophic Risk and the Drivers of Scientist Attitudes Towards Policy.,28
Editors' Overview Perspectives on Teaching Social Responsibility to Students in Science and Engineering.,19
'You Wouldn't have Your Granny Using Them': Drawing Boundaries Between Acceptable and Unacceptable Applications of Civil Drones.,22
Ethical Decision Making in Autonomous Vehicles: The AV Ethics Project.,26
Aristotle and Autism: Reconsidering a Radical Shift to Virtue Ethics in Engineering.,23
The Value of Darkness: A Moral Framework for Urban Nighttime Lighting.,24
AI Moral Enhancement: Upgrading the Socio-Technical System of Moral Engagement.,29
Maqasid al-Shariah as a Complementary Framework to Conventional Bioethics.,20
Beyond Patchwork Precaution in the Dual-Use Governance of Synthetic Biology.,19
Good Ethics Can Sometimes Mean Better Science: Research Ethics and the Milgram Experiments.,15
Hiding Behind Machines: Artificial Agents May Help to Evade Punishment.,28
Exploring Why and How Journal Editors Retract Articles: Findings From a Qualitative Study.,19
"Scientists' Views on the Ethics, Promises and Practices of Synthetic Biology: A Qualitative Study of Australian Scientific Practice.",29
A Hippocratic Oath for Mathematicians? Mapping the Landscape of Ethics in Mathematics.,28
The Influence of Disclosure and Ethics Education on Perceptions of Financial Conflicts of Interest.,21
Coauthors' Email Addresses: A Neglected Journal-Level Measure to Uphold Authorship Integrity in Research Collaboration.,26
Unethical Postgraduate Supervision.,23
What Crisis? Management Researchers' Experiences with and Views of Scholarly Misconduct.,25
"Social Robotics, Education, and Religion in the Islamic World: An Iranian Perspective.",26
Should We Aim to Create a Perfect Healthy Utopia? Discussions of Ethical Issues Surrounding the World of Project Itoh's Harmony.,26
Anticipatory Ethics for a Future Internet: Analyzing Values During the Design of an Internet Infrastructure.,21
"Ethics, Finance, and Automation: A Preliminary Survey of Problems in High Frequency Trading.",19
Some Review Journals Do Not Allow Students to Author Reviews: Is this Ethical?,22
"Differences in Biases and Compensatory Strategies Across Discipline, Rank, and Gender Among University Academics.",21
The Boeing 737 MAX: Lessons for Engineering Ethics.,26
"Michael Hauskeller: Sex and the Posthuman Condition - Palgrave-Macmillan, 2014, 98 pp.",22
Why Nudges Coerce: Experimental Evidence on the Architecture of Regulation.,24
Self-Plagiarism in Academic Publishing: The Anatomy of a Misnomer.,19
Ethics in the Minutiae: Examining the Role of the Physical Laboratory Environment in Ethical Discourse.,21
"Democracy, Individual Rights and the Regulation of Science.",15
Engineering Ethics in Puerto Rico: Issues and Narratives.,14
Contextual Exceptionalism After Death: An Information Ethics Approach to Post-Mortem Privacy in Health Data Research.,28
"Toward a Dirty Environmental Ethics: From Theoria to Techné - Mark Coeckelbergh: Environmental Skill: Motivation, Knowledge, and the Possibility of a Non-Romantic Environmental Ethics, Routledge, New York, 2015, 218 pp+index, ISBN: 978-1-138-88557-8.",23
Constitutional Restraints on the Regulations of Scientific Speech and Scientific Research.,15
"Extended Report from Working Group 5: Social Responsibility of Scientists at the 59th Pugwash Conference on Science and World Affairs in Berlin, 1-4 July 2011.",19
An Empirically Informed Critique of Habermas' Argument from Human Nature.,21
Student-Inspired Activities for the Teaching and Learning of Engineering Ethics.,19
"A Note on the Definition of ""Dual Use"".",16
"Medical Students' Acquaintance with Core Concepts, Institutions and Guidelines on Good Scientific Practice: A Pre- and Post-questionnaire Survey.",26
Territorial Rights and Carbon Sinks.,23
Engineering Students as Co-creators in an Ethics of Technology Course.,27
Printing Insecurity? The Security Implications of 3D-Printing of Weapons.,21
Who Should Decide How Machines Make Morally Laden Decisions?,23
"Proportionality, Just War Theory and Weapons Innovation.",15
Patenting and the Gender Gap: Should Women Be Encouraged to Patent More?,19
Does Proof of Concept Trump All? RRI Dilemmas in Research Practices.,27
Towards a Framework for Research Ethics Education for Physicians in Serbia.,26
Book Review of Assessment of Responsible Innovation: Methods and Practices. Edited by E. Yaghmaei and I. van de Poel.,27
Should DBS for Psychiatric Disorders be Considered a Form of Psychosurgery? Ethical and Legal Considerations.,24
"Comments on 'On ""Bettering Humanity"" in Science and Engineering Education'.",14
Responses of Authors Accused of Plagiarism by Journal Editors.,23
Why Do Firms Implement Responsible Innovation? The Case of Emerging Technologies in South Korea.,26
Ethical Modernization: Research Misconduct and Research Ethics Reforms in Korea Following the Hwang Affair.,19
Clinical Trial Application in Europe: What Will Change with the New Regulation?,22
"The Broad Challenge of Public Engagement in Science - Commentary on: ""Constitutional Moments in Governing Science and Technology"".",17
An Online Lab Examination Management System (OLEMS) to Avoid Malpractice.,24
Remembering Vivian Weil.,23
A global Newton method to compute Nash equilibria.,110
Informal commitments in planner-doer games.,173
Ramsey Equilibrium in a Two-Sector Model with Heterogeneous Households.,105
Risk-sharing and crises. Global games of regime change with endogenous wealth.,148
Market structure and matching with contracts.,145
English auctions and the Stolper-Samuelson theorem.,144
Information acquisition and mutual funds.,144
"Moving costs, nondurable consumption and portfolio choice.",144
Loss aversion in strategy-proof school-choice mechanisms.,207
Cultural transmission with incomplete information.,198
Private disclosure with multiple agents.,212
Regret theory: A new foundation.,172
Communication in games of incomplete information: Two players.,132
The feedback effect in two-sided markets with bilateral investments.,182
Belief-weighted Nash aggregation of Savage preferences.,178
Racing under uncertainty: Boundary value problem approach.,151
Adverse selection without single crossing: Monotone solutions.,158
Corrigendum to Gerasimou (2021) and comment on Banerjee (2022).,205
The value of information for auctioneers.,144
Collusion and the organization of delegated expertise.,137
Welfare-improving ambiguity in insurance markets with asymmetric information.,151
Bilateral commitment.,144
Public versus private risk sharing.,146
On the Markovian efficiency of Bertrand and Cournot equilibria.,155
Dynamic choice in a complex world.,158
Common belief foundations of global games.,163
The demand for a risky asset in the presence of a background risk.,146
On multivariate prudence.,148
Implications of uncertainty for optimal policies.,199
A general theory of subjective mixtures.,188
What - or who - started the great depression?,144
Understanding Markov-switching rational expectations models.,144
Social learning by chit-chat.,153
Rational status quo.,181
Convergence of cultural traits with time-varying self-confidence in the Panebianco (2014) model - A corrigendum.,175
Pareto-improving structural reforms.,194
A fiscal theory of money and bank liquidity provision.,214
Indeterminacy and Endogenous Fluctuations with Arbitrarily Small Externalities.,101
Secular stagnation: Theory and remedies.,176
Strategic stability in Poisson games.,153
What matters in school choice tie-breaking? How competition guides design.,190
Liquidity premia in dynamic bargaining markets.,140
The demand for information: More heat than light.,138
On trees and logs.,116
Robust option pricing: Hannan and Blackwell meet Black and Scholes.,163
The efficiency of competitive mechanisms under private information.,137
Envy freedom and prior-free mechanism design.,156
Trust in cohesive communities.,170
Time of the essence.,129
Risk aversion and allocation to long-term bonds.,112
On the value of persuasion by experts.,174
The effect of decision weights in bargaining problems.,110
On stable and efficient mechanisms for priority-based allocation problems.,187
Heterogeneous quantal response equilibrium and cognitive hierarchies.,144
"Multitask principal-agent problems: Optimal contracts, fragility, and effort misallocation.",144
Analogy-based expectation equilibrium.,123
Inequality averse criteria for evaluating infinite utility streams: The impossibility of Weak Pareto.,147
Continuous-time games of timing.,120
A sufficient condition for the equivalence of strategy-proofness and nonmanipulability by preferences adjacent to the sincere one.,148
"Global stability and the ""turnpike"" in optimal unbounded growth models.",147
Consumption and bubbles.,148
Comparative risk aversion: A formal approach with applications to saving behavior.,147
The Luce model with replicas.,208
Bayesian beliefs with stochastic monotonicity: An extension of Machina and Schmeidler.,130
Continuous unimodal maps in economic dynamics: On easily verifiable conditions for topological chaos.,201
Finite additive utility representations for preferences over menus.,144
Learning and selfconfirming equilibria in network games.,212
An evolutionary approach to learning in a changing environment.,114
Pareto efficient combinatorial auctions: Dichotomous preferences without quasilinearity.,191
House price dynamics with dispersed information.,149
Pareto optima and equilibria when preferences are incompletely known.,148
"Heterogeneity, decentralized trade, and the long-run real effects of inflation.",201
Repeated games with present-biased preferences.,139
On Fixed-Path Rationing Methods.,106
Introduction to the Evolution of Preferences.,97
Ambiguity aversion and wealth effects.,199
Reputation building through costly adjustment.,181
"Lotteries, Sunspots, and Incentive Constraints.",107
Money and price posting under private information.,150
Information percolation in segmented markets.,153
Convex dynamic programming with (bounded) recursive utility.,173
Matching with single-peaked preferences.,180
Optimal stopping with private information.,159
Von Neumann-Morgenstern solutions in the assignment market.,148
Equilibrium portfolios in the neoclassical growth model.,137
When Is Efficiency Separable from Distribution in the Provision of Club Goods?,90
Virus dynamics with behavioral responses.,214
Indeterminacy with Non-separable Utility.,93
Agency-based asset pricing.,149
A new ex-ante efficiency criterion and implications for the probabilistic serial mechanism.,175
"Detectability, duality, and surplus extraction.",204
Finite-population evolution with rare mutations in asymmetric games.,162
Community enforcement with observation costs.,154
Strategic mistakes.,212
Investments as signals of outside options.,150
Are incentives against economic justice?,146
Regulating collateral-requirements when markets are incomplete.,147
