paper,cites
Power Management Policy for Heterogeneous Data Center Based on Histogram and Discrete-Time MDP.,"Distributivity for endofunctors, pointed and co-pointed endofunctors, monads and comonads."
Power Management Policy for Heterogeneous Data Center Based on Histogram and Discrete-Time MDP.,Results of the Active Learning Challenge.
Power Management Policy for Heterogeneous Data Center Based on Histogram and Discrete-Time MDP.,Lightweight Implementations of Probabilistic Programming Languages Via Transformational Compilation.
Approximations for Restrictions of The Budgeted and Generalized Maximum Coverage Problems.,Agent Transparency and Reliability in Human-Robot Interaction: The Influence on User Confidence and Perceived Reliability.
Approximations for Restrictions of The Budgeted and Generalized Maximum Coverage Problems.,Calculation of Invariants Assertions.
Approximations for Restrictions of The Budgeted and Generalized Maximum Coverage Problems.,Reprint of: Big data approach to batch process monitoring: Simultaneous fault detection and diagnosis using nonlinear support vector machine-based feature selection.
Approximations for Restrictions of The Budgeted and Generalized Maximum Coverage Problems.,The Future of Classic Data Administration: Objects + Databases + CASE
Towards Verified Lazy Implementation of Concurrent Value-Passing Languages.,Abductive Network Action Inference for Targeted Therapy Discovery.
Towards Verified Lazy Implementation of Concurrent Value-Passing Languages.,Effective versions of equilogical spaces.
Intuitionistic Hypothetical Logic of Proofs.,On the Representation of Semigroups and Other Congruences in the Lambda Calculus.
Minimization of Gini Impurity: NP-completeness and Approximation Algorithm via Connections with the k-means Problem.,Privacy in Real-Time Systems.
Minimization of Gini Impurity: NP-completeness and Approximation Algorithm via Connections with the k-means Problem.,On Bisimilarity in Lambda Calculi with Continuous Probabilistic Choice.
Stable States of Boolean Regulatory Networks Composed Over Hexagonal Grids.,Memory-Effcient Orthogonal Least Squares Kernel Density Estimation using Enhanced Empirical Cumulative Distribution Functions.
Stable States of Boolean Regulatory Networks Composed Over Hexagonal Grids.,Software Evolution through Transformations.
Stable States of Boolean Regulatory Networks Composed Over Hexagonal Grids.,On the Maximum Betweenness Improvement Problem.
On Caterpillars of Game Chromatic Number 4.,The Computational Complexity of Some Julia Sets.
On Caterpillars of Game Chromatic Number 4.,Architecture Description for Mobile Distributed Systems Using Typed 
On Caterpillars of Game Chromatic Number 4.,A Testing Equivalence for Reactive Probabilistic Processes.
On Caterpillars of Game Chromatic Number 4.,Numerically-aided Deductive Safety Proof for a Powertrain Control System.
Towards a Directed Homotopy Type Theory.,Interactive minutes generation system based on hierarchical discussion structure.
Towards a Directed Homotopy Type Theory.,Regret Bounds for the Adaptive Control of Linear Quadratic Systems.
Towards Resolution-based Reasoning for Connected Logics.,A Multiviewpoint Outdoor Dataset for Human Action Recognition.
Towards Resolution-based Reasoning for Connected Logics.,"The Identifying Code, the Locating-dominating, the Open Locating-dominating and the Locating Total-dominating Problems Under Some Graph Operations."
Towards Resolution-based Reasoning for Connected Logics.,Accurate Ensembles for Data Streams: Combining Restricted Hoeffding Trees using Stacking.
Finding Optimal Timetables for Edinburgh Bus Routes.,Realizability Models for Type Theories.
Finding Optimal Timetables for Edinburgh Bus Routes.,Sustainable solutions by integrating process synthesis-intensification.
Finding Optimal Timetables for Edinburgh Bus Routes.,A New Algorithm for Compressed Counting with Applications in Shannon Entropy Estimation in Dynamic Data.
Finding Optimal Timetables for Edinburgh Bus Routes.,Object Closure Conversion.
Transformation of a PID Controller for Numerical Accuracy.,Ecocentrism and Biosphere Life Extension.
Transformation of a PID Controller for Numerical Accuracy.,TopicFlow Model: Unsupervised Learning of Topic-specific Influences of Hyperlinked Documents.
A Multi-agent Transgenetic Algorithm for the Bi-objective Spanning Tree Problem.,Hardness and Efficiency on Minimizing Maximum Distances for Graphs With Few 
A Multi-agent Transgenetic Algorithm for the Bi-objective Spanning Tree Problem.,Convex power constructions for continuous d-cones.
PostHat and All That: Automating Abstract Interpretation.,Scalable Personalization of Long-Term Physiological Monitoring: Active Learning Methodologies for Epileptic Seizure Onset Detection.
PostHat and All That: Automating Abstract Interpretation.,Combining OCL and Programming Languages for UML Model Processing.
Semi-automated Tool Recommender for Software Development Processes.,A Complete Diagrammatic Calculus for Boolean Satisfiability.
Semi-automated Tool Recommender for Software Development Processes.,CorrLog: Correlated Logistic Models for Joint Prediction of Multiple Labels.
Generating Random Well-Typed Featherweight Java Programs Using QuickCheck.,An Approach to Splitting Atoms Safely: Extended Abstract.
Generating Random Well-Typed Featherweight Java Programs Using QuickCheck.,Fast Variational Mode-Seeking.
Generating Random Well-Typed Featherweight Java Programs Using QuickCheck.,Excess payoff dynamics in games.
Understanding Communication Patterns in HPCG.,Visualizing Similarity Data with a Mixture of Maps.
Understanding Communication Patterns in HPCG.,Closure of Tree Automata Languages under Innermost Rewriting.
Understanding Communication Patterns in HPCG.,Event Structures for Local Traces.
Understanding Communication Patterns in HPCG.,Regret Bounds for the Adaptive Control of Linear Quadratic Systems.
A Formalisation of Nominal C-Matching through Unification with Protected Variables.,Sequential Monte Carlo Samplers for Dirichlet Process Mixtures.
Enforcing Security and Safety with Proof-Carrying Code.,Coase meets Bellman: Dynamic programming for production networks.
Enforcing Security and Safety with Proof-Carrying Code.,"Discussion of ""The Discrete Infinite Logistic Normal Distribution for Mixed-Membership Modeling""."
Enforcing Security and Safety with Proof-Carrying Code.,Completeness in PVS of a Nominal Unification Algorithm.
On coalgebra of real numbers.,A Case Study in Periodic Timetabling.
On coalgebra of real numbers.,Compositionality for Tightly Coupled Systems: A New Application of the Propositions-as-Types Interpretation.
On coalgebra of real numbers.,Model Checking Downward Simulations.
AnaDroid: Malware Analysis of Android with User-supplied Predicates.,Tempered Markov Chain Monte Carlo for training of Restricted Boltzmann Machines.
AnaDroid: Malware Analysis of Android with User-supplied Predicates.,Slicing Event Spaces: Towards a Java Programs Checking Framework.
The Decision Problem for a Three-sorted Fragment of Set Theory with Restricted Quantification and Finite Enumerations.,Statistical and Computational Tradeoffs in Stochastic Composite Likelihood.
Colouring the Normalized Laplacian.,The Theory of Contexts for First Order and Higher Order Abstract Syntax.
Colouring the Normalized Laplacian.,Evolving Cluster Mixed-Membership Blockmodel for Time-Evolving Networks.
Colouring the Normalized Laplacian.,A Local Graph-rewriting System for Deciding Equality in Sum-product Theories.
Colouring the Normalized Laplacian.,"Monads, Effects and Transformations."
Domain-complete and LCS-complete Spaces.,A Taxonomy of Infinite State Processes.
Domain-complete and LCS-complete Spaces.,Unintended consequences: Can the rise of the educated class explain the revival of protectionism?
Domain-complete and LCS-complete Spaces.,Data Field Haskell.
Domain-complete and LCS-complete Spaces.,A Metamodel for Dynamic Information Generated from Object-Oriented Systems.
Reachability Analysis via Orthogonal Sets of Patterns.,Modelling Biological Compartments in Bio-PEPA.
Reachability Analysis via Orthogonal Sets of Patterns.,Deconstructing Alice and Bob.
Reachability Analysis via Orthogonal Sets of Patterns.,On Graph Calculi for Multi-modal Logics.
A Certifying Square Root and Division Elimination.,Formal Biochemical Space with Semantics in Kappa and BNGL.
Abstract Domains for Type Juggling.,A Nonparametric Bayesian Approach to Modeling Overlapping Clusters.
Abstract Domains for Type Juggling.,Transparency for a Workload-Adaptive Cognitive Agent in a Manned-Unmanned Teaming Application.
Abstract Domains for Type Juggling.,Optimal selling mechanisms with buyer price search.
Abstract Domains for Type Juggling.,Generalized Non-metric Multidimensional Scaling.
A Game Semantics of Concurrent Separation Logic.,Continuity of Gödel's System T Definable Functionals via Effectful Forcing.
"Uniform provability realization of intuitionistic logic, modality and lambda-terms.",Neural Nets via Forward State Transformation and Backward Loss Transformation.
Complete Axiomatization for the Total Variation Distance of Markov Chains.,lambda-calculus and Quantitative Program Analysis: (Extended Abstract).
Complete Axiomatization for the Total Variation Distance of Markov Chains.,Explicit substitutions à la de Bruijn: the local and global way.
Complete Axiomatization for the Total Variation Distance of Markov Chains.,A simultaneous optimization approach for efficiency measures regarding design and operation of industrial energy systems.
Complete Axiomatization for the Total Variation Distance of Markov Chains.,The Recursion Scheme from the Cofree Recursive Comonad.
Convex Stochastic Bounds and Stochastic Optimisation on Graphs.,Numerical analysis of accelerated degradation in large lithium-ion batteries.
Convex Stochastic Bounds and Stochastic Optimisation on Graphs.,Multi-focused Proofs with Different Polarity Assignments.
Formal Verification of Health Assessment Tools: a Case Study.,Tempered Markov Chain Monte Carlo for training of Restricted Boltzmann Machines.
Formal Verification of Health Assessment Tools: a Case Study.,Power Management Policy for Heterogeneous Data Center Based on Histogram and Discrete-Time MDP.
Formal Verification of Health Assessment Tools: a Case Study.,Towards a Generic BPMS User Portal Definition for the Execution of Business Processes.
Quasilinear Approximation Scheme for Steiner Multi Cycle in the Euclidean plane.,Efficient formulations for dynamic warehouse location under discrete transportation costs.
Stateful Runners of Effectful Computations.,Ambiguity in dynamic contracts.
Elements for a Formal Model of Intentional Systems.,Mathematical Two-compartment Model of Human Cholesterol Transport in Application to High Blood Cholesterol Diagnosis and Treatment.
Dialogue Systems for Intelligent Human Computer Interactions.,An Algebra-Coalgebra Framework for System Specification.
Dialogue Systems for Intelligent Human Computer Interactions.,Online Learning of Multiple Tasks and Their Relationships.
Bimonoidal Structure of Probability Monads.,"Bandits, Query Learning, and the Haystack Dimension."
Bimonoidal Structure of Probability Monads.,The Generalized Dependency Constrained Spanning Tree Problem.
Morphisms of Open Games.,Detecting Lung Abnormalities From X-rays Using an Improved SSL Algorithm.
A Symbolic Decision Procedure for Symbolic Alternating Finite Automata.,Data-Driven Stochastic Robust Optimization: General Computational Framework and Algorithm Leveraging Machine Learning for Optimization under Uncertainty in the Big Data Era.
Identifying Codes in the Complementary Prism of Cycles.,Representing and Comparing Metabolic Pathways as Petri Nets with MPath2PN and CoMeta.
Identifying Codes in the Complementary Prism of Cycles.,A Symbolic Model for Timed Concurrent Constraint Programming.
Identifying Codes in the Complementary Prism of Cycles.,Optimization of multistage fractured horizontal well in tight oil based on embedded discrete fracture model.
A General Method for Forbidden Induced Subgraph Sandwich Problem NP-completeness.,Putting Operational Techniques to the Test: A Syntactic Theory for Behavioral Verilog.
A General Method for Forbidden Induced Subgraph Sandwich Problem NP-completeness.,SampleSearch: A Scheme that Searches for Consistent Samples.
A General Method for Forbidden Induced Subgraph Sandwich Problem NP-completeness.,Performance of a Steady-State Visual Evoked Potential and Eye Gaze Hybrid Brain-Computer Interface on Participants With and Without a Brain Injury.
A General Method for Forbidden Induced Subgraph Sandwich Problem NP-completeness.,The sheaf representation of residuated lattices.
"On Adjacent-vertex-distinguishing Total Colourings of Powers of Cycles, Hypercubes and Lattice Graphs.",Automating Quantitative Narrative Analysis of News Data.
The Geodesic Classification Problem on Graphs.,The Computational Complexity of Some Julia Sets.
The Geodesic Classification Problem on Graphs.,A Denotational Semantics for Low-Level Probabilistic Programs with Nondeterminism.
On the Efficiency of Convex Polyhedra.,"Collaborative Filtering with the Trace Norm: Learning, Bounding, and Transducing."
On the Efficiency of Convex Polyhedra.,Constructive Membership Predicates as Index Types.
Representation of Partial Traces.,History and Developments.
Representation of Partial Traces.,Accelerated algorithm for intelligent mining of communication data in cloud computing environment.
Representation of Partial Traces.,Finitary Higher Inductive Types in the Groupoid Model.
Representation of Partial Traces.,Reachability Analysis via Orthogonal Sets of Patterns.
Coalgebraic Update Lenses.,Compositional Properties of Sequential Processes.
Coalgebraic Update Lenses.,Partial and Complete Processes in Multiparty Sessions.
Coalgebraic Update Lenses.,Benchmarking ADMM in nonconvex NLPs.
Coalgebraic Update Lenses.,Hidden-Unit Conditional Random Fields.
Translating Controlled Graph Grammars to Ordinary Graph Grammars.,"Borel Kernels and their Approximation, Categorically."
Translating Controlled Graph Grammars to Ordinary Graph Grammars.,Lifted Linear Programming.
Approximating Bisimilarity for Markov Processes.,The supply of hours worked and fluctuations between growth regimes.
Approximating Bisimilarity for Markov Processes.,Learning about profitability and dynamic cash management.
Approximating Bisimilarity for Markov Processes.,Category-theoretic Structure for Independence and Conditional Independence.
Iterated Covariant Powerset is not a Monad.,A logic for modular descriptions of asynchronous and synchronized concurrent systems.
Iterated Covariant Powerset is not a Monad.,On Coloring a Class of Claw-free Graphs: To the memory of Frédéric Maffray.
Iterated Covariant Powerset is not a Monad.,An optimal control approach to steam distillation of essential oils from aromatic plants.
Iterated Covariant Powerset is not a Monad.,Learning from Retracted Papers Authored by the Highly Cited Iran-affiliated Researchers: Revisiting Research Policies and a Key Message to Clarivate Analytics.
The Expressiveness of CSP With Priority.,PEF: Python Error Finder.
The Expressiveness of CSP With Priority.,The Geodesic Classification Problem on Graphs.
The Expressiveness of CSP With Priority.,Software approach to simulation-based hazard identification of complex industrial processes.
The Expressiveness of CSP With Priority.,The Approximate Correctness of Systems Based on δ-bisimulation.
Testing Applicability of Virtual Stochastic Sensors for Non-Intrusive Appliance Load Monitoring.,Structured Transition Systems as Lax Coalgebras.
Testing Applicability of Virtual Stochastic Sensors for Non-Intrusive Appliance Load Monitoring.,Half Transductive Ranking.
Testing Applicability of Virtual Stochastic Sensors for Non-Intrusive Appliance Load Monitoring.,The Usability of Ambiguity Detection Methods for Context-Free Grammars.
Proof Certificates for Equality Reasoning.,"Iterate, Incrementalize, and Implement: A systematic approach to efficiency improvement and guarantees."
Proof Certificates for Equality Reasoning.,Classifying and Formally Verifying Integer Constant Folding.
Proof Certificates for Equality Reasoning.,History and Developments.
Proof Certificates for Equality Reasoning.,Modeling and control of battery systems. Part II: A model predictive controller for optimal charging.
On the Flora of Asynchronous Locally Non-monotonic Boolean Automata Networks.,Reachability in Conditional Term Rewriting Systems.
Abstract Similarity Analysis.,Fast Face Detection in Violent Video Scenes.
Abstract Similarity Analysis.,Chaotic Actions of Locally Compact Hausdorff Topological Groups.
Efficient Image Stitching through Mobile Offloading.,The Effect of Room Complexity on Physical Object Selection Performance in 3-D Mobile User Interfaces.
Efficient Image Stitching through Mobile Offloading.,Software approach to simulation-based hazard identification of complex industrial processes.
Efficient Image Stitching through Mobile Offloading.,Maximum-likelihood estimation of kinetic parameters via the extent-based incremental approach.
Hardness and Efficiency on Minimizing Maximum Distances for Graphs With Few ,Fully Bayesian aggregation.
A Characterization of Claw-free CIS Graphs and New Results on the Order of CIS Graphs.,Statistical test for consistent estimation of causal effects in linear non-Gaussian models.
A Characterization of Claw-free CIS Graphs and New Results on the Order of CIS Graphs.,Estimating robustness.
A Characterization of Claw-free CIS Graphs and New Results on the Order of CIS Graphs.,Petri Nets with Non-blocking Arcs are Difficult to Analyze.
Dimension Reduction of Large Sparse AND-NOT Network Models.,Improving the Usability of a Graph Transformation Language.
Dimension Reduction of Large Sparse AND-NOT Network Models.,Reachability in Petri Nets with Inhibitor Arcs.
On the Representation of Semigroups and Other Congruences in the Lambda Calculus.,Starting small in project choice: A discrete-time setting with a continuum of types.
On the Representation of Semigroups and Other Congruences in the Lambda Calculus.,Learning equivalence classes of acyclic models with latent and selection variables from multiple datasets with overlapping variables.
On the Representation of Semigroups and Other Congruences in the Lambda Calculus.,The Effects of Effects on Constructivism.
On the Representation of Semigroups and Other Congruences in the Lambda Calculus.,An Abstract Equivalence Notion for Object Models.
Meet Precontinuous Posets.,Decidability of Plain and Hereditary History-Preserving Bisimilarity for BPP.
Meet Precontinuous Posets.,OverView: A Framework for Generic Online Visualization of Distributed Systems.
Meet Precontinuous Posets.,An Empirical Approach to Modeling User-System Interaction Conflicts in Smart Homes.
A Practical Semi-External Memory Method for Approximate Pattern Matching.,Only the Best Can Make It: Optimal Component Selection.
A Practical Semi-External Memory Method for Approximate Pattern Matching.,Experiments in Theorem Proving for Topological Hybrid Logic.
Formalizing Abstract Computability: Turing Categories in Coq.,An Approach to Splitting Atoms Safely: Extended Abstract.
Fuzzy Set Abstraction.,Monads and Adjunctions for Global Exceptions.
On the Minimum Eccentricity Isometric Cycle Problem.,On the Compact-regular Coreflection of a Stably Locally Compact Locale.
Deciding Whether a Grid is a Topological Subgraph of a Planar Graph is NP-Complete.,Data-driven soft-sensors for online monitoring of batch processes with different initial conditions.
Deciding Whether a Grid is a Topological Subgraph of a Planar Graph is NP-Complete.,Semi-Supervised Learning with Max-Margin Graph Cuts.
Deciding Whether a Grid is a Topological Subgraph of a Planar Graph is NP-Complete.,Divergent risk-attitudes and endogenous collateral constraints.
Deciding Whether a Grid is a Topological Subgraph of a Planar Graph is NP-Complete.,Bagged Structure Learning of Bayesian Network.
Open Maps in Concrete Categories and Branching Bisimulation for Prefix Orders.,Sequential Monte Carlo Samplers for Dirichlet Process Mixtures.
Open Maps in Concrete Categories and Branching Bisimulation for Prefix Orders.,Parallelizable Sampling of Markov Random Fields.
Open Maps in Concrete Categories and Branching Bisimulation for Prefix Orders.,The Laplacian Eigenmaps Latent Variable Model.
Towards a Generic BPMS User Portal Definition for the Execution of Business Processes.,Behavioral and Coinductive Rewriting.
Towards a Generic BPMS User Portal Definition for the Execution of Business Processes.,Model checking of causal knowledge formulas.
A Model to Guide Dynamic Adaptation Planning in Self-Adaptive Systems.,Nominal Lambda Calculus: An Internal Language for FM-Cartesian Closed Categories.
A Model to Guide Dynamic Adaptation Planning in Self-Adaptive Systems.,LCF-style Platform based on Multiway Decision Graphs.
Yoneda Completion via a DCPO Completion of its Poset of Formal Balls.,Optimal test allocation.
Yoneda Completion via a DCPO Completion of its Poset of Formal Balls.,"Reflection in general logics, rewriting logic, and Maude."
Modeling and Verification of RBC Handover Protocol.,Analysis of Driving Patterns and On-Board Feedback-Based Training for Proactive Road Safety Monitoring.
Modeling and Verification of RBC Handover Protocol.,The anatomy of sentiment-driven fluctuations.
Modeling and Verification of RBC Handover Protocol.,"Uniform provability realization of intuitionistic logic, modality and lambda-terms."
Modeling and Verification of RBC Handover Protocol.,Efficient numerical simulation of simulated moving bed chromatography with a single-column solver.
Constraining Cycle Alternations in Model Checking for Interval Temporal Logic.,Generalized Parsing and Term Rewriting: Semantics Driven Disambiguation.
Constraining Cycle Alternations in Model Checking for Interval Temporal Logic.,A Mathematical Model of Dialog.
Constraining Cycle Alternations in Model Checking for Interval Temporal Logic.,Towards Merging PlatOmega and PGIP.
Constraining Cycle Alternations in Model Checking for Interval Temporal Logic.,Varieties and Covarieties of Languages (Extended Abstract).
Operating Policies for Energy Efficient Dynamic Server Allocation.,Conceptual design of a lignocellulosic biorefinery and its supply chain for ethanol production in India.
Operating Policies for Energy Efficient Dynamic Server Allocation.,The anatomy of sentiment-driven fluctuations.
Operating Policies for Energy Efficient Dynamic Server Allocation.,Correction: Community Heroes and Sleeping Members: Interdependency of the Tenets of Energy Justice.
Operating Policies for Energy Efficient Dynamic Server Allocation.,"A Generalisation of Stationary Distributions, and Probabilistic Program Algebra."
Freyd categories are Enriched Lawvere Theories.,Towards Verified Lazy Implementation of Concurrent Value-Passing Languages.
Freyd categories are Enriched Lawvere Theories.,Integration of production scheduling and energy-cost optimization using Mean Value Cross Decomposition.
Exploring Users' Preferences in a Fuzzy Setting.,The metafront System: Extensible Parsing and Transformation.
Exploring Users' Preferences in a Fuzzy Setting.,Multi-object tracking with representations of the symmetric group.
Exploring Users' Preferences in a Fuzzy Setting.,A Prospectus for Mobile Broadcasting Systems.
Finiteness Spaces and Generalized Power Series.,Emotion Recognition from Physiological Signal Analysis: A Review.
Finiteness Spaces and Generalized Power Series.,Interpolant Learning and Reuse in SAT-Based Model Checking.
A Unified Procedure for Provability and Counter-Model Generation in Minimal Implicational Logic.,Using Graphviz as a Low-cost Option to Facilitate the Understanding of Unix Process System Calls.
A Unified Procedure for Provability and Counter-Model Generation in Minimal Implicational Logic.,Mandatory disclosure and financial contagion.
A Unified Procedure for Provability and Counter-Model Generation in Minimal Implicational Logic.,Minimax Algorithm for Learning Rotations.
A Unified Procedure for Provability and Counter-Model Generation in Minimal Implicational Logic.,Artificial Neural Network control of thermoelectrically-cooled microfluidics using computer vision based on IR thermography.
Generalized Probabilistic Satisfiability.,Statistical and Computational Tradeoffs in Stochastic Composite Likelihood.
Generalized Probabilistic Satisfiability.,Utilizing big data for batch process modeling and control.
Generalized Probabilistic Satisfiability.,Efficient Substitution in Hoare Logic Expressions.
Generalized Probabilistic Satisfiability.,Parametric Approach to the Specification and Analysis of Real-time System Designs based on ACSR-VP.
Canonical HybridLF: Extending Hybrid with Dependent Types.,Exploiting Parallelism in Coalgebraic Logic Programming.
Canonical HybridLF: Extending Hybrid with Dependent Types.,Encoding Catalytic P Systems in pi@.
Canonical HybridLF: Extending Hybrid with Dependent Types.,Synchronous Robots vs Asynchronous Lights-Enhanced Robots on Graphs.
Security Testing Methodology for Vulnerabilities Detection of XSS in Web Services and WS-Security.,A Testing Equivalence for Reactive Probabilistic Processes.
Binding Operators for Nominal Sets.,Formal Verification of the IEEE 802.1D Spanning Tree Protocol Using Extended 
Binding Operators for Nominal Sets.,Call-by-need reduction for membership conditional term rewriting Systems.
Binding Operators for Nominal Sets.,A WOWA-based Aggregation Technique on Trust Values Connected to Metadata.
A Branch and Price Algorithm for List Coloring Problem.,"Discussion of ""The Discrete Infinite Logistic Normal Distribution for Mixed-Membership Modeling""."
A Branch and Price Algorithm for List Coloring Problem.,A Simplified Account of the Metatheory of Linear LF.
A Branch and Price Algorithm for List Coloring Problem.,Foundations for Designing Secure Architectures.
A Branch and Price Algorithm for List Coloring Problem.,Solution methods for vehicle-based inventory routing problems.
Sparsity Preserving Algorithms for Octagons.,On propositions-as-types in realizability models.
Multi-model Short-term Prediction Schema for mHealth Empowering Asthma Self-management.,Towards a Quantitative Analysis of Security Protocols.
Multi-model Short-term Prediction Schema for mHealth Empowering Asthma Self-management.,Incomplete market demand tests for Kreps-Porteus-Selden preferences.
Multi-model Short-term Prediction Schema for mHealth Empowering Asthma Self-management.,Logarithmic mean: Chen's approximation or explicit solution?
Synchronous Robots vs Asynchronous Lights-Enhanced Robots on Graphs.,"Subclasses of Circular-Arc Bigraphs: Helly, Normal and Proper."
Synchronous Robots vs Asynchronous Lights-Enhanced Robots on Graphs.,Text Normalization for Low-Resource Languages of Africa.
Synchronous Robots vs Asynchronous Lights-Enhanced Robots on Graphs.,Survival of the Fattest: Evolutionary Trade-offs in Cellular Resource Storage.
Compact Representation of Photosynthesis Dynamics by Rule-based Models.,Enabling Fluid Analysis for Queueing Petri Nets via Model Transformation.
Compact Representation of Photosynthesis Dynamics by Rule-based Models.,SGCCS: A Graphical Language for Real-time Coordination.
Compact Representation of Photosynthesis Dynamics by Rule-based Models.,Handling Relations over Finite Domains in the Rule-Based System ELAN.
Compact Representation of Photosynthesis Dynamics by Rule-based Models.,The continuous functionals of finite types over the reals.
Total Maps of Turing Categories.,Simple preference intensity comparisons.
Total Maps of Turing Categories.,Optimal synthesis of periodic sorption enhanced reaction processes with application to hydrogen production.
Total Maps of Turing Categories.,Strategies for Source-to-Source Constant Progagation.
Total Maps of Turing Categories.,Policy-Gradients for PSRs and POMDPs.
From Reversible Programs to Univalent Universes and Back.,Krylov Subspace Descent for Deep Learning.
From Reversible Programs to Univalent Universes and Back.,A Differentially Private Stochastic Gradient Descent Algorithm for Multiparty Classification.
From Reversible Programs to Univalent Universes and Back.,Optimal sales mechanism with outside options.
From Reversible Programs to Univalent Universes and Back.,Matching with peer monitoring.
Method to Identify Corrections of Defects on Product Line Models.,Generalized Scott Topology on Sets with Families of Pre-orders.
Method to Identify Corrections of Defects on Product Line Models.,Quality at a Glance: An Audit of Web-Crawled Multilingual Datasets.
Method to Identify Corrections of Defects on Product Line Models.,"Powersets, Fixed Points, and Lambda Calculus."
Isotropy of Algebraic Theories.,Refinement Patterns for UML.
Composition Colored Petri Nets for the Refinement of Reaction-based Models.,Characterizing Consistent Smyth Powerdomains by FS-∧
Composition Colored Petri Nets for the Refinement of Reaction-based Models.,Privacy in Real-Time Systems.
Composition Colored Petri Nets for the Refinement of Reaction-based Models.,Learning efficient equilibria in repeated games.
Evolution of a Model-driven Process Framework.,A Concrete Categorical Semantics of Lambda-S.
Evolution of a Model-driven Process Framework.,Lattices of Irreducibly-derived Closed Sets.
Evolution of a Model-driven Process Framework.,Modifying Esterel Concepts to Model Hybrid Systems.
Towards the Design of Complex Evolving Networks with High Robustness and Resilience.,Constraining Cycle Alternations in Model Checking for Interval Temporal Logic.
Towards the Design of Complex Evolving Networks with High Robustness and Resilience.,PEF: Python Error Finder.
Towards the Design of Complex Evolving Networks with High Robustness and Resilience.,Winning the KDD Cup Orange Challenge with Ensemble Selection.
Facilitating Authentic Reasoning About Complex Systems in Middle School Science Education.,On the Visual Representation of Configuration in Reconfigurable Computing.
A Socio-Technical Perspective on Interdisciplinary Interactions During the Development of Complex Engineered Systems.,On the Largest Cartesian Closed Category of Stable Domains.
Choosing Aggregation Functions for Modeling System of Systems Performance.,A Logic for Application Level QoS.
Choosing Aggregation Functions for Modeling System of Systems Performance.,Case Analysis of Higher-Order Data.
An Approach to Facilitate Decision Making on Architecture Evolution Strategies.,Initial Algebras and Final Coalgebras Consisting of Nondeterministic Finite Trace Strategies.
An Approach to Facilitate Decision Making on Architecture Evolution Strategies.,Towards a Double Pushout Transformation of Algebras.
An Approach to Facilitate Decision Making on Architecture Evolution Strategies.,Modeling and Verification of RBC Handover Protocol.
Observations on Expedited Systems Engineering Practices in Military Rapid Development Projects.,Improving the sensitivity of safety and health index assessment in optimal molecular design framework.
Observations on Expedited Systems Engineering Practices in Military Rapid Development Projects.,The constructive maximal point space.
Observations on Expedited Systems Engineering Practices in Military Rapid Development Projects.,Deterministic Annealing for Semi-Supervised Structured Output Learning.
Observations on Expedited Systems Engineering Practices in Military Rapid Development Projects.,Broadcast Calculus Interpreted in CCS upto Bisimulation.
"Progressive Modeling: The Process, the Principles, and the Applications.",Beyond the regret minimization barrier: an optimal algorithm for stochastic strongly-convex optimization.
"Progressive Modeling: The Process, the Principles, and the Applications.",Effect of cell heterogeneity on isogenic populations with the synthetic genetic toggle switch network: Bifurcation analysis of two-dimensional cell population balance models.
"Progressive Modeling: The Process, the Principles, and the Applications.",Nonlinear dynamic analysis and control design of a solvent-based post-combustion CO
"Progressive Modeling: The Process, the Principles, and the Applications.",Solving Equations by Graph Transformation.
Automatic Discovery and Optimization of Parts for Image Classification.,Distributed Model Checking: From Abstract Algorithms to Concrete Implementations.
Automatic Discovery and Optimization of Parts for Image Classification.,Shape constrained splines as transparent black-box models for bioprocess modeling.
Automatic Discovery and Optimization of Parts for Image Classification.,Robustness of f- and g-generated Fuzzy (Co)Implications: The Yager's (Co)Implication Case Study.
Automatic Discovery and Optimization of Parts for Image Classification.,Separating concerns in a high-level component-based context.
A Unified Perspective on Multi-Domain and Multi-Task Learning.,Checking Overlaps of Nominal Rewriting Rules.
A Unified Perspective on Multi-Domain and Multi-Task Learning.,Modeling Knowledge Worker Activity.
A Unified Perspective on Multi-Domain and Multi-Task Learning.,Modeling Pointer Redirection as Cyclic Term-graph Rewriting.
A Complete Diagrammatic Calculus for Boolean Satisfiability.,Cross-ownership and portfolio choice.
A Complete Diagrammatic Calculus for Boolean Satisfiability.,Neural GPUs Learn Algorithms.
A Complete Diagrammatic Calculus for Boolean Satisfiability.,An ontology framework towards decentralized information management for eco-industrial parks.
A Complete Diagrammatic Calculus for Boolean Satisfiability.,Dynamic Event Generation for Runtime Checking using the JDI.
On distinguishability criteria for estimating generative models,Termination and normalisation under strategy Proofs in ELAN.
On distinguishability criteria for estimating generative models,Epistemic Logics with Structured Knowledge.
On distinguishability criteria for estimating generative models,On The Expressiveness of Timed Concurrent Constraint Programming.
On distinguishability criteria for estimating generative models,Exploration-exploitation Trade-off in a Treasure Hunting Game.
The return of AdaBoost.MH: multi-class Hamming trees.,The Use of Bernoulli Mixture Models for Identifying Corners of a Hypercube and Extracting Boolean Rules From Data.
The return of AdaBoost.MH: multi-class Hamming trees.,Policy-based Coordination in PAGODA: A Case Study.
Learned versus Hand-Designed Feature Representations for 3d Agglomeration.,A Functional Perspective on SSA Optimisation Algorithms.
